AGS,Gemeindename,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen_rel,Parteilos_Erststimmen_rel,Ungültige_Zweitstimmen_rel,Volt_Erststimmen_rel,Volt_Zweitstimmen_rel,BÜNDNIS_DEUTSCHLAND_Zweitstimmen_rel,Initiative_Gegenwind_Erststimmen_rel,BSW_Zweitstimmen_rel,CDU_Erststimmen_rel,dieBasis_Erststimmen_rel,FREIE_WÄHLER_Zweitstimmen_rel,MLPD_Erststimmen_rel,Bündnis_C_Erststimmen_rel,dieBasis_Zweitstimmen_rel,ÖDP_Erststimmen_rel,BÜNDNIS_DEUTSCHLAND_Erststimmen_rel,Tierschutzpartei_Erststimmen_rel,SPD_Erststimmen_rel,Die_PARTEI_Erststimmen_rel,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen_rel,Ungültige_Erststimmen_rel,Bündnis_C_Zweitstimmen_rel,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen_rel,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen_rel,Gültige_Erststimmen_rel,FDP_Erststimmen_rel,Tierschutzpartei_Zweitstimmen_rel,CDU_Zweitstimmen_rel,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen_rel,MLPD_Zweitstimmen_rel,ÖDP_Zweitstimmen_rel,SPD_Zweitstimmen_rel,Volkmar_Raidt_Erststimmen_rel,Die_Linke_Erststimmen_rel,FREIE_WÄHLER_Erststimmen_rel,Die_Linke_Zweitstimmen_rel,FDP_Zweitstimmen_rel,Parteilos_Zweitstimmen_rel,GRÜNE_Zweitstimmen_rel,GRÜNE_Erststimmen_rel,AfD_Zweitstimmen_rel,Gültige_Zweitstimmen_rel,Die_PARTEI_Zweitstimmen_rel,BSW_Erststimmen_rel,Volkmar_Raidt_Zweitstimmen_rel,AfD_Erststimmen_rel
08111000,Stuttgart-_Landeshauptstadt,363827.0,226332,137440,55,301680,132338,1982,299698,87723,47288,75105.0,15116,34009,26617,,3771.0,,3229.0,5626.0,,,627.0,,,,,,,587.0,1038,300642,79527,46698,65093,19846,34400,32625,658,1853,1815,1379,3481,478,271,239,228,12051,,,,,,,,0.0034526114115792203,0.018772230712250332,0.01157855522515151,0.0007583770730636438,,0.040084219769692855,0.29270465602039386,,0.006163476826258473,0.0020921060534271167,,0.002188649623139814,,,,0.15778550407410127,0.01077417934053614,,0.0066133240795734375,0.0009014043280712609,0.0019586383626183693,,1.0,0.05043744035662567,0.006037080647414533,0.2645239188137386,,0.0007949654406237319,0.0015899308812474637,0.1553275989382721,,0.08881273815641079,0.012582666550994668,0.10851777196798851,0.06601206750886436,,0.21651332814443758,0.2506022729547745,0.11442180400609363,1.0,0.004586850805941951,,,0.11347756741786733
08115001,Aidlingen,6603.0,4416,2187,0,5697,2105,38,5659,2261,849,708.0,343,1055,225,,165.0,,,40.0,,,5.0,,,8.0,,,,,31,5666,2000,781,744,407,1104,260,6,72,23,12,38,7,19,1,0,192,,,,,,,,0.005471231909636428,0.007068386640749249,0.006706671373102718,0.0,,0.0338863395693611,0.39954055486835127,,0.012707377338510413,0.0008835483300936561,,0.0010589481115425344,,,,0.1500265064499028,,0.0014136773281498499,0.006714967308711787,0.003353335686551359,,,1.0,0.06061141544442481,0.004059301094246382,0.35298270384751146,,0.00017649135192375574,0.0012354394634662902,0.13783974585245323,,0.03975967485421453,0.02915709489309065,0.04588775150017649,0.07183198023296858,,0.13130956583127426,0.12511044354126172,0.19484645252382632,1.0,0.002117896223085069,,,0.18642869764976144
08115002,Altdorf,3389.0,2223,1166,0,3030,1111,20,3010,1224,430,435.0,200,477,104,,92.0,,,30.0,,,0.0,,,18.0,,,,,17,3013,1111,391,450,210,491,127,7,39,20,8,18,7,23,0,1,110,,,,,,,,0.005642217059409226,0.009966777408637873,0.005974112180550946,0.00033189512114171923,,0.036508463325589116,0.40664451827242526,,0.01294390972452705,0.0,,0.0023232658479920344,,,,0.14285714285714285,,0.005980066445182724,0.006644518272425249,0.007633587786259542,,,1.0,0.0664451827242525,0.006637902422834384,0.36873547958845004,,0.0,0.0023232658479920344,0.1297709923664122,,0.0345514950166113,0.030564784053156147,0.04215068038499834,0.06969797543976104,,0.14935280451377364,0.14451827242524917,0.16296050448058413,1.0,0.002655160969133754,,,0.15847176079734218
08115003,Böblingen-_Stadt,31516.0,23804,7712,0,25267,7300,178,25089,8478,4667,2930.0,1707,4787,1452,,677.0,,,243.0,,,74.0,,,74.0,,,,,126,25141,7466,3857,3240,1787,4814,1756,52,296,166,99,178,35,53,23,34,1285,,,,,,,,0.005011733821248161,0.009685519550400574,0.007080068414144227,0.0013523726184320433,,0.05111172984368163,0.3379170154250867,,0.011773596913408377,0.0029494997807804216,,0.0020683345928960662,,,,0.18601777671489497,,0.0029494997807804216,0.007094742715931285,0.0021081102581440676,,,1.0,0.0680377854836781,0.006602760431168211,0.2969651167415775,,0.0009148403007040293,0.0013921482836800445,0.15341474086154092,,0.05787396867152936,0.02698393718362629,0.06984606817549023,0.07107911379817827,,0.12887315540352412,0.11678424807684643,0.19148005250387812,1.0,0.003937790859552126,,,0.19080074933237673
08115004,Bondorf,4364.0,3001,1363,0,3716,1308,18,3698,1426,547,468.0,188,669,205,,156.0,,,28.0,,,2.0,,,9.0,,,,,19,3697,1257,467,465,237,700,248,12,70,31,18,23,10,6,0,5,148,,,,,,,,0.005139302136867731,0.0075716603569497025,0.0062212604814714636,0.001352447930754666,,0.04003245875033811,0.38561384532179555,,0.018934271030565324,0.0005408328826392645,,0.0032458750338111983,,,,0.14791779340183883,,0.0024337479718766902,0.0048674959437533805,0.0016229375169055991,,,1.0,0.05083829096809086,0.008385177170678928,0.340005409791723,,0.0,0.002704895861509332,0.1263186367324858,,0.05543537047052461,0.04218496484586263,0.06708141736543143,0.06410603191777117,,0.12577765756018394,0.1265548945375879,0.18934271030565322,1.0,0.004868812550716798,,,0.18090859924283395
08115010,Deckenpfronn,2492.0,1621,871,0,2214,843,16,2198,932,295,266.0,105,419,78,,69.0,,,27.0,,,2.0,,,5.0,,,,,8,2206,831,245,256,139,431,117,6,41,17,5,18,4,6,0,3,87,,,,,,,,0.003626473254759746,0.012283894449499545,0.008159564823209429,0.0013599274705349048,,0.03943789664551224,0.4240218380345769,,0.0185856754306437,0.0009099181073703367,,0.0027198549410698096,,,,0.13421292083712466,,0.0022747952684258415,0.007279344858962694,0.0027198549410698096,,,1.0,0.04777070063694268,0.0077062556663644605,0.3766999093381686,,0.0,0.001813236627379873,0.11106074342701723,,0.03548680618744313,0.03139217470427662,0.053037171350861285,0.06300997280145058,,0.11604714415231188,0.12101910828025478,0.19537624660018132,1.0,0.0022665457842248413,,,0.19062784349408554
08115013,Ehningen,6175.0,4092,2083,0,5428,2022,28,5400,2194,899,775.0,310,791,229,,151.0,,,44.0,,,1.0,,,6.0,,,,,21,5407,1913,786,842,384,819,270,17,88,34,14,36,9,9,0,4,182,,,,,,,,0.0038838542629924173,0.008148148148148147,0.006658035879415572,0.000739781764379508,,0.033660070279267616,0.4062962962962963,,0.016275198816349177,0.00018518518518518518,,0.003144072498612909,,,,0.16648148148148148,,0.0011111111111111111,0.005185185185185185,0.001664508969853893,,,1.0,0.05740740740740741,0.006288144997225818,0.3538006288144997,,0.0,0.001664508969853893,0.14536711670057334,,0.04240740740740741,0.027962962962962964,0.04993526909561679,0.07101904938043277,,0.15572406140188644,0.14351851851851852,0.15147031625670426,1.0,0.0025892361753282783,,,0.1464814814814815
08115015,Gärtringen,8694.0,5790,2904,0,7483,2793,59,7424,3093,1145,981.0,400,1106,361,,246.0,,,64.0,,,9.0,,,19.0,,,,,40,7443,2721,980,1045,475,1164,449,19,131,74,28,34,6,26,3,9,279,,,,,,,,0.005374177079134758,0.008620689655172414,0.004568050517264544,0.0012091898428053204,,0.037484885126964934,0.41662176724137934,,0.017600429934166332,0.0012122844827586207,,0.00255273411258901,,,,0.15422952586206898,,0.0025592672413793103,0.007947198275862068,0.0034932151014375923,,,1.0,0.05387931034482758,0.009942227596399301,0.3655783958081419,,0.00040306328093510683,0.0008061265618702137,0.13166733843880155,,0.0486260775862069,0.033135775862068964,0.06032513771328765,0.06381835281472524,,0.14040037619239554,0.13213900862068967,0.15638855300282145,1.0,0.0037619239553943304,,,0.1489762931034483
08115016,Gäufelden,6473.0,4361,2112,0,5574,2020,41,5533,2159,833,636.0,312,1080,255,,188.0,,,54.0,,,5.0,,,11.0,,,,,21,5553,1925,700,670,378,1136,299,10,109,47,26,35,5,15,5,5,188,,,,,,,,0.0037817396002160996,0.009759624073739382,0.006302899333693499,0.0009004141905276427,,0.033855573563839364,0.39020422917043196,,0.019629029353502612,0.0009036688957166094,,0.0018008283810552854,,,,0.15055123802638712,,0.0019880715705765406,0.007410084944876197,0.002701242571582928,,,1.0,0.05638893909271643,0.008463893390959841,0.34665946335314246,,0.0009004141905276427,0.0009004141905276427,0.12605798667386997,,0.04608711368154708,0.033977950478944516,0.053844768593553034,0.06807131280388978,,0.12065550153070412,0.11494668353515272,0.20457410408788043,1.0,0.004682153790743742,,,0.19519248147478763
08115021,Herrenberg-_Stadt,22928.0,15550,7378,0,19613,7024,130,19483,7108,3283,3309.0,1089,2934,946,,552.0,,,202.0,,,20.0,,,40.0,,,,,81,19532,6404,2862,3384,1300,3012,1227,41,267,93,74,143,37,40,7,27,614,,,,,,,,0.00414704075363506,0.010368013139660216,0.007321318861355724,0.0013823469178783534,,0.03143559287323367,0.364830878201509,,0.013669875076797051,0.0010265359544218036,,0.0020991193938152777,,,,0.16850587691833907,,0.002053071908843607,0.006672483703741724,0.0020479213598197828,,,1.0,0.05589488271826721,0.0047614171615809955,0.32787220970714726,,0.00035838623796846203,0.001894327257833299,0.14652877329510547,,0.048555150644151314,0.02833239234204178,0.06281998771247184,0.06655744419414295,,0.17325414704075365,0.1698403736590874,0.15420847839442967,1.0,0.003788654515666598,,,0.15059282451367859
