AGS,Gemeindename,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen_rel,Parteilos_Erststimmen_rel,Ungültige_Zweitstimmen_rel,Volt_Erststimmen_rel,Volt_Zweitstimmen_rel,BÜNDNIS_DEUTSCHLAND_Zweitstimmen_rel,Initiative_Gegenwind_Erststimmen_rel,BSW_Zweitstimmen_rel,CDU_Erststimmen_rel,dieBasis_Erststimmen_rel,FREIE_WÄHLER_Zweitstimmen_rel,MLPD_Erststimmen_rel,Bündnis_C_Erststimmen_rel,dieBasis_Zweitstimmen_rel,ÖDP_Erststimmen_rel,BÜNDNIS_DEUTSCHLAND_Erststimmen_rel,Tierschutzpartei_Erststimmen_rel,SPD_Erststimmen_rel,Die_PARTEI_Erststimmen_rel,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen_rel,Ungültige_Erststimmen_rel,Bündnis_C_Zweitstimmen_rel,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen_rel,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen_rel,Gültige_Erststimmen_rel,FDP_Erststimmen_rel,Tierschutzpartei_Zweitstimmen_rel,CDU_Zweitstimmen_rel,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen_rel,MLPD_Zweitstimmen_rel,ÖDP_Zweitstimmen_rel,SPD_Zweitstimmen_rel,Volkmar_Raidt_Erststimmen_rel,Die_Linke_Erststimmen_rel,FREIE_WÄHLER_Erststimmen_rel,Die_Linke_Zweitstimmen_rel,FDP_Zweitstimmen_rel,Parteilos_Zweitstimmen_rel,GRÜNE_Zweitstimmen_rel,GRÜNE_Erststimmen_rel,AfD_Zweitstimmen_rel,Gültige_Zweitstimmen_rel,Die_PARTEI_Zweitstimmen_rel,BSW_Erststimmen_rel,Volkmar_Raidt_Zweitstimmen_rel,AfD_Erststimmen_rel
08115022,Hildrizhausen,2564.0,1622,942,0,2250,913,13,2237,997,304,238.0,120,372,87,,90.0,,,22.0,,,2.0,,,5.0,,,,,8,2242,906,290,238,144,379,101,3,35,13,11,18,5,5,0,1,93,,,,,,,,0.003568242640499554,0.009834599910594547,0.008028545941123996,0.00044603033006244426,,0.041480820695807316,0.4456861868573983,,0.015611061552185548,0.000894054537326777,,0.0013380909901873326,,,,0.1358962896736701,,0.002235136343316942,0.00581135449262405,0.0022301516503122213,,,1.0,0.05364327223960662,0.005798394290811775,0.4041034790365745,,0.0,0.0022301516503122213,0.12934879571810884,,0.038891372373714796,0.04023245417970496,0.04504906333630687,0.06422836752899197,,0.10615521855486174,0.10639248994188645,0.16904549509366637,1.0,0.004906333630686887,,,0.1662941439427805
08115024,Holzgerlingen-_Stadt,9532.0,6429,3103,0,8349,2976,36,8313,3265,1308,1107.0,551,1358,342,,268.0,,,82.0,,,12.0,,,20.0,,,,,27,8322,2861,1125,1227,622,1398,418,31,135,50,37,54,12,28,6,6,312,,,,,,,,0.0032444124008651765,0.00986406832671719,0.006488824801730353,0.0007209805335255948,,0.03749098774333093,0.39275833032599544,,0.016222062004325882,0.001443522194153735,,0.0037250660898822396,,,,0.15734391916275714,,0.0024058703235895584,0.004330566582461205,0.0033645758231194423,,,1.0,0.06628172741489234,0.00600817111271329,0.34378755106945447,,0.0007209805335255948,0.0014419610670511895,0.13518385003604902,,0.04114038253338145,0.032238662336100087,0.0502283105022831,0.07474164864215332,,0.14744051910598413,0.13316492241068206,0.16798846431146358,1.0,0.004446046623407834,,,0.16335859497173102
08115028,Leonberg-_Stadt,30856.0,20882,9974,0,25808,9382,151,25657,9421,4509,3869.0,1693,3810,1247,,730.0,,,273.0,,,24.0,,,81.0,,,,,85,25723,8420,3862,3994,2083,3936,1492,58,330,169,95,190,48,29,9,25,983,,,,,,,,0.0033044357190063368,0.010640371048836575,0.007386385724837694,0.0009718928585312755,,0.03821482719744975,0.36719024048018084,,0.012828985732612836,0.000935417235062556,,0.002254791431792559,,,,0.1757415130373777,,0.003157033168336127,0.005885333437268582,0.0011273957158962795,,,1.0,0.0659858907900378,0.006569995723671423,0.3273335147533336,,0.0003498814290712592,0.001866034288380049,0.15013800878591144,,0.048602720505125305,0.028452274233152747,0.05800256579714652,0.08097811297282588,,0.15526960307895657,0.15079705343570957,0.15301481164716402,1.0,0.003693192862418847,,,0.14849748606618077
08115029,Magstadt,5870.0,4317,1553,0,4914,1503,35,4879,1761,796,646.0,319,897,247,,158.0,,,37.0,,,6.0,,,12.0,,,,,24,4890,1591,685,637,357,940,288,8,80,33,23,32,4,6,4,8,194,,,,,,,,0.0049079754601227,0.007583521213363394,0.006543967280163599,0.0016359918200408998,,0.03967280163599182,0.36093461774953883,,0.016359918200409,0.0012297601967616314,,0.0016359918200408998,,,,0.16314818610370976,,0.0024595203935232628,0.007173601147776184,0.001226993865030675,,,1.0,0.06538225046116007,0.006748466257668712,0.325357873210634,,0.0008179959100204499,0.0008179959100204499,0.14008179959100203,,0.0506251281000205,0.03238368518138963,0.05889570552147239,0.07300613496932515,,0.13026584867075663,0.13240418118466898,0.19222903885480572,1.0,0.004703476482617587,,,0.18384914941586392
08115034,Mötzingen,2503.0,1739,764,0,2155,742,18,2137,866,253,195.0,114,535,64,,82.0,,,24.0,,,1.0,,,3.0,,,,,11,2144,794,218,196,133,532,80,4,39,25,9,13,4,9,0,3,85,,,,,,,,0.005130597014925373,0.011230697239120261,0.006063432835820896,0.0013992537313432835,,0.039645522388059705,0.4052409920449228,,0.018190298507462687,0.0004679457182966776,,0.0018656716417910447,,,,0.11839026672905943,,0.0014038371548900327,0.008423022929340197,0.004197761194029851,,,1.0,0.05334581188582124,0.01166044776119403,0.37033582089552236,,0.0,0.0018656716417910447,0.10167910447761194,,0.029948525970987367,0.03837154890032756,0.03731343283582089,0.06203358208955224,,0.0914179104477612,0.09124941506785213,0.24813432835820895,1.0,0.004197761194029851,,,0.25035095928872253
08115037,Nufringen,4202.0,2596,1606,0,3711,1556,24,3687,1531,566,518.0,220,535,170,,110.0,,,24.0,,,3.0,,,10.0,,,,,19,3692,1380,511,542,239,539,208,6,52,21,15,22,9,11,0,4,133,,,,,,,,0.0051462621885157095,0.006509357200976403,0.005958829902491874,0.0010834236186348862,,0.03602383531960997,0.41524274477895307,,0.014084507042253521,0.0008136696501220504,,0.0016251354279523294,,,,0.15351234065636019,,0.0027122321670735015,0.006509357200976403,0.002979414951245937,,,1.0,0.059669107675617034,0.005687973997833153,0.37378114842903576,,0.0,0.002437703141928494,0.1384073672806067,,0.04610794684024953,0.029834553837808517,0.056338028169014086,0.06473456121343445,,0.14680390032502708,0.14049362625440737,0.14599133261105093,1.0,0.004062838569880823,,,0.14510442093843234
08115041,Renningen-_Stadt,12536.0,8735,3801,0,10870,3625,65,10805,3798,1906,1745.0,596,1754,458,,399.0,,,102.0,,,8.0,,,39.0,,,,,44,10826,3424,1643,1750,726,1792,616,18,201,72,36,94,19,15,5,15,400,,,,,,,,0.004064289673009422,0.00944007403979639,0.008682800665065583,0.0013855532976168484,,0.03694808793644929,0.35150393336418323,,0.018566414188065768,0.0007403979639055993,,0.001662663957140218,,,,0.17639981490050902,,0.003609440074039796,0.006015733456732994,0.0013855532976168484,,,1.0,0.055159648310967146,0.006650655828560872,0.3162756327360059,,0.0004618510992056161,0.0017550341769813412,0.15176427119896546,,0.04238778343359556,0.036927348449791765,0.056900055422131904,0.06706077960465547,,0.16164788472196565,0.16149930587690883,0.16552743395529282,1.0,0.003325327914280436,,,0.16233225358630263
08115042,Rutesheim-_Stadt,7705.0,5274,2431,0,6829,2344,42,6787,2768,1209,945.0,422,958,232,,182.0,,,50.0,,,6.0,,,15.0,,,,,21,6808,2489,1075,957,475,1038,322,12,100,37,18,39,12,9,3,5,217,,,,,,,,0.0030846063454759106,0.007367025195226168,0.0057285546415981195,0.0007344300822561692,,0.031874265569917744,0.40783851480772065,,0.014688601645123384,0.0008840430234271402,,0.0017626321974148062,,,,0.17813466922056873,,0.00221010755856785,0.006188301163989981,0.0013219741480611047,,,1.0,0.06217769264770886,0.005434782608695652,0.365599294947121,,0.00044065804935370154,0.0017626321974148062,0.15790246768507638,,0.034182996905849417,0.02681597171062325,0.0472972972972973,0.06977085781433608,,0.1405699177438308,0.13923677618977456,0.15246768507638073,1.0,0.0026439482961222094,,,0.14115220274053336
08115044,Schönaich,7065.0,4491,2574,0,6070,2475,37,6033,2436,1018,718.0,349,1050,245,,163.0,,,37.0,,,2.0,,,15.0,,,,,28,6042,2138,881,795,407,1103,298,20,82,47,27,31,5,13,0,14,181,,,,,,,,0.004634227077126779,0.006132935521299519,0.005130751406818934,0.0023171135385633896,,0.02995696789142668,0.4037792143212332,,0.013571665011585568,0.0003315100281783524,,0.0033101621979476996,,,,0.16873860434278137,,0.002486325211337643,0.006132935521299519,0.0021516054286660046,,,1.0,0.057848499917122494,0.007778881165177094,0.3538563389606091,,0.0,0.0008275405494869249,0.14581264481959616,,0.04060997845184817,0.02701806729653572,0.04932141674942072,0.06736180072823568,,0.13157894736842105,0.11901210011602852,0.18255544521681563,1.0,0.004468718967229395,,,0.174042764793635
08115045,Sindelfingen-_Stadt,37079.0,27805,9274,0,29734,8748,228,29506,10120,5574,3579.0,1704,5457,1902,,731.0,,,262.0,,,68.0,,,109.0,,,,,176,29558,9054,4701,3559,1918,5551,2239,60,350,200,107,197,41,35,32,24,1490,,,,,,,,0.0059543947493064485,0.008879549922049753,0.006664862304621422,0.0008119629203599703,,0.05040936463901482,0.34298108859215076,,0.011841125921916232,0.002304616010302989,,0.0020299073008999257,,,,0.18891073002101266,,0.0036941638988680268,0.007727241916898258,0.0011841125921916232,,,1.0,0.057750965905239614,0.006766357669666418,0.3063130117057988,,0.001082617227146627,0.0013871033222816159,0.15904323702550918,,0.06446146546465126,0.024774622110757136,0.07574937411191555,0.06488937005210095,,0.12040733473171392,0.12129736324815292,0.18780025712159146,1.0,0.003620001353271534,,,0.1849454348268149
08115046,Steinenbronn,3978.0,2319,1658,1,3407,1602,27,3380,1333,492,418.0,178,686,165,,108.0,,,,,,,,,,,,,,15,3392,1124,443,404,255,725,175,9,55,25,11,22,4,8,2,4,126,,,,,,,,0.004422169811320755,,0.006485849056603774,0.0011792452830188679,,0.03714622641509434,0.39437869822485205,,0.016214622641509434,,,0.0026533018867924527,,,,0.1455621301775148,,,0.007988165680473372,0.0023584905660377358,,,1.0,0.052662721893491124,0.007370283018867925,0.3313679245283019,,0.0005896226415094339,0.0011792452830188679,0.13060141509433962,,0.04881656804733728,0.03195266272189349,0.05159198113207547,0.07517688679245282,,0.11910377358490566,0.12366863905325444,0.21373820754716982,1.0,0.003242924528301887,,,0.2029585798816568
08115048,Waldenbuch-_Stadt,6066.0,4003,2063,0,5289,1974,27,5262,2138,861,773.0,249,845,224,,172.0,,,,,,,,,,,,,,22,5267,1916,747,735,326,874,247,16,94,36,14,33,7,11,2,4,205,,,,,,,,0.004176950825897095,,0.006265426238845643,0.0007594456047085627,,0.03892158724131384,0.40630938806537437,,0.017846971710651225,,,0.003037782418834251,,,,0.1636259977194983,,,0.005131128848346636,0.0020884754129485475,,,1.0,0.04732041049030787,0.0068350104423770645,0.36377444465540154,,0.00037972280235428136,0.0013290298082399847,0.14182646667932408,,0.042569365260357275,0.03268719118206005,0.04689576609075375,0.061894816783747864,,0.1395481298651984,0.1469023185100722,0.16593886462882096,1.0,0.0026580596164799694,,,0.16058532877232992
08115050,Weil_der_Stadt-_Stadt,13285.0,8675,4610,0,11365,4402,76,11289,4281,1728,1662.0,707,1967,454,,359.0,,,79.0,,,16.0,,,36.0,,,,,46,11319,3793,1499,1694,827,1976,624,25,188,79,62,55,25,13,6,13,440,,,,,,,,0.004063963247636717,0.0069979626184781644,0.004859086491739553,0.0011485113525929853,,0.038872691933916424,0.3792187084772788,,0.01660924109903702,0.0014173088847550712,,0.0022086756780634333,,,,0.1530693595535477,,0.0031889449906989105,0.0067322172025865885,0.0011485113525929853,,,1.0,0.06262733634511472,0.006979415142680449,0.33510027387578406,,0.0005300821627352239,0.0022086756780634333,0.13243219365668346,,0.04021613960492515,0.031800868101691915,0.05512854492446329,0.07306299143033837,,0.14965986394557823,0.14722296040393304,0.17457372559413376,1.0,0.005477515681597314,,,0.17424041101957657
08115051,Weil_im_Schönbuch,7016.0,3925,3091,0,6085,2981,44,6041,2357,891,735.0,455,1087,249,,188.0,,,52.0,,,7.0,,,20.0,,,,,28,6057,2143,795,790,432,1132,278,23,112,45,16,28,11,25,2,7,218,,,,,,,,0.004622750536569259,0.008607846383049164,0.004622750536569259,0.0011556876341423147,,0.035991414891860654,0.39016719086244,,0.018491002146277035,0.0011587485515643105,,0.003797259369324748,,,,0.14749213706340009,,0.0033107101473266016,0.007283562324118523,0.0041274558362225525,,,1.0,0.07531865585168018,0.007429420505200594,0.3538055142809972,,0.0003301964668978042,0.0018160805679379231,0.13125309559187717,,0.04121834133421619,0.031120675384870053,0.04589730889879478,0.0713224368499257,,0.13042760442463266,0.12166859791425261,0.18689120026415718,1.0,0.0026415717351824337,,,0.1799370965072008
08115052,Weissach,5515.0,3530,1985,0,4841,1897,23,4818,2110,589,720.0,271,721,228,28.0,89.0,,,39.0,23.0,,,,,,,,,,11,4830,1849,620,690,359,747,226,13,58,41,14,30,8,17,0,4,154,,,,,,,,0.002277432712215321,0.00809464508094645,0.006211180124223602,0.0008281573498964803,,0.03188405797101449,0.43794105437941055,0.005811540058115401,0.012008281573498964,,,0.002691511387163561,0.004773765047737651,,,0.12224989622249896,,,0.004773765047737651,0.0035196687370600416,,,1.0,0.056247405562474054,0.008488612836438923,0.38281573498964805,,0.0,0.0016563146997929607,0.12836438923395446,,0.047322540473225407,0.01847239518472395,0.04679089026915114,0.07432712215320911,,0.14285714285714285,0.149439601494396,0.1546583850931677,1.0,0.002898550724637681,,,0.14964715649647156
