row_key,vote_type,party_key,party_name,votes,votes_2021,share_percent_2021,delta_votes_vs_2021,delta_share_percent_vs_2021
lsa:GEMEINDE:15001000,Erststimmen,D1,CDU,0,,,,
lsa:GEMEINDE:15001000,Erststimmen,D13,HEIMAT,0,,,,
lsa:GEMEINDE:15001000,Erststimmen,D2,AfD,0,,,,
lsa:GEMEINDE:15001000,Erststimmen,D3,Die Linke,0,,,,
lsa:GEMEINDE:15001000,Erststimmen,D4,SPD,0,,,,
lsa:GEMEINDE:15001000,Erststimmen,D5,FDP,0,,,,
lsa:GEMEINDE:15001000,Erststimmen,D6,GRÜNE,0,,,,
lsa:GEMEINDE:15001000,Erststimmen,D7,FREIE WÄHLER,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F1,CDU,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F10,Gartenpartei,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F11,Die PARTEI,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F12,TIERSCHUTZALLIANZ,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F15,BSW,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F19,PdF,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F2,AfD,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F20,Volt,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F3,Die Linke,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F4,SPD,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F5,FDP,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F6,GRÜNE,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F7,FREIE WÄHLER,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F8,dieBasis,0,,,,
lsa:GEMEINDE:15001000,Zweitstimmen,F9,Tierschutzpartei,0,,,,
lsa:GEMEINDE:15002000,Erststimmen,D1,CDU,0,,,,
lsa:GEMEINDE:15002000,Erststimmen,D15,BSW,0,,,,
lsa:GEMEINDE:15002000,Erststimmen,D2,AfD,0,,,,
lsa:GEMEINDE:15002000,Erststimmen,D21,Anderer Kreiswahlvorschlag,0,,,,
lsa:GEMEINDE:15002000,Erststimmen,D3,Die Linke,0,,,,
