row_type,vote_type,party,kommone_votes,kommone_share_percent,statla_votes,statla_share_percent,delta_votes,delta_share_percent
PARTY,Erststimmen,GRÜNE,33193,18.851197473861163,67491,19.490522011343554,-34298,-0.6393245374823913
PARTY,Erststimmen,CDU,66198,37.59562469118975,134209,38.75781168778662,-68011,-1.1621869965968727
PARTY,Erststimmen,SPD,12394,7.038885954599924,25537,7.374753087132807,-13143,-0.3358671325328828
PARTY,Erststimmen,FDP,8802,4.998892542551923,13768,3.9760191292495,-4966,1.022873413302423
PARTY,Erststimmen,AfD,43507,24.708795483845318,83209,24.029675749979784,-39702,0.6791197338655337
PARTY,Erststimmen,Die Linke,6282,3.5677167634982028,12316,3.5567004354907645,-6034,0.011016328007438236
PARTY,Erststimmen,FREIE WÄHLER,2402,1.3641604052726333,4224,1.2198362000254133,-1822,0.14432420524722
PARTY,Erststimmen,Die PARTEI,54,0.030668052408294007,347,0.10020908177292102,-293,-0.06954102936462701
PARTY,Erststimmen,dieBasis,282,0.1601553847988687,416,0.12013538333583615,-134,0.040020001463032556
PARTY,Erststimmen,ÖDP,131,0.07439842343493545,360,0.1039633125021659,-229,-0.02956488906723044
PARTY,Erststimmen,Volt,1235,0.7013897171156129,1794,0.5180838406357935,-559,0.18330587647981944
PARTY,Erststimmen,Bündnis C,300,0.1703780689349667,392,0.11320449583569175,-92,0.057173573099274955
PARTY,Erststimmen,BSW,1058,0.6008666564439825,1724,0.4978687520937056,-666,0.10299790435027689
PARTY,Erststimmen,Die Gerechtigkeitspartei,52,0.029532198615394228,24,0.006930887500144393,28,0.022601311115249836
PARTY,Erststimmen,Tierschutzpartei,0,0.0,56,0.01617207083367025,-56,-0.01617207083367025
PARTY,Erststimmen,Werteunion,56,0.031803906201193784,208,0.060067691667918074,-152,-0.02826378546672429
PARTY,Erststimmen,Anderer Kreiswahlvorschlag,0,0.0,201,0.058046182813709296,-201,-0.058046182813709296
PARTY,Erststimmen,BÜNDNIS DEUTSCHLAND,114,0.06474366619528735,0,0.0,114,0.06474366619528735
PARTY,Erststimmen,PIRATEN,19,0.01079061103254789,0,0.0,19,0.01079061103254789
TOTAL,Erststimmen,TOTAL,176079,100.0,346276,100.0,-170197,0.0
PARTY,Zweitstimmen,GRÜNE,41095,23.28566086059768,82307,23.719596541786743,-41212,-0.43393568118906245
PARTY,Zweitstimmen,CDU,58238,32.99939937217393,116854,33.67550432276657,-58616,-0.676104950592638
PARTY,Zweitstimmen,SPD,8540,4.839020410013486,17269,4.976657060518732,-8729,-0.13763665050524576
PARTY,Zweitstimmen,FDP,7460,4.227059983454403,13130,3.78386167146974,-5670,0.44319831198466275
PARTY,Zweitstimmen,AfD,43655,24.736233723552544,83596,24.09106628242075,-39941,0.6451674411317931
PARTY,Zweitstimmen,Die Linke,5439,3.0819007037544908,10789,3.109221902017291,-5350,-0.027321198262800106
PARTY,Zweitstimmen,FREIE WÄHLER,3561,2.0177695175711974,7136,2.0564841498559074,-3575,-0.03871463228471006
PARTY,Zweitstimmen,Die PARTEI,645,0.3654763658616743,1415,0.4077809798270894,-770,-0.04230461396541507
PARTY,Zweitstimmen,dieBasis,589,0.33374508448453666,1043,0.3005763688760807,-454,0.03316871560845597
PARTY,Zweitstimmen,KlimalisteBW,60,0.03399780147550458,148,0.04265129682997118,-88,-0.008653495354466599
PARTY,Zweitstimmen,ÖDP,318,0.1801883478201743,664,0.19135446685878962,-346,-0.011166119038615335
PARTY,Zweitstimmen,Volt,1053,0.5966614158951055,1952,0.562536023054755,-899,0.03412539284035043
PARTY,Zweitstimmen,Bündnis C,537,0.30428032320576603,1012,0.29164265129683,-475,0.012637671908936055
PARTY,Zweitstimmen,PDH,60,0.03399780147550458,108,0.031123919308357346,-48,0.0028738821671472348
PARTY,Zweitstimmen,Verjüngungsforschung,130,0.0736619031969266,192,0.0553314121037464,-62,0.018330491093180204
PARTY,Zweitstimmen,BSW,2457,1.3922099704219129,4573,1.3178674351585014,-2116,0.0743425352634115
PARTY,Zweitstimmen,Die Gerechtigkeitspartei,295,0.1671558572545642,442,0.12737752161383287,-147,0.03977833564073133
PARTY,Zweitstimmen,PDR,247,0.13995761607416055,480,0.13832853025936598,-233,0.0016290858147945675
PARTY,Zweitstimmen,PdF,138,0.07819494339366054,191,0.05504322766570605,-53,0.023151715727954485
PARTY,Zweitstimmen,Tierschutzpartei,1601,0.9071746693713807,2999,0.8642651296829972,-1398,0.04290953968838351
PARTY,Zweitstimmen,Werteunion,364,0.20625332895139445,700,0.20172910662824206,-336,0.004524222323152388
TOTAL,Zweitstimmen,TOTAL,176482,100.0,347000,100.0,-170518,0.0
