row_key,ags,municipality_name,gebietsart,gebietsnummer,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,payload_hash,is_municipality_summary
000000:BW:-:-:LAND,,,LAND,BW,458,11570,87473,86688,86853,aa238aa654c6e5800d683a2715a9ba3b5b53b5cb707c769c81933d30cb76e5f1,False
000001:1:-:08111000:WAHLKREIS,08111000,"Stuttgart, Landeshauptstadt",WAHLKREIS,1,0,146,0,0,0,3beb111ad9dcafb0f2a9bc09eeea37122a8ec0ed4198752577f3998d9faf595f,False
000002:001-01 (08111000-001-01):001-01:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-01 (08111000-001-01),0,1,0,0,0,ba83c80228e708cb3e03e05fa63da82b97b4c44f0a27777948367a77ce82db4d,False
000003:001-02 (08111000-001-02):001-02:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-02 (08111000-001-02),0,1,0,0,0,cf524391037ef6de004bdade4634b2075385089158a43f2658c24e70953b722e,False
000004:001-03 (08111000-001-03):001-03:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-03 (08111000-001-03),0,1,0,0,0,cc24328f2047fa95feff823fe74fca45a29d04f83cca25d915c8f7647142d1a8,False
000005:001-04 (08111000-001-04):001-04:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-04 (08111000-001-04),0,1,0,0,0,a3a19b5877ce74e88c48a8778c878da12fffaa257dc663a5467c86432e7dc751,False
000006:001-05 (08111000-001-05):001-05:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-05 (08111000-001-05),0,1,0,0,0,ba4e07bf0f3a0ff5629bcef9ab719ebe56ab2e3c8d812586cfbbafd461cc9985,False
000007:001-06 (08111000-001-06):001-06:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-06 (08111000-001-06),0,1,0,0,0,2daea8477121c30a2a64618d8da910fcdc279c6a7074db21593d5834533986ec,False
000008:001-07 (08111000-001-07):001-07:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-07 (08111000-001-07),0,1,0,0,0,e22def4ef535f61b7a9a213e42e67bc20d41cca222109c4f671185618e6487c5,False
000009:001-08 (08111000-001-08):001-08:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-08 (08111000-001-08),0,1,0,0,0,b480b1ff2de48c25ae8fc429715baad1133e6b63bafa21d8ac15644c0c834dac,False
