ags,municipality_name,vote_type,party,votes,percent
08126011,Bretzfeld,Erststimmen,AfD,19,19.0
08126011,Bretzfeld,Zweitstimmen,AfD,16,15.8
08126020,Dörzbach,Erststimmen,AfD,30,30.9
08126020,Dörzbach,Zweitstimmen,AfD,28,28.6
08126039,"Ingelfingen, Stadt",Erststimmen,AfD,38,24.8
08126039,"Ingelfingen, Stadt",Zweitstimmen,AfD,34,22.2
08126046,"Künzelsau, Stadt",Erststimmen,AfD,51,23.0
08126046,"Künzelsau, Stadt",Zweitstimmen,AfD,45,20.3
08126056,Mulfingen,Erststimmen,AfD,75,20.3
08126056,Mulfingen,Zweitstimmen,AfD,74,20.3
08126072,Schöntal,Erststimmen,AfD,39,21.9
08126072,Schöntal,Zweitstimmen,AfD,35,19.6
08126085,"Waldenburg, Stadt",Erststimmen,AfD,40,23.0
08126085,"Waldenburg, Stadt",Zweitstimmen,AfD,39,22.5
08127008,Blaufelden,Erststimmen,AfD,34,22.2
08127008,Blaufelden,Zweitstimmen,AfD,33,21.7
08127014,"Crailsheim, Stadt",Erststimmen,AfD,28,27.2
08127014,"Crailsheim, Stadt",Zweitstimmen,AfD,28,27.2
08127032,"Gerabronn, Stadt",Erststimmen,AfD,75,24.4
08127032,"Gerabronn, Stadt",Zweitstimmen,AfD,76,24.8
08127047,"Langenburg, Stadt",Erststimmen,AfD,32,24.4
08127047,"Langenburg, Stadt",Zweitstimmen,AfD,31,23.7
08127059,Michelfeld,Erststimmen,AfD,40,27.6
08127059,Michelfeld,Zweitstimmen,AfD,44,30.3
08127062,Oberrot,Erststimmen,AfD,62,28.3
08127062,Oberrot,Zweitstimmen,AfD,59,27.2
08127073,Satteldorf,Erststimmen,AfD,116,23.7
08127073,Satteldorf,Zweitstimmen,AfD,118,24.0
08127100,Rosengarten,Erststimmen,AfD,33,27.7
08127100,Rosengarten,Zweitstimmen,AfD,36,30.0
08128007,"Bad Mergentheim, Stadt",Erststimmen,AfD,27,18.6
08128007,"Bad Mergentheim, Stadt",Zweitstimmen,AfD,32,22.1
