Berichtszeitpunkt,_RS,Name,Regionalebene,0_Insgesamt_,GESCHLECHT__1,GESCHLECHT__2,Staatsange_kurz__1,Staatsange_kurz__2,Alter_infr__01,Alter_infr__02,Alter_infr__03,Alter_infr__04,Alter_infr__05,Alter_infr__06,Alter_infr__07,Alter_infr__08,Alter_infr__09,Alter_infr__10,Alter_infr__11,FAMSTND_KURZ__1,FAMSTND_KURZ__2,FAMSTND_KURZ__3,FAMSTND_KURZ__4,FAMSTND_KURZ__5,Einwanderungserf_ausf__2,Einwanderungserf_ausf__21,Einwanderungserf_ausf__22,Einwanderungserf_ausf__3,Einwanderungserf_ausf__1,ags
20220515,150845054335,Mertendorf,Gemeinde,1589,806,779,1570,19,30,39,57,110,50,50,220,497,233,172,137,608,764,108,106,3,40,40,–,–,1547,15084335
20220515,150845054341,Molauer Land,Gemeinde,1006,503,502,997,8,21,21,49,44,16,35,142,321,141,104,114,382,483,85,51,–,29,29,–,4,971,15084341
20220515,150845054375,"Osterfeld, Stadt",Gemeinde,2375,1212,1164,2256,119,52,49,77,103,50,87,362,677,334,293,295,856,1146,222,139,11,167,158,7,3,2204,15084375
20220515,150845054445,Schönburg,Gemeinde,1069,554,517,1012,58,26,36,50,44,27,39,154,303,135,153,103,400,516,65,85,3,67,69,–,3,998,15084445
20220515,150845054470,"Stößen, Stadt",Gemeinde,888,415,479,879,10,13,27,30,47,19,20,117,253,128,92,135,314,411,104,57,–,33,33,–,–,856,15084470
20220515,150845054560,Wethau,Gemeinde,861,430,426,835,27,11,22,25,39,21,28,100,264,138,129,87,275,472,65,46,4,46,45,3,4,809,15084560
20220515,150850040040,"Ballenstedt, Stadt",Gemeinde,8611,4177,4435,8482,129,196,200,277,454,207,356,1200,2444,1004,1007,1272,3121,3891,888,706,5,359,336,20,17,8234,15085040
20220515,150850055055,"Blankenburg (Harz), Stadt",Gemeinde,19565,9402,10163,19048,514,415,492,622,992,465,729,2780,5289,2392,2322,3072,7186,8520,2025,1692,145,1148,1054,95,72,18344,15085055
20220515,150850110110,"Falkenstein/Harz, Stadt",Gemeinde,5061,2560,2500,4981,80,99,116,160,212,99,170,672,1524,671,640,703,1711,2473,496,369,10,214,209,8,6,4837,15085110
20220515,150850135135,"Halberstadt, Stadt",Gemeinde,36676,17545,19131,34470,2205,682,783,1081,1739,898,1855,5444,9896,4317,4351,5629,13649,15139,3820,3574,491,3362,3080,280,100,33214,15085135
20220515,150850145145,"Harzgerode, Stadt",Gemeinde,7475,3659,3816,7328,150,122,135,221,313,171,221,897,2051,1112,993,1239,2395,3580,878,608,19,353,330,20,17,7107,15085145
20220515,150850185185,Huy,Gemeinde,6759,3430,3331,6670,90,125,152,242,378,154,228,877,2108,869,784,843,2492,3117,686,459,9,279,264,13,30,6451,15085185
20220515,150850190190,"Ilsenburg (Harz), Stadt",Gemeinde,9558,4641,4918,9390,164,224,262,365,507,233,347,1430,2846,1038,1088,1218,3563,4395,801,766,31,400,374,23,43,9115,15085190
20220515,150850227227,Nordharz,Gemeinde,7743,3821,3922,7685,58,188,216,355,428,244,312,1143,2354,972,814,713,3015,3673,557,495,–,195,188,7,41,7508,15085227
20220515,150850228228,"Oberharz am Brocken, Stadt",Gemeinde,10031,4929,5105,9825,205,171,198,301,402,232,330,1198,2832,1362,1312,1688,3277,4889,1059,755,50,381,372,7,14,9638,15085228
20220515,150850230230,"Osterwieck, Stadt",Gemeinde,11294,5727,5567,11088,205,251,275,407,604,331,459,1579,3399,1456,1258,1280,4173,5275,988,830,29,429,409,22,49,10816,15085230
20220515,150850235235,"Quedlinburg, Welterbestadt",Gemeinde,23309,11068,12237,22650,660,471,533,689,1089,557,1050,3364,6325,2866,2767,3598,9126,9523,2333,2292,28,1470,1344,124,73,21767,15085235
20220515,150850330330,"Thale, Stadt",Gemeinde,17165,8388,8779,16764,403,313,360,496,794,406,657,2307,4693,2193,2118,2834,6205,7604,1765,1503,91,829,763,63,39,16300,15085330
20220515,150850370370,"Wernigerode, Stadt",Gemeinde,32477,15598,16878,31101,1375,602,697,1009,1515,745,1750,5119,8523,3690,3762,5063,12824,13421,3030,3059,142,2615,2362,251,172,29690,15085370
20220515,150855051090,Ditfurt,Gemeinde,1457,720,733,1414,42,32,29,43,59,31,72,210,464,178,160,172,574,656,116,108,3,62,62,–,3,1390,15085090
20220515,150855051125,Groß Quenstedt,Gemeinde,855,433,420,853,3,18,22,33,42,21,32,117,290,95,87,98,335,373,94,55,–,10,8,3,–,845,15085125
20220515,150855051140,Harsleben / Harschlewe,Gemeinde,2120,1048,1073,2103,18,43,47,79,120,56,75,291,663,295,237,214,731,1094,154,141,–,60,57,5,12,2048,15085140
20220515,150855051160,Hedersleben,Gemeinde,1298,648,647,1276,19,24,27,41,54,28,62,203,357,182,141,181,508,560,133,98,–,45,45,–,–,1248,15085160
20220515,150855051285,"Schwanebeck, Stadt",Gemeinde,2357,1155,1202,2337,20,52,53,86,130,70,101,331,712,276,255,293,892,1072,209,180,3,73,67,8,3,2283,15085285
20220515,150855051287,Selke-Aue,Gemeinde,1334,672,662,1324,13,19,31,38,85,35,47,173,385,198,172,147,483,651,125,71,3,48,48,–,14,1276,15085287
20220515,150855051365,"Wegeleben, Stadt",Gemeinde,2472,1235,1237,2435,36,42,55,81,116,62,83,297,764,339,281,352,883,1132,271,181,3,95,95,–,9,2371,15085365
20220515,150860005005,Biederitz,Gemeinde,8488,4134,4356,8295,195,201,262,344,482,190,269,1236,2550,1099,871,988,3146,3976,689,656,20,432,403,31,47,8007,15086005
20220515,150860015015,"Burg, Stadt",Gemeinde,22109,11039,11070,20602,1506,508,576,759,1108,529,1078,3542,5970,2593,2287,3158,8768,8976,2107,1984,277,2065,1831,237,58,19988,15086015
20220515,150860035035,Elbe-Parey,Gemeinde,6420,3133,3286,6338,81,133,145,233,334,131,229,887,1793,853,789,887,2223,3110,629,442,9,204,198,7,18,6198,15086035
20220515,150860040040,"Genthin, Stadt",Gemeinde,13624,6661,6967,12837,791,240,321,416,627,289,565,1869,3755,1837,1679,2021,4846,6051,1437,1200,90,1314,1197,116,40,12271,15086040
20220515,150860055055,"Gommern, Stadt",Gemeinde,10228,4922,5305,9953,278,237,251,378,549,255,359,1370,2974,1381,1089,1376,3607,4910,961,720,31,538,512,27,32,9658,15086055
20220515,150860080080,"Jerichow, Stadt",Gemeinde,6677,3353,3322,6588,88,135,171,221,338,149,229,930,1999,987,753,766,2426,3096,615,530,8,239,224,13,37,6404,15086080
20220515,150860140140,"Möckern, Stadt",Gemeinde,12743,6341,6402,11993,749,280,342,467,699,321,427,1807,3814,1679,1346,1564,4701,5917,1157,916,56,1127,1090,38,42,11573,15086140
20220515,150860145145,Möser,Gemeinde,8421,4137,4281,8319,100,195,267,398,531,232,234,1202,2537,1076,889,862,2966,4360,518,570,10,287,263,25,33,8100,15086145
20220515,150870015015,"Allstedt, Stadt",Gemeinde,7643,3825,3816,7559,84,142,151,300,428,199,316,1008,2185,1032,922,956,2777,3606,716,522,17,274,261,11,23,7349,15087015
20220515,150870031031,"Arnstein, Stadt",Gemeinde,6294,3125,3172,6220,73,112,113,185,342,143,186,742,1839,886,844,901,2124,3055,675,429,12,239,220,19,19,6037,15087031
20220515,150870130130,"Eisleben, Lutherstadt",Gemeinde,22630,11016,11613,21112,1516,530,537,747,1176,490,1149,3464,5944,2713,2596,3280,8656,9079,2364,1939,584,2261,1971,286,60,20310,15087130
20220515,150870165165,"Gerbstedt, Stadt",Gemeinde,6829,3390,3442,6760,72,113,136,178,372,179,225,830,2026,934,869,972,2292,3313,728,491,9,257,252,8,15,6557,15087165
20220515,150870220220,"Hettstedt, Stadt",Gemeinde,13111,6412,6700,12402,711,249,320,385,609,307,539,1718,3374,1679,1582,2353,4559,5648,1523,1210,174,1417,1264,151,24,11669,15087220
20220515,150870275275,"Mansfeld, Stadt",Gemeinde,8369,4185,4184,8252,118,127,141,263,367,180,258,964,2399,1179,1181,1308,2634,4178,887,624,43,365,354,10,29,7973,15087275
20220515,150870370370,"Sangerhausen, Stadt",Gemeinde,25819,12577,13241,24740,1081,481,522,773,1254,591,1151,3348,6986,3186,3126,4395,9152,11233,2796,2335,304,2138,1893,248,80,23600,15087370
20220515,150870386386,Seegebiet Mansfelder Land,Gemeinde,8568,4195,4373,8457,111,184,159,246,414,190,292,1132,2528,1141,1062,1223,2841,4088,942,681,20,299,286,12,22,8251,15087386
20220515,150870412412,Südharz,Gemeinde,9037,4495,4542,8839,197,164,217,294,386,217,328,1251,2516,1210,1143,1308,3089,4310,956,670,16,365,353,9,16,8653,15087412
20220515,150875051055,Berga,Gemeinde,1654,843,811,1621,33,33,46,78,76,50,58,250,459,217,193,189,629,762,147,116,3,66,62,8,3,1587,15087055
20220515,150875051101,Brücken-Hackpfüffel,Gemeinde,967,472,495,964,3,24,23,31,37,26,27,135,294,129,132,108,351,479,74,58,–,12,12,–,–,953,15087101
20220515,150875051125,Edersleben,Gemeinde,958,481,476,952,5,25,24,37,40,18,29,128,289,125,125,120,308,513,92,44,–,22,22,–,–,935,15087125
20220515,150875051250,"Kelbra (Kyffhäuser), Stadt",Gemeinde,3294,1634,1661,3241,50,49,77,125,140,67,129,423,971,407,437,464,1134,1553,328,278,–,114,110,3,6,3175,15087250
20220515,150875051440,Wallhausen,Gemeinde,2412,1170,1242,2393,19,46,73,89,104,49,86,347,628,321,316,359,806,1182,277,147,3,67,64,–,13,2329,15087440
