party,code,feature,label,n,scope,spearman,pearson,pearson_vote_weighted,spearman_without_three_cities,n_without_three_cities,spearman_cities_only,n_cities_only,spearman_within_kreis,leave_one_kreis_min,leave_one_kreis_max
AfD,F2,log_population,Population size (log),218,all municipalities,-0.3386824620259666,-0.4188141290317615,-0.8151537264039957,-0.31076424578387535,215,-0.5400085351541664,104,-0.3856403533149645,-0.4088418494287999,-0.29600892016894015
BSW,F15,log_density,Population density (log),218,all municipalities,-0.12759600351776226,-0.10642902132547404,-0.1776753163138075,-0.1345849134804432,215,-0.14737010562253283,104,-0.11091802946595895,-0.14343010942984344,-0.10988400742958948
CDU,F1,age18_29_share,Residents aged 18–29 (%),218,all municipalities,-0.15164747846865842,-0.13341020124266845,-0.6723239013485585,-0.134903040401845,215,-0.15474234503360718,104,-0.14671032098164313,-0.18394945194660092,-0.13315041157395857
Die Linke,F3,single_household_share,One-person households (%),218,all municipalities,0.42064472711468964,0.41363118993077364,0.7560592403547322,0.4004474873963232,215,0.5253814147018031,104,0.39330269913889193,0.3635658066249824,0.4649941558601587
Die PARTEI,F11,age18_29_share,Residents aged 18–29 (%),218,all municipalities,0.24122031433435018,0.17386917618259243,0.2888162222514178,0.23098770870454802,215,0.3203064153219247,104,0.20476182286479006,0.1557116931153658,0.2992198519513075
FDP,F5,vacancy_share,Vacant dwellings (%),218,all municipalities,-0.23761329743856235,-0.2241739689524042,-0.3148605457094895,-0.243110493833835,215,-0.29036456958977586,104,-0.2676371632756741,-0.298043529639133,-0.16439777213174703
FREIE WÄHLER,F7,age18_29_share,Residents aged 18–29 (%),218,all municipalities,-0.14731378585810512,-0.16682164372686453,-0.4695343713802467,-0.12739810632842183,215,-0.22639496425904196,104,-0.12050755553479843,-0.1921429142880034,-0.11034840905786135
GRÜNE,F6,log_population,Population size (log),218,all municipalities,0.3619973156384978,0.4417313862082931,0.8385770272158569,0.3354128952157566,215,0.5786301077563214,104,0.4505967031635182,0.3151594557462421,0.4831243015234422
Gartenpartei,F10,age18_29_share,Residents aged 18–29 (%),218,all municipalities,0.20408914978987633,0.2107622470919476,0.5198427478965685,0.19648107474364676,215,0.1798997119385469,104,0.1833485706064826,0.16634944060779036,0.2552303317069602
PdF,F19,vacancy_share,Vacant dwellings (%),218,all municipalities,-0.1508683544922051,-0.05294148195405806,-0.0554076037371628,-0.14705657368008918,215,-0.1984027911596961,104,-0.042864564147674124,-0.19926163682486261,-0.12680034763529655
SPD,F4,owner_occupancy_share,Owner-occupied dwellings (%),218,all municipalities,-0.24242543582536807,-0.2861028816260279,-0.6052010918446996,-0.21504771311531665,215,-0.4194601514989865,104,-0.2641278464200684,-0.2840638738716527,-0.2069588164773668
TIERSCHUTZALLIANZ,F12,rent_eur_m2,Net cold rent (EUR/m²),218,all municipalities,0.3372343290024886,0.32102886595147884,0.3067644587222636,0.33210747895264675,215,0.2287147230919295,104,0.27165806150389454,0.2843592369383833,0.3633843589007938
Tierschutzpartei,F9,log_density,Population density (log),218,all municipalities,0.2871200485559952,0.19993337106440973,-0.08060675941174736,0.29534901552144743,215,0.4060066147444789,104,0.16425687463918,0.2137064550281517,0.3311088346822832
Volt,F20,log_population,Population size (log),218,all municipalities,0.2246109562430788,0.15101147042213486,0.43460634479317484,0.21090413446451997,215,0.2738706548607154,104,0.21972125046648847,0.20075075840983603,0.2837994411024134
dieBasis,F8,log_density,Population density (log),218,all municipalities,-0.09477682008872548,-0.08248903192274155,-0.04123335197158146,-0.10040562753639977,215,0.01920430176468805,104,-0.0003191058289397881,-0.15546396928701722,-0.04641006375487845
