party,code,feature,label,n,scope,spearman,pearson,pearson_vote_weighted,spearman_without_three_cities,n_without_three_cities,spearman_cities_only,n_cities_only,spearman_within_kreis,leave_one_kreis_min,leave_one_kreis_max
CDU,F1,log_population,Population size (log),218,all municipalities,0.07920922818090433,0.05033005834921225,-0.5251692600496988,0.1024995494635187,215,0.03351114904512963,104,-0.004855272172671763,0.01654476969777973,0.1286181952059369
CDU,F1,log_density,Population density (log),218,all municipalities,0.06282674907582171,0.04490175374407888,-0.5937256446831372,0.08587505131734646,215,-0.11971620612397313,104,0.033216184743400594,-0.02247309171518615,0.0914594507686873
CDU,F1,age65_share,Residents aged 65+ (%),218,all municipalities,0.13441198052435063,0.12325682571375,0.5456175930589185,0.11358641841145646,215,0.08474341192787796,104,0.15581062635742401,0.08384871596870679,0.18169769243095987
CDU,F1,age18_29_share,Residents aged 18–29 (%),218,all municipalities,-0.15164747846865842,-0.13341020124266845,-0.6723239013485585,-0.134903040401845,215,-0.15474234503360718,104,-0.14671032098164313,-0.18394945194660092,-0.13315041157395857
CDU,F1,male_share,Male residents (%),218,all municipalities,-0.025322760368529058,-0.046490587613279566,0.0862520959832125,-0.031387519251568935,215,0.0396884668729329,104,-0.04943177264528412,-0.05707444422775438,-0.0004273277783504601
CDU,F1,population_change_2024_25,Population change 2024–25 (%),218,all municipalities,0.023769472831641814,0.024999927971753478,-0.2737961225965806,0.03890399396990988,215,-0.013464205697215407,104,0.04699022723307307,-0.015112280650811813,0.05611330718760943
CDU,F1,foreign_citizenship_share,Non-German citizenship (%),218,all municipalities,0.06717792095008675,0.00876357215224952,-0.5307133226326374,0.0893851847983525,215,0.05427291155446496,104,0.047223355645119286,0.03237258308374863,0.11795995127173878
CDU,F1,single_household_share,One-person households (%),218,all municipalities,-0.017370439846895958,-0.047056726799165685,-0.4707738635321479,0.0040993503827670315,215,-0.08195881788114798,104,0.015869413551469518,-0.045170618854829384,0.008150940120720046
CDU,F1,owner_occupancy_share,Owner-occupied dwellings (%),218,all municipalities,-0.006204438956676177,0.042117428016147145,0.513353882359645,-0.027815846574251214,215,0.0535367545076283,104,-0.016576636762721805,-0.04796164660330288,0.02543960125398631
CDU,F1,vacancy_share,Vacant dwellings (%),218,all municipalities,-0.10499750818732921,-0.14181085272605384,0.033339175072721175,-0.11825395963609324,215,-0.27711865325151724,104,-0.03738369479304265,-0.1454525490172366,-0.06327209052765768
