ags,name,kreis,valid_second_votes,eligible_voters,voters,F1_votes,F1_share,F10_votes,F10_share,F11_votes,F11_share,F12_votes,F12_share,F15_votes,F15_share,F19_votes,F19_share,F2_votes,F2_share,F20_votes,F20_share,F3_votes,F3_share,F4_votes,F4_share,F5_votes,F5_share,F6_votes,F6_share,F7_votes,F7_share,F8_votes,F8_share,F9_votes,F9_share,population_2025,male_2025,female_2025,age65_share,age18_29_share,male_share,log_population,ars_2026q2,register_name,area_km2,population_2024,longitude,latitude,urban_class,urban_class_name,is_city,density_2025,log_density,population_change_2024_25,turnout,census_ars,census_population,foreign_citizenship_share,single_household_share,owner_occupancy_share,vacancy_share,rent_eur_m2,abitur_share,no_vocational_qualification_share,ilo_unemployment_share,manufacturing_share
15001000,"Dessau-Roßlau, Stadt",15001,46610,61152,47083,8551,18.345848530358293,230,0.49345633984123577,120,0.25745548165629695,259,0.5556747479081742,2963,6.357004934563398,63,0.1351641278695559,18134,38.90581420296074,167,0.3582922119716799,3953,8.481012658227849,4709,10.10298219266252,1452,3.115211328041193,4937,10.592147607809483,455,0.9761853679467926,52,0.111564042051062,565,1.2121862261317313,75035,35892,39143,32.89131738522023,10.0419804091424,47.833677617112016,11.22570995033009,150010000000,"Dessau-Roßlau, Stadt",245.78,75402.0,12.245715,51.834703,02,mittlere Besiedlungsdichte,True,305.29335177801283,5.7212731234736385,-0.48672449006658125,76.99339351125066,150010000000,75938.0,6.754194211066923,48.33629787738646,34.5,12.49,5.48,25.20225919706915,16.211265455655624,6.968145620022753,18.6487312748395
15002000,"Halle (Saale), Stadt",15002,133423,174904,134559,18609,13.94737039341043,557,0.4174692519280784,430,0.32228326450462064,621,0.46543699362178936,6580,4.93168344288466,233,0.17463255960366653,39835,29.856171724515264,502,0.37624697391004547,15263,11.439556897986105,16841,12.622261529121666,3831,2.871319037946981,27558,20.654609774926364,1041,0.7802252984867677,204,0.15289717664870375,1318,0.9878356805048605,226186,109350,116836,24.486042460629747,17.209730045184052,48.34516725173088,12.329112948617903,150020000000,"Halle (Saale), Stadt",135.56,226767.0,11.970666,51.482478,01,dicht besiedelt,True,1668.5305399822955,7.419698601879052,-0.25621011875626154,76.93306042171706,150020000000,226586.0,11.201486411340506,54.8552552180842,16.8,7.74,5.92,38.65572735878826,23.34595561165457,8.126349892008639,9.334900577921442
15003000,"Magdeburg, Landeshauptstadt",15003,138521,176179,139563,21221,15.319698818229726,1921,1.3867933381942088,419,0.302481212234968,1129,0.8150388749720259,7104,5.128464276174731,233,0.16820554284187958,45161,32.60227691108207,697,0.5031728041235625,15313,11.054641534496575,16728,12.0761472989655,4016,2.899199399369049,22368,16.14773211282044,770,0.5558723947993445,191,0.13788523039827896,1250,0.9023902512976372,244494,121550,122944,24.5470236488421,16.707567465868284,49.71492142956473,12.406946047718655,150030000000,"Magdeburg, Landeshauptstadt",201.68,244329.0,11.632726,52.126248,01,dicht besiedelt,True,1212.2867909559698,7.100263764838991,0.06753189347150634,79.21659221587136,150030000000,241517.0,11.068786048187084,52.195894454316324,18.38,6.66,5.75,35.07127514157391,22.036711579769577,8.672743999330935,11.941391941391942
15081026,"Apenburg-Winterfeld, Flecken",15081,1054,1315,1069,179,16.98292220113852,5,0.47438330170777987,3,0.2846299810246679,3,0.2846299810246679,69,6.546489563567363,2,0.18975332068311196,495,46.963946869070206,1,0.09487666034155598,80,7.590132827324478,112,10.62618595825427,31,2.9411764705882355,61,5.787476280834914,5,0.47438330170777987,1,0.09487666034155598,7,0.6641366223908919,1629,828,801,25.414364640883978,8.655616942909761,50.828729281767956,7.395721608602045,150815051026,"Apenburg-Winterfeld, Flecken",59.38,1652.0,11.203595,52.708386,03,gering besiedelt,False,27.433479285954867,3.3117641392664314,-1.3922518159806274,81.29277566539923,150815051026,1684.0,2.672209026128266,32.348993288590606,76.64,6.17,4.31,,,,
15081030,"Arendsee (Altmark), Stadt",15081,4200,5337,4246,771,18.357142857142858,15,0.35714285714285715,19,0.4523809523809524,18,0.42857142857142855,224,5.333333333333333,7,0.16666666666666666,1838,43.76190476190476,17,0.40476190476190477,439,10.452380952380953,367,8.738095238095237,141,3.357142857142857,252,6.0,40,0.9523809523809523,15,0.35714285714285715,37,0.8809523809523809,6188,3070,3118,29.945054945054945,7.934712346477053,49.612152553329025,8.730367211692958,150810030030,"Arendsee (Altmark), Stadt",271.13,6232.0,11.489149,52.881825,03,gering besiedelt,True,22.823000036882675,3.1277688010377713,-0.7060333761232385,79.55780400974331,150810030030,6486.0,3.1914893617021276,37.94440853264383,67.63,8.46,4.63,,,,
15081045,Beetzendorf,15081,1875,2442,1890,315,16.8,7,0.37333333333333335,10,0.5333333333333333,6,0.32,103,5.493333333333333,4,0.21333333333333335,751,40.053333333333335,5,0.26666666666666666,188,10.026666666666667,188,10.026666666666667,39,2.08,218,11.626666666666667,18,0.96,9,0.48,14,0.7466666666666667,2870,1415,1455,27.735191637630663,7.351916376306621,49.30313588850174,7.962067308753666,150815051045,Beetzendorf,98.34,2913.0,11.089028,52.7,03,gering besiedelt,False,29.18446207036811,3.3736364467698734,-1.4761414349467872,77.39557739557739,150815051045,3017.0,1.193238316208154,38.54625550660793,64.17,8.88,4.57,,,,
15081095,Dähre,15081,891,1125,899,169,18.967452300785634,0,0.0,3,0.3367003367003367,0,0.0,52,5.836139169472503,3,0.3367003367003367,369,41.41414141414141,0,0.0,85,9.539842873176207,93,10.437710437710438,32,3.591470258136925,77,8.641975308641975,5,0.5611672278338945,1,0.1122334455667789,2,0.2244668911335578,1302,664,638,27.956989247311828,7.8341013824884795,50.99846390168971,7.171656822768514,150815051095,Dähre,79.22,1311.0,10.908302,52.800712,03,gering besiedelt,False,16.435243625347134,2.799428030574744,-0.6864988558352381,79.91111111111111,150815051095,1375.0,2.909090909090909,34.62132921174652,74.66,8.22,4.06,,,,
15081105,"Diesdorf, Flecken",15081,1442,1802,1453,282,19.55617198335645,2,0.13869625520110956,7,0.4854368932038835,8,0.5547850208044383,72,4.993065187239944,3,0.20804438280166435,595,41.262135922330096,2,0.13869625520110956,124,8.599167822468793,156,10.818307905686547,36,2.496532593619972,121,8.39112343966713,15,1.0402219140083218,6,0.4160887656033287,13,0.9015256588072122,2078,995,1083,29.25890279114533,7.025986525505293,47.88257940327238,7.639161171659173,150815051105,"Diesdorf, Flecken",101.04,2101.0,10.876032,52.752205,03,gering besiedelt,False,20.566112430720505,3.0236446936169368,-1.094716801523088,80.63263041065483,150815051105,2165.0,2.678983833718245,33.63914373088685,72.84,7.29,4.73,,,,
15081135,"Gardelegen, Hansestadt",15081,13705,17566,13849,2369,17.2856621670923,84,0.6129149945275447,56,0.4086099963516965,78,0.5691353520612915,754,5.501641736592484,32,0.2334914264866837,5780,42.174388909157244,50,0.36483035388544327,1245,9.084275811747537,1548,11.295147756293323,439,3.203210507114192,986,7.194454578620941,121,0.8828894564027727,17,0.12404232032105071,146,1.0653046333454943,21661,10770,10891,27.814966991366973,9.274733391810166,49.72069618207839,9.983268687540978,150810135135,"Gardelegen, Hansestadt",636.27,21822.0,11.394214,52.524469,03,gering besiedelt,True,34.04372357646911,3.5276456859856133,-0.7377875538447487,78.83980416714107,150810135135,22076.0,3.69632179742707,39.58683866143204,54.83,6.73,4.81,19.46524064171123,20.21390374331551,5.485611510791367,23.78686964795433
15081225,Jübar,15081,1037,1230,1044,172,16.586306653809064,6,0.5785920925747348,3,0.2892960462873674,5,0.4821600771456123,44,4.243008678881389,2,0.19286403085824494,532,51.301832208293156,0,0.0,78,7.521697203471552,80,7.714561234329797,22,2.1215043394406945,68,6.557377049180328,12,1.1571841851494695,2,0.19286403085824494,11,1.0607521697203472,1505,754,751,24.78405315614618,8.106312292358805,50.09966777408638,7.316548177182976,150815051225,Jübar,71.15,1508.0,10.907754,52.688922,03,gering besiedelt,False,21.152494729444832,3.0517578526471145,-0.19893899204244114,84.8780487804878,150815051225,1543.0,0.9721322099805574,31.686046511627907,77.47,7.79,4.17,,,,
