Berichtszeitpunkt,_RS,Name,Regionalebene,SCHULABS_STP,SCHULABS_STP__M,SCHULABS_STP__W,SCHULABS_STP__1,SCHULABS_STP__1_M,SCHULABS_STP__1_W,SCHULABS_STP__2,SCHULABS_STP__2_M,SCHULABS_STP__2_W,SCHULABS_STP__21,SCHULABS_STP__21_M,SCHULABS_STP__21_W,SCHULABS_STP__22,SCHULABS_STP__22_M,SCHULABS_STP__22_W,SCHULABS_STP__23,SCHULABS_STP__23_M,SCHULABS_STP__23_W,SCHULABS_STP__24,SCHULABS_STP__24_M,SCHULABS_STP__24_W,SCHULABS_STP__3,SCHULABS_STP__3_M,SCHULABS_STP__3_W,ags
20220515,150010000000,"Dessau-Roßlau, Stadt",Gemeinde,65510,31110,34400,1930,990,940,60850,28630,32220,10010,4910,5100,22320,10110,12210,12010,5500,6520,16510,8120,8380,2740,1490,1240,15001000
20220515,150020000000,"Halle (Saale), Stadt",Gemeinde,190140,89910,100240,7010,3590,3420,172310,80280,92030,22430,10240,12190,45030,20560,24470,31360,14180,17180,73500,35310,38190,10820,6040,4780,15002000
20220515,150030000000,"Magdeburg, Landeshauptstadt",Gemeinde,204840,99680,105170,7120,3710,3410,186000,89640,96370,29440,13900,15540,45500,20550,24950,39220,19140,20080,71840,36040,35800,11720,6330,5390,15003000
20220515,150810030030,"Arendsee (Altmark), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081030
20220515,150810135135,"Gardelegen, Hansestadt",Gemeinde,18700,9100,9600,750,380,370,17000,8150,8850,3260,1610,1650,6380,2980,3400,3710,1870,1840,3640,1690,1960,950,570,380,15081135
20220515,150810240240,"Kalbe (Milde), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081240
20220515,150810280280,"Klötze, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081280
20220515,150810455455,"Salzwedel, Hansestadt",Gemeinde,19230,9350,9880,650,320,330,17540,8450,9090,3460,1770,1690,5280,2430,2850,4820,2420,2400,3990,1840,2160,1030,570,460,15081455
20220515,150815051026,"Apenburg-Winterfeld, Flecken",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081026
20220515,150815051045,Beetzendorf,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081045
20220515,150815051095,Dähre,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081095
20220515,150815051105,"Diesdorf, Flecken",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081105
20220515,150815051225,Jübar,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081225
20220515,150815051290,Kuhfelde,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081290
20220515,150815051440,Rohrberg,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081440
20220515,150815051545,Wallstawe,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081545
20220515,150820005005,"Aken (Elbe), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15082005
20220515,150820015015,"Bitterfeld-Wolfen, Stadt",Gemeinde,31670,15180,16500,910,480,430,28890,13750,15140,5660,2600,3060,9870,4680,5190,7090,3420,3680,6260,3050,3210,1870,950,920,15082015
