Berichtszeitpunkt,_RS,Name,Regionalebene,GEBAEUDEART_SYS_1,GEBAEUDEART_SYS_11,GEBAEUDEART_SYS_111,GEBAEUDEART_SYS_112,GEBAEUDEART_SYS_12,ZAHLWOHNGN_HHG__1,ZAHLWOHNGN_HHG__2,ZAHLWOHNGN_HHG__3,ZAHLWOHNGN_HHG__4,ZAHLWOHNGN_HHG__5,BAUJAHR_10JA__01,BAUJAHR_10JA__02,BAUJAHR_10JA__03,BAUJAHR_10JA__04,BAUJAHR_10JA__05,BAUJAHR_10JA__06,BAUJAHR_10JA__07,BAUJAHR_10JA__08,BAUJAHR_10JA__09,BAUJAHR_10JA__10,EIGENTUM__1,EIGENTUM__2,EIGENTUM__3,EIGENTUM__4,EIGENTUM__5,EIGENTUM__6,EIGENTUM__7,EIGENTUM__8,HEIZTYP__1,HEIZTYP__2,HEIZTYP__3,HEIZTYP__4,HEIZTYP__5,HEIZTYP__6,ENERGIETRAEGER__1,ENERGIETRAEGER__2,ENERGIETRAEGER__3,ENERGIETRAEGER__4,ENERGIETRAEGER__5,ENERGIETRAEGER__6,ENERGIETRAEGER__7,NERGIETRAEGER__8,ENERGIETRAEGER__9,NUTZUNG__01,NUTZUNG__02,NUTZUNG__03,NUTZUNG__04,MIETE_EURM2_2__01,MIETE_EURM2_2__02,MIETE_EURM2_2__03,MIETE_EURM2_2__04,MIETE_EURM2_2__05,MIETE_EURM2_2__06,MIETE_EURM2_2__07,MIETE_EURM2_2__08,MIETE_EURM2_2__09,MIETE_EURM2_2__10,WOHNFLAECHE_20S__01,WOHNFLAECHE_20S__02,WOHNFLAECHE_20S__03,WOHNFLAECHE_20S__04,WOHNFLAECHE_20S__05,WOHNFLAECHE_20S__06,WOHNFLAECHE_20S__07,WOHNFLAECHE_20S__08,WOHNFLAECHE_20S__09,WOHNFLAECHE_20S__10,RAUMANZAHL__01,RAUMANZAHL__02,RAUMANZAHL__03,RAUMANZAHL__04,RAUMANZAHL__05,RAUMANZAHL__06,RAUMANZAHL__07,QMMIETE,LEQ,ETQ,FLAECHE,LEERSTAND_INSGESAMT,LEERSTAND_DAUER__1,LEERSTAND_DAUER__2,LEERSTAND_DAUER__3,LEERSTAND_DAUER__4,LEERSTAND_GRUND__1,LEERSTAND_GRUND__2,LEERSTAND_GRUND__3,LEERSTAND_GRUND__4,LEERSTAND_GRUND__5,LEERSTAND_GRUND__6,ags
20220515,150815051095,Dähre,Gemeinde,766,749,749,–,18,488,115,125,39,–,339,207,23,18,65,20,61,17,9,6,96,664,4,–,–,4,–,–,7,32,12,580,113,19,331,168,172,–,13,40,13,7,19,506,167,22,73,100,61,3,–,–,–,–,–,–,–,11,83,108,111,103,159,72,35,24,61,5,32,100,187,143,132,170,4.06,8.22,74.66,116.33,73,10,–,3,57,14,13,–,16,10,14,15081095
20220515,150815051105,"Diesdorf, Flecken",Gemeinde,1135,1100,1100,–,33,740,161,192,27,10,370,259,82,56,82,75,114,68,6,23,96,977,5,25,9,18,–,3,23,41,8,930,106,27,547,244,212,10,21,30,22,23,27,745,289,16,84,91,171,29,–,–,–,–,–,–,–,32,124,146,140,162,195,124,75,40,101,–,47,135,230,274,169,275,4.73,7.29,72.84,118.91,84,3,6,17,56,15,18,6,6,–,35,15081105
20220515,150815051225,Jübar,Gemeinde,772,756,756,–,17,513,133,85,23,13,249,170,40,37,57,50,75,40,27,17,84,662,–,22,–,–,–,3,21,50,5,650,38,15,434,165,96,–,16,24,6,21,15,540,163,10,60,82,64,13,–,–,–,–,–,–,–,19,50,95,105,130,115,95,46,44,77,17,26,77,164,165,123,202,4.17,7.79,77.47,122.0,60,5,4,12,41,10,9,–,7,7,25,15081225
20220515,150815051290,Kuhfelde,Gemeinde,518,511,511,–,4,318,74,122,–,–,182,71,26,18,39,27,104,40,5,7,53,458,–,–,–,3,–,–,7,21,3,417,49,14,230,142,87,–,11,24,7,7,14,350,116,12,39,37,81,–,–,–,–,–,–,–,–,5,35,79,81,86,78,58,35,16,40,3,12,58,133,119,81,113,4.14,7.77,74.89,116.11,39,6,3,3,24,8,4,3,–,7,16,15081290
20220515,150815051440,Rohrberg,Gemeinde,536,519,519,–,19,353,92,61,28,–,241,95,25,13,44,34,31,35,3,12,38,457,–,40,–,3,–,3,27,46,–,384,50,24,306,73,58,–,13,23,5,27,24,374,105,3,58,70,32,–,–,–,–,–,–,–,–,4,44,79,75,98,101,54,29,18,39,3,16,85,89,114,95,135,3.89,9.9,80.26,115.26,58,8,5,5,42,13,16,–,7,10,16,15081440
20220515,150815051545,Wallstawe,Gemeinde,439,424,424,–,12,299,59,81,–,–,180,93,26,23,36,20,32,9,7,8,42,369,–,26,–,3,–,–,10,31,–,338,31,25,209,110,65,–,7,7,3,10,25,309,66,9,57,29,34,3,–,–,–,–,–,–,–,5,42,54,44,72,71,56,29,19,47,4,17,51,92,94,88,89,3.94,12.47,82.37,123.17,57,3,9,10,36,10,26,–,4,3,13,15081545
20220515,150820005005,"Aken (Elbe), Stadt",Gemeinde,4351,4275,4275,–,78,2284,501,631,857,77,1187,1127,205,164,370,629,399,146,47,75,313,3086,489,351,65,47,–,4,545,324,475,2585,330,96,2808,432,121,–,60,225,68,545,96,2336,1510,49,459,394,1033,77,9,3,–,–,–,–,–,158,977,1067,821,581,441,158,61,35,54,84,433,1090,1288,820,369,270,4.53,10.57,61.18,84.51,459,45,32,41,343,262,73,7,33,21,65,15082005
20220515,150820015015,"Bitterfeld-Wolfen, Stadt",Gemeinde,24406,23961,23804,155,449,5415,1816,7421,7835,1921,2936,8186,1905,4372,3010,1056,1582,679,350,334,2251,9571,4700,5568,1270,962,6,82,11168,2126,670,9751,575,120,11251,1038,151,–,304,209,164,11168,120,6483,14423,41,3465,1043,9879,3050,375,22,40,6,–,–,4,1236,9613,5889,3070,2164,1300,584,232,134,188,693,3069,7608,7653,3106,1299,980,5.5,13.95,31.35,73.45,3465,313,258,393,2501,1323,1286,123,112,63,561,15082015
20220515,150820180180,"Köthen (Anhalt), Stadt",Gemeinde,15508,15215,14934,282,293,3446,929,4286,5570,1283,4154,3363,811,1309,1599,1332,1855,600,280,202,2133,7331,1822,3351,153,379,248,91,2269,2713,50,9622,696,157,11022,896,135,4,210,713,96,2269,157,4093,9807,27,1579,796,7747,1089,160,6,5,–,–,–,–,1311,5182,3867,1968,1293,1024,408,178,99,183,429,1942,4783,4900,2148,737,567,5.1,10.09,30.15,74.75,1579,212,162,209,997,618,484,136,102,35,201,15082180
20220515,150820241241,Muldestausee,Gemeinde,6024,5946,5938,7,79,3947,988,732,213,142,944,1834,452,273,628,422,557,381,124,408,748,5040,–,158,–,66,4,11,165,284,86,5023,361,103,2108,2591,279,4,482,242,45,165,103,4293,1316,93,322,348,596,242,92,14,3,23,–,–,–,156,738,1078,1084,1140,957,443,183,107,146,85,338,1001,1623,1401,825,750,5.79,5.42,76.81,99.58,322,79,27,37,181,86,54,6,25,37,116,15082241
20220515,150820256256,Osternienburger Land,Gemeinde,4166,4087,4087,–,81,2908,510,576,171,–,1384,951,302,199,276,297,451,175,64,64,375,3559,–,140,42,43,–,3,88,277,63,3123,499,119,1386,1822,217,–,118,249,165,88,119,3011,787,77,293,295,441,42,11,–,–,–,–,–,–,117,467,726,881,722,630,291,137,84,113,24,196,697,1252,1055,536,400,4.51,6.85,79.58,99.93,293,38,22,32,199,71,66,13,35,17,93,15082256
