Berichtszeitpunkt,_RS,Name,Regionalebene,ET_WIRTSZWG_STP,ET_WIRTSZWG_STP__M,ET_WIRTSZWG_STP__W,ET_WIRTSZWG_STP__1,ET_WIRTSZWG_STP__1_M,ET_WIRTSZWG_STP__1_W,ET_WIRTSZWG_STP__2,ET_WIRTSZWG_STP__2_M,ET_WIRTSZWG_STP__2_W,ET_WIRTSZWG_STP__21,ET_WIRTSZWG_STP__21_M,ET_WIRTSZWG_STP__21_W,ET_WIRTSZWG_STP__22,ET_WIRTSZWG_STP__22_M,ET_WIRTSZWG_STP__22_W,ET_WIRTSZWG_STP__23,ET_WIRTSZWG_STP__23_M,ET_WIRTSZWG_STP__23_W,ET_WIRTSZWG_STP__3,ET_WIRTSZWG_STP__3_M,ET_WIRTSZWG_STP__3_W,ET_WIRTSZWG_STP__31,ET_WIRTSZWG_STP__31_M,ET_WIRTSZWG_STP__31_W,ET_WIRTSZWG_STP__32,ET_WIRTSZWG_STP__32_M,ET_WIRTSZWG_STP__32_W,ET_WIRTSZWG_STP__33,ET_WIRTSZWG_STP__33_M,ET_WIRTSZWG_STP__33_W,ET_WIRTSZWG_STP__34,ET_WIRTSZWG_STP__34_M,ET_WIRTSZWG_STP__34_W,ET_WIRTSZWG_STP__35,ET_WIRTSZWG_STP__35_M,ET_WIRTSZWG_STP__35_W,ET_WIRTSZWG_STP__36,ET_WIRTSZWG_STP__36_M,ET_WIRTSZWG_STP__36_W,ags
20220515,150815051105,"Diesdorf, Flecken",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081105
20220515,150815051225,Jübar,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081225
20220515,150815051290,Kuhfelde,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081290
20220515,150815051440,Rohrberg,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081440
20220515,150815051545,Wallstawe,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15081545
20220515,150820005005,"Aken (Elbe), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15082005
20220515,150820015015,"Bitterfeld-Wolfen, Stadt",Gemeinde,15770,8540,7240,240,/,/,5720,4350,1370,3820,2820,1000,510,310,/,1390,1230,/,9810,4030,5780,1930,790,1140,1620,1090,530,330,/,220,890,490,400,1140,590,550,3900,960,2940,15082015
20220515,150820180180,"Köthen (Anhalt), Stadt",Gemeinde,9750,5200,4540,350,/,/,2500,2050,450,1410,1090,320,/,/,/,910,830,/,6900,2950,3950,1190,540,650,790,630,/,/,/,/,730,440,290,900,390,510,3100,840,2260,15082180
20220515,150820241241,Muldestausee,Gemeinde,5760,2980,2780,/,/,/,1720,1280,450,980,750,230,270,/,/,480,360,/,3930,1630,2300,1140,430,710,610,370,230,/,/,/,350,240,/,490,240,250,1260,320,940,15082241
20220515,150820256256,Osternienburger Land,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15082256
20220515,150820301301,"Raguhn-Jeßnitz, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15082301
20220515,150820340340,"Sandersdorf-Brehna, Stadt",Gemeinde,6710,3490,3210,/,/,/,2310,1710,600,1530,1080,450,240,/,/,540,450,/,4330,1740,2590,890,380,510,800,580,220,/,/,/,360,/,/,550,240,310,1580,280,1300,15082340
20220515,150820377377,"Südliches Anhalt, Stadt",Gemeinde,6180,3390,2790,340,250,/,2010,1590,420,1220,950,280,/,/,/,730,600,/,3830,1550,2280,730,280,450,540,420,/,/,/,/,300,/,/,490,/,290,1680,450,1230,15082377
20220515,150820430430,"Zerbst/Anhalt, Stadt",Gemeinde,9910,5210,4700,550,430,/,3580,2530,1050,2330,1580,760,240,220,/,1000,740,260,5780,2250,3540,1350,500,860,660,470,/,210,/,/,450,/,260,840,390,450,2270,600,1670,15082430
20220515,150820440440,"Zörbig, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15082440
20220515,150830040040,Barleben,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083040
20220515,150830270270,"Haldensleben, Stadt",Gemeinde,9000,4600,4400,210,/,/,2600,2040,550,1890,1420,480,/,/,/,630,570,/,6190,2420,3770,1510,640,870,1010,690,330,/,/,/,390,/,/,500,/,300,2650,640,2010,15083270
20220515,150830298298,Hohe Börde,Gemeinde,9850,5070,4780,350,250,/,2570,2180,400,1430,1220,220,280,230,/,860,730,/,6920,2640,4280,1430,560,860,1150,650,500,/,/,/,360,220,/,1040,450,590,2760,700,2070,15083298
20220515,150830390390,Niedere Börde,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083390
20220515,150830411411,"Oebisfelde-Weferlingen, Stadt",Gemeinde,6250,3410,2840,/,/,/,2400,1910,480,1730,1330,400,/,/,/,540,460,/,3640,1350,2290,840,290,550,450,370,/,/,/,/,290,/,/,340,/,/,1630,330,1300,15083411
20220515,150830415415,"Oschersleben (Bode), Stadt",Gemeinde,8030,4190,3840,220,/,/,2350,1920,430,1130,820,310,/,/,/,1060,960,/,5460,2090,3370,1300,480,820,550,430,/,/,/,/,280,/,/,650,320,340,2490,590,1900,15083415
20220515,150830490490,Sülzetal,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083490
20220515,150830531531,"Wanzleben-Börde, Stadt",Gemeinde,6750,3460,3280,410,330,/,1570,1250,320,790,580,/,/,/,/,630,560,/,4770,1890,2890,1070,500,560,590,410,/,290,/,/,450,240,/,590,280,310,1790,340,1460,15083531
20220515,150830565565,"Wolmirstedt, Stadt",Gemeinde,5380,2870,2510,/,/,/,1690,1400,280,900,760,/,/,/,/,720,620,/,3620,1420,2190,660,250,420,610,380,230,/,/,/,220,/,/,560,/,350,1450,430,1030,15083565
20220515,150835051030,Angern,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083030
20220515,150835051120,Burgstall,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083120
20220515,150835051130,Colbitz,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083130
20220515,150835051361,Loitsche-Heinrichsberg,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083361
20220515,150835051440,Rogätz,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083440
20220515,150835051557,Westheide,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083557
20220515,150835051580,Zielitz,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083580
20220515,150835052020,Altenhausen,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083020
20220515,150835052060,Beendorf,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083060
20220515,150835052115,Bülstringen,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083115
20220515,150835052125,Calvörde,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083125
20220515,150835052205,Erxleben,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083205
20220515,150835052230,Flechtingen,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083230
20220515,150835052323,Ingersleben,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083323
20220515,150835053190,Eilsleben,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083190
20220515,150835053275,Harbke,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083275
20220515,150835053320,Hötensleben,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083320
20220515,150835053485,Sommersdorf,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083485
20220515,150835053505,Ummendorf,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083505
20220515,150835053515,Völpke,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083515
20220515,150835053535,Wefensleben,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083535
20220515,150835054025,Am Großen Bruch,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083025
20220515,150835054035,Ausleben,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083035
20220515,150835054245,"Gröningen, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083245
20220515,150835054355,"Kroppenstedt, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15083355
20220515,150840130130,Elsteraue,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084130
20220515,150840235235,"Hohenmölsen, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084235
20220515,150840315315,"Lützen, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084315
20220515,150840355355,"Naumburg (Saale), Stadt",Gemeinde,14300,7240,7060,300,230,/,3270,2740,520,1650,1330,320,320,310,/,1300,1110,/,10730,4270,6460,2390,950,1450,920,660,260,460,/,250,1100,590,510,1050,430,630,4800,1440,3360,15084355
20220515,150840490490,"Teuchern, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084490
20220515,150840550550,"Weißenfels, Stadt",Gemeinde,17630,9430,8200,510,420,/,5640,4560,1080,3880,2920,960,300,300,/,1460,1340,/,11480,4450,7020,2870,940,1920,1420,1090,330,330,/,230,1000,500,500,1210,570,640,4660,1250,3410,15084550
20220515,150840590590,"Zeitz, Stadt",Gemeinde,10960,5830,5130,270,/,/,3350,2760,590,1940,1490,450,260,/,/,1140,1060,/,7350,2940,4410,1870,780,1090,1130,760,370,/,/,/,510,270,240,840,330,510,2810,740,2070,15084590
20220515,150845051012,An der Poststraße,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084012
20220515,150845051015,"Bad Bibra, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084015
20220515,150845051125,"Eckartsberga, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084125
20220515,150845051132,Finne,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084132
20220515,150845051133,Finneland,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084133
20220515,150845051246,Kaiserpfalz,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084246
20220515,150845051282,Lanitz-Hassel-Tal,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084282
20220515,150845052115,Droyßig,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084115
20220515,150845052207,Gutenborn,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084207
20220515,150845052275,Kretzschau,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084275
20220515,150845052442,Schnaudertal,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084442
20220515,150845052565,Wetterzeube,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084565
20220515,150845053025,Balgstädt,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084025
20220515,150845053135,"Freyburg (Unstrut), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084135
20220515,150845053150,Gleina,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084150
20220515,150845053170,Goseck,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084170
20220515,150845053250,Karsdorf,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084250
20220515,150845053285,"Laucha an der Unstrut, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084285
20220515,150845053360,"Nebra (Unstrut), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084360
20220515,150845054013,Meineweh,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084013
20220515,150845054335,Mertendorf,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084335
20220515,150845054341,Molauer Land,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084341
20220515,150845054375,"Osterfeld, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084375
20220515,150845054445,Schönburg,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084445
20220515,150845054470,"Stößen, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084470
20220515,150845054560,Wethau,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15084560
20220515,150850040040,"Ballenstedt, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15085040
20220515,150850055055,"Blankenburg (Harz), Stadt",Gemeinde,8870,4590,4280,210,/,/,2660,2120,540,1720,1350,370,/,/,/,760,650,/,6000,2330,3670,1340,640,700,500,390,/,/,/,/,450,240,/,600,260,340,3020,750,2270,15085055
20220515,150850110110,"Falkenstein/Harz, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15085110
20220515,150850135135,"Halberstadt, Stadt",Gemeinde,15500,7710,7790,280,/,/,3710,2940,770,2380,1840,530,/,/,/,1120,970,/,11510,4610,6900,2000,920,1080,1180,1020,/,290,/,220,850,450,400,1570,570,1000,5620,1590,4030,15085135
20220515,150850145145,"Harzgerode, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15085145
20220515,150850185185,Huy,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15085185
20220515,150850190190,"Ilsenburg (Harz), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15085190
20220515,150850227227,Nordharz,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15085227
20220515,150850228228,"Oberharz am Brocken, Stadt",Gemeinde,4650,2570,2080,/,/,/,1560,1310,250,950,790,/,/,/,/,590,500,/,3020,1200,1820,920,380,540,270,230,/,/,/,/,250,/,/,260,/,/,1240,370,870,15085228
20220515,150850230230,"Osterwieck, Stadt",Gemeinde,5560,3060,2500,/,/,/,2230,1740,480,1560,1160,400,/,/,/,490,450,/,3130,1170,1960,740,330,420,380,320,/,/,/,/,430,240,/,260,/,/,1260,/,1060,15085230
20220515,150850235235,"Quedlinburg, Welterbestadt",Gemeinde,10850,5560,5290,210,/,/,2950,2350,600,1850,1390,460,220,/,/,880,780,/,7690,3090,4610,1890,930,960,690,550,/,/,/,/,570,350,220,840,350,490,3590,870,2720,15085235
20220515,150850330330,"Thale, Stadt",Gemeinde,7440,3870,3570,/,/,/,2310,1870,450,1430,1070,360,/,/,/,730,660,/,5020,1920,3100,1210,490,730,490,420,/,/,/,/,360,/,/,440,220,220,2400,540,1860,15085330
20220515,150850370370,"Wernigerode, Stadt",Gemeinde,14740,7460,7290,/,/,/,4640,3600,1050,3460,2550,910,/,/,/,980,890,/,9940,3740,6200,2790,1140,1660,830,600,230,/,/,/,780,370,410,1050,430,620,4300,1150,3140,15085370
20220515,150855051090,Ditfurt,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15085090
20220515,150855051125,Groß Quenstedt,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15085125
20220515,150855051140,Harsleben / Harschlewe,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15085140
20220515,150855051160,Hedersleben,Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15085160
20220515,150855051285,"Schwanebeck, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,15085285
