Berichtszeitpunkt,_RS,Name,Reg_Ebene,0_Insgesamt_,HH_SIZE_NAT__1,HH_SIZE_NAT__2,HH_SIZE_NAT__3,HH_SIZE_NAT__4,HH_SIZE_NAT__5,HH_SIZE_NAT__6,HHTYP_FAM__1,HHTYP_FAM__2,HHTYP_FAM__3,HHTYP_FAM__4,HHTYP_FAM__5,HHTYP_LEB__1,HHTYP_LEB__2,HHTYP_LEB__3,HHTYP_LEB__4,HHTYP_LEB__5,HHTYP_LEB__6,HHTYP_LEB__7,HHTYP_SENIOR_HH__1,HHTYP_SENIOR_HH__2,HHTYP_SENIOR_HH__3,ags
20220515,150840490490,"Teuchern, Stadt",Gemeinde,3782,1381,1443,551,288,79,41,1381,1207,778,349,67,1381,1666,3,318,299,50,67,1074,366,2341,15084490
20220515,150840550550,"Weißenfels, Stadt",Gemeinde,19872,9097,6549,2405,1237,369,217,9097,5319,3184,1673,603,9097,6980,7,1513,1418,258,603,5826,1451,12595,15084550
20220515,150840590590,"Zeitz, Stadt",Gemeinde,15374,7789,5104,1471,663,209,148,7789,4245,1812,1208,320,7789,5010,3,1043,1022,183,320,5383,1112,8880,15084590
20220515,150845051012,An der Poststraße,Gemeinde,705,186,296,122,84,12,7,186,245,172,91,10,186,353,–,65,64,24,10,163,120,415,15084012
20220515,150845051015,"Bad Bibra, Stadt",Gemeinde,1169,386,427,187,106,44,23,386,369,283,117,19,386,528,–,124,97,21,19,340,188,646,15084015
20220515,150845051125,"Eckartsberga, Stadt",Gemeinde,1048,362,383,175,87,30,9,362,333,237,98,18,362,455,3,113,80,16,18,269,146,632,15084125
20220515,150845051132,Finne,Gemeinde,525,150,204,91,51,19,9,150,174,134,53,10,150,254,–,60,46,9,10,143,81,297,15084132
20220515,150845051133,Finneland,Gemeinde,448,126,191,67,42,14,10,126,174,106,34,10,126,237,–,48,26,6,10,145,65,243,15084133
20220515,150845051246,Kaiserpfalz,Gemeinde,756,241,276,129,70,22,16,241,252,185,67,16,241,352,–,81,50,13,16,205,120,433,15084246
20220515,150845051282,Lanitz-Hassel-Tal,Gemeinde,440,108,175,78,46,22,10,108,161,128,29,15,108,239,–,50,25,6,15,110,74,255,15084282
20220515,150845052115,Droyßig,Gemeinde,956,384,321,131,94,19,9,384,294,204,62,11,384,413,–,82,49,15,11,322,77,557,15084115
20220515,150845052207,Gutenborn,Gemeinde,782,224,313,139,74,23,10,224,272,197,80,9,224,377,–,85,59,21,9,198,109,482,15084207
20220515,150845052275,Kretzschau,Gemeinde,1105,379,441,157,88,24,15,379,390,236,79,18,379,533,–,92,70,13,18,345,117,638,15084275
20220515,150845052442,Schnaudertal,Gemeinde,411,114,177,64,36,19,–,114,158,104,33,3,114,212,–,52,27,8,3,102,58,253,15084442
20220515,150845052565,Wetterzeube,Gemeinde,794,232,342,130,53,18,14,232,310,176,64,11,232,408,–,80,49,18,11,245,99,448,15084565
20220515,150845053025,Balgstädt,Gemeinde,481,153,179,79,46,22,5,153,143,119,54,12,153,220,–,43,37,15,12,130,74,278,15084025
20220515,150845053135,"Freyburg (Unstrut), Stadt",Gemeinde,2216,913,794,289,157,43,18,913,677,405,179,37,913,892,–,195,151,29,37,697,240,1275,15084135
20220515,150845053150,Gleina,Gemeinde,537,162,226,81,48,10,9,162,187,126,57,9,162,268,–,47,38,17,9,136,85,317,15084150
20220515,150845053170,Goseck,Gemeinde,453,115,189,81,42,15,3,115,170,111,50,8,115,243,–,34,41,10,8,110,71,272,15084170
20220515,150845053250,Karsdorf,Gemeinde,767,336,273,90,50,17,3,336,232,110,80,11,336,281,–,58,68,12,11,286,82,405,15084250
20220515,150845053285,"Laucha an der Unstrut, Stadt",Gemeinde,1330,490,506,193,109,23,8,490,439,262,126,15,490,577,–,126,97,28,15,412,165,753,15084285
20220515,150845053360,"Nebra (Unstrut), Stadt",Gemeinde,1400,529,514,186,114,35,18,529,454,299,98,19,529,627,–,121,82,14,19,474,163,762,15084360
20220515,150845054013,Meineweh,Gemeinde,447,131,179,68,45,13,8,131,157,119,35,4,131,234,–,47,32,10,4,99,59,288,15084013
20220515,150845054335,Mertendorf,Gemeinde,708,212,280,99,83,20,13,212,246,181,58,7,212,354,–,73,44,18,7,173,98,437,15084335
20220515,150845054341,Molauer Land,Gemeinde,455,136,179,81,45,15,6,136,158,115,41,6,136,228,–,42,34,9,6,127,68,266,15084341
20220515,150845054375,"Osterfeld, Stadt",Gemeinde,1121,372,429,188,95,27,13,372,388,256,76,28,372,528,–,116,59,20,28,331,147,645,15084375
20220515,150845054445,Schönburg,Gemeinde,480,130,212,73,47,9,9,130,187,111,42,14,130,246,–,52,33,8,14,109,79,293,15084445
20220515,150845054470,"Stößen, Stadt",Gemeinde,412,134,188,50,39,6,–,134,164,80,35,3,134,192,–,46,35,3,3,124,34,255,15084470
20220515,150845054560,Wethau,Gemeinde,404,105,195,56,35,11,–,105,169,84,38,10,105,224,–,25,27,11,10,109,60,235,15084560
20220515,150850040040,"Ballenstedt, Stadt",Gemeinde,4299,1708,1623,544,297,94,36,1708,1403,789,343,61,1708,1827,–,361,282,60,61,1391,397,2515,15085040
20220515,150850055055,"Blankenburg (Harz), Stadt",Gemeinde,10008,4248,3685,1191,627,170,86,4248,3163,1653,813,134,4248,3906,–,907,675,137,134,3261,813,5936,15085055
20220515,150850110110,"Falkenstein/Harz, Stadt",Gemeinde,2484,874,1020,359,157,46,25,874,910,464,189,45,874,1149,–,223,149,43,45,761,318,1405,15085110
20220515,150850135135,"Halberstadt, Stadt",Gemeinde,20621,10499,6989,1885,897,235,112,10499,5647,2377,1651,450,10499,6722,8,1293,1409,244,450,6648,1272,12701,15085135
20220515,150850145145,"Harzgerode, Stadt",Gemeinde,3702,1453,1469,440,224,64,53,1453,1287,621,279,67,1453,1622,3,281,224,58,67,1258,433,2011,15085145
20220515,150850185185,Huy,Gemeinde,3251,1248,1212,453,236,61,41,1248,1005,621,317,59,1248,1370,–,253,255,65,59,909,350,1989,15085185
20220515,150850190190,"Ilsenburg (Harz), Stadt",Gemeinde,4768,1879,1763,613,408,67,38,1879,1502,927,394,65,1879,1998,4,430,314,77,65,1393,382,2993,15085190
20220515,150850227227,Nordharz,Gemeinde,3519,1063,1365,587,359,97,46,1063,1169,914,329,39,1063,1729,–,356,278,51,39,843,422,2249,15085227
20220515,150850228228,"Oberharz am Brocken, Stadt",Gemeinde,4958,1890,1986,616,344,90,43,1890,1744,854,402,74,1890,2249,–,341,331,72,74,1594,599,2769,15085228
20220515,150850230230,"Osterwieck, Stadt",Gemeinde,5428,1978,2017,770,468,125,69,1978,1745,1183,433,88,1978,2453,–,476,318,112,88,1505,575,3348,15085230
20220515,150850235235,"Quedlinburg, Welterbestadt",Gemeinde,12726,6098,4398,1323,630,183,96,6098,3665,1654,1095,212,6098,4323,11,990,926,171,212,4097,881,7749,15085235
20220515,150850330330,"Thale, Stadt",Gemeinde,8610,3501,3334,1057,512,135,66,3501,2847,1400,697,163,3501,3537,3,708,588,109,163,2888,787,4934,15085330
20220515,150850370370,"Wernigerode, Stadt",Gemeinde,17947,8689,6037,1868,981,269,106,8689,5039,2475,1337,413,8689,6183,4,1326,1131,207,413,5521,1259,11173,15085370
20220515,150855051090,Ditfurt,Gemeinde,700,226,287,115,50,11,9,226,231,154,73,17,226,297,–,87,57,14,17,180,88,432,15085090
20220515,150855051125,Groß Quenstedt,Gemeinde,397,141,141,62,43,5,6,141,117,94,40,4,141,176,–,42,31,11,4,106,37,246,15085125
20220515,150855051140,Harsleben / Harschlewe,Gemeinde,997,305,400,163,101,23,5,305,368,248,62,12,305,509,–,108,51,14,12,267,108,618,15085140
20220515,150855051160,Hedersleben,Gemeinde,653,243,258,95,39,17,–,243,196,128,68,19,243,247,–,75,60,10,19,187,84,383,15085160
20220515,150855051285,"Schwanebeck, Stadt",Gemeinde,1129,405,443,162,80,26,13,405,365,232,110,15,405,490,–,107,85,22,15,300,113,715,15085285
20220515,150855051287,Selke-Aue,Gemeinde,624,202,241,103,49,14,10,202,221,135,60,6,202,297,–,58,48,11,6,180,89,354,15085287
20220515,150855051365,"Wegeleben, Stadt",Gemeinde,1176,413,467,161,88,29,15,413,381,248,105,22,413,519,–,110,86,17,22,333,164,678,15085365
20220515,150860005005,Biederitz,Gemeinde,4056,1404,1593,590,348,84,37,1404,1392,868,335,56,1404,1841,3,421,246,86,56,1060,380,2616,15086005
20220515,150860015015,"Burg, Stadt",Gemeinde,11473,5410,3819,1299,611,216,113,5410,3180,1717,911,257,5410,4060,–,835,758,150,257,3462,770,7241,15086015
20220515,150860035035,Elbe-Parey,Gemeinde,3087,1050,1245,476,224,62,30,1050,1090,657,243,52,1050,1474,–,275,193,49,52,945,337,1807,15086035
20220515,150860040040,"Genthin, Stadt",Gemeinde,7015,3089,2497,819,400,120,90,3089,2142,1109,551,128,3089,2720,3,528,461,88,128,2213,656,4142,15086040
20220515,150860055055,"Gommern, Stadt",Gemeinde,5060,1881,1947,685,412,91,46,1881,1678,1016,417,68,1881,2296,–,394,350,69,68,1552,440,3070,15086055
20220515,150860080080,"Jerichow, Stadt",Gemeinde,3176,1122,1234,448,263,74,37,1122,1030,659,297,69,1122,1417,3,278,232,66,69,885,399,1898,15086080
20220515,150860140140,"Möckern, Stadt",Gemeinde,5985,2090,2242,945,500,139,68,2090,1848,1292,575,179,2090,2662,3,473,461,116,179,1601,678,3703,15086140
20220515,150860145145,Möser,Gemeinde,3828,1067,1612,630,390,99,29,1067,1407,976,322,49,1067,2007,–,383,269,55,49,1013,371,2439,15086145
20220515,150870015015,"Allstedt, Stadt",Gemeinde,3560,1157,1456,528,295,90,39,1157,1228,772,350,56,1157,1677,–,321,287,61,56,998,442,2117,15087015
20220515,150870031031,"Arnstein, Stadt",Gemeinde,3068,1057,1260,448,229,51,26,1057,1091,602,265,52,1057,1413,–,278,196,68,52,1000,391,1676,15087031
20220515,150870130130,"Eisleben, Lutherstadt",Gemeinde,11789,5566,3913,1325,655,200,132,5566,3195,1740,1083,210,5566,4129,3,800,887,193,210,3710,922,7160,15087130
20220515,150870165165,"Gerbstedt, Stadt",Gemeinde,3295,1155,1325,476,236,74,30,1155,1167,629,284,54,1155,1536,–,269,215,72,54,1029,383,1883,15087165
20220515,150870220220,"Hettstedt, Stadt",Gemeinde,7145,3411,2567,710,309,95,55,3411,2168,877,583,111,3411,2574,–,472,483,102,111,2548,542,4058,15087220
20220515,150870275275,"Mansfeld, Stadt",Gemeinde,4088,1405,1704,612,254,77,33,1405,1494,786,349,54,1405,1959,–,321,266,82,54,1403,497,2189,15087275
20220515,150870370370,"Sangerhausen, Stadt",Gemeinde,13664,6108,4994,1514,725,217,109,6108,4218,1943,1143,252,6108,5223,4,936,957,183,252,4675,1167,7819,15087370
20220515,150870386386,Seegebiet Mansfelder Land,Gemeinde,4351,1641,1702,625,290,66,30,1641,1478,742,406,85,1641,1881,3,335,351,59,85,1351,495,2509,15087386
20220515,150870412412,Südharz,Gemeinde,4395,1653,1671,629,308,97,40,1653,1436,860,362,80,1653,1949,–,347,280,81,80,1356,530,2503,15087412
20220515,150875051055,Berga,Gemeinde,772,246,297,128,76,17,7,246,246,193,76,12,246,359,–,77,55,22,12,224,96,453,15087055
20220515,150875051101,Brücken-Hackpfüffel,Gemeinde,472,160,179,76,44,5,3,160,167,107,41,–,160,224,–,49,22,14,–,149,50,273,15087101
20220515,150875051125,Edersleben,Gemeinde,436,111,183,84,42,6,3,111,165,112,37,9,111,242,–,35,29,6,9,118,74,237,15087125
20220515,150875051250,"Kelbra (Kyffhäuser), Stadt",Gemeinde,1587,599,580,225,126,37,20,599,486,343,135,24,599,713,–,117,113,20,24,513,211,863,15087250
20220515,150875051440,Wallhausen,Gemeinde,1133,400,448,159,92,25,9,400,400,221,98,13,400,532,–,90,86,14,13,372,123,635,15087440
20220515,150875052010,Ahlsdorf,Gemeinde,728,213,326,92,67,18,11,213,281,163,55,8,213,357,–,87,49,12,8,217,74,435,15087010
20220515,150875052045,Benndorf,Gemeinde,1074,539,363,98,47,17,5,539,293,120,109,15,539,341,–,73,92,13,15,365,78,636,15087045
20220515,150875052070,Blankenheim,Gemeinde,536,162,226,90,40,8,7,162,203,123,39,4,162,290,–,36,33,3,4,172,76,283,15087070
