Berichtszeitpunkt,_RS,Name,Reg_Ebene,0_Insgesamt_,HH_SIZE_NAT__1,HH_SIZE_NAT__2,HH_SIZE_NAT__3,HH_SIZE_NAT__4,HH_SIZE_NAT__5,HH_SIZE_NAT__6,HHTYP_FAM__1,HHTYP_FAM__2,HHTYP_FAM__3,HHTYP_FAM__4,HHTYP_FAM__5,HHTYP_LEB__1,HHTYP_LEB__2,HHTYP_LEB__3,HHTYP_LEB__4,HHTYP_LEB__5,HHTYP_LEB__6,HHTYP_LEB__7,HHTYP_SENIOR_HH__1,HHTYP_SENIOR_HH__2,HHTYP_SENIOR_HH__3,ags
20220515,150890310310,"Staßfurt, Stadt",Gemeinde,12790,5945,4463,1465,632,181,104,5945,3702,1763,1132,247,5945,4693,–,767,945,186,247,4055,998,7734,15089310
20220515,150895051041,Bördeaue,Gemeinde,867,307,327,130,69,22,9,307,278,186,78,23,307,378,–,80,63,18,23,231,86,549,15089041
20220515,150895051043,Börde-Hakel,Gemeinde,1401,490,550,187,110,46,14,490,465,288,140,17,490,645,–,108,108,29,17,412,165,820,15089043
20220515,150895051045,Borne,Gemeinde,579,198,236,87,49,10,–,198,201,117,54,4,198,262,–,61,40,14,4,149,54,370,15089045
20220515,150895051075,"Egeln, Stadt",Gemeinde,1680,763,604,189,103,24,5,763,501,229,155,35,763,620,–,110,127,26,35,561,147,976,15089075
20220515,150895051365,Wolmirsleben,Gemeinde,670,211,294,105,45,14,–,211,272,138,44,5,211,351,–,63,38,9,5,199,57,414,15089365
20220515,150895052005,"Alsleben (Saale), Stadt",Gemeinde,1241,472,429,194,114,24,12,472,350,270,123,30,472,498,–,119,104,17,30,371,111,759,15089005
20220515,150895052130,Giersleben,Gemeinde,412,127,155,69,39,11,8,127,146,99,26,8,127,208,–,42,20,9,8,107,48,252,15089130
20220515,150895052165,"Güsten, Stadt",Gemeinde,1952,760,728,254,156,33,22,760,604,378,174,36,760,811,3,170,147,26,36,588,193,1171,15089165
20220515,150895052185,Ilberstedt,Gemeinde,466,150,203,60,39,5,3,150,169,102,36,8,150,235,–,41,35,4,8,150,52,261,15089185
20220515,150895052245,Plötzkau,Gemeinde,539,159,215,93,53,14,4,159,200,142,33,5,159,283,–,57,21,10,5,153,65,321,15089245
20220515,150900070070,"Bismark (Altmark), Stadt",Gemeinde,3698,1337,1379,492,325,116,49,1337,1165,798,337,60,1337,1667,3,294,266,68,60,1012,461,2225,15090070
20220515,150900225225,"Havelberg, Hansestadt",Gemeinde,3452,1632,1226,363,151,60,18,1632,1030,469,263,58,1632,1230,–,266,216,43,58,1057,299,2095,15090225
20220515,150900415415,"Osterburg (Altmark), Hansestadt",Gemeinde,4974,2245,1715,581,306,94,39,2245,1423,783,444,81,2245,1828,–,375,357,85,81,1543,446,2985,15090415
20220515,150900535535,"Stendal, Hansestadt",Gemeinde,20285,10339,6168,2104,1069,370,236,10339,4863,2800,1840,440,10339,6247,8,1412,1549,294,440,5577,1303,13404,15090535
20220515,150900546546,"Tangerhütte, Stadt",Gemeinde,5206,2084,1897,694,385,89,48,2084,1554,960,498,108,2084,2079,3,433,424,77,108,1642,538,3027,15090546
20220515,150900550550,"Tangermünde, Stadt",Gemeinde,5415,2376,1957,624,325,88,48,2376,1639,838,449,108,2376,1998,–,476,377,74,108,1620,432,3364,15090550
20220515,150905051010,"Arneburg, Stadt",Gemeinde,702,267,284,85,47,13,7,267,245,127,57,12,267,305,–,62,38,15,12,230,71,402,15090010
20220515,150905051135,Eichstedt (Altmark),Gemeinde,382,126,155,41,38,14,9,126,138,77,38,6,126,180,–,32,29,7,6,92,49,238,15090135
20220515,150905051180,Goldbeck,Gemeinde,616,178,236,105,56,18,16,178,202,160,63,9,178,296,3,65,56,11,9,163,79,373,15090180
20220515,150905051220,Hassel,Gemeinde,414,103,198,68,33,3,5,103,178,90,32,5,103,217,–,53,23,9,5,88,43,279,15090220
