ags,public_precincts,public_valid_zweit,public_cdu_zweit,official_precincts,official_valid_zweit,official_cdu_zweit,valid_diff,cdu_diff,precinct_diff
23208079,1.0,352.0,124.0,1.0,352.0,124.0,0.0,0.0,0.0
23208081,1.0,297.0,121.0,1.0,297.0,121.0,0.0,0.0,0.0
23208083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23208086,1.0,323.0,98.0,1.0,323.0,98.0,0.0,0.0,0.0
23208087,1.0,458.0,177.0,1.0,458.0,177.0,0.0,0.0,0.0
23208091,1.0,181.0,62.0,1.0,181.0,62.0,0.0,0.0,0.0
23208092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23208097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23208098,1.0,184.0,62.0,1.0,184.0,62.0,0.0,0.0,0.0
23208099,1.0,305.0,100.0,1.0,305.0,100.0,0.0,0.0,0.0
23208100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23208101,1.0,92.0,31.0,1.0,92.0,31.0,0.0,0.0,0.0
23208105,1.0,179.0,74.0,1.0,179.0,74.0,0.0,0.0,0.0
23208109,1.0,732.0,286.0,1.0,732.0,286.0,0.0,0.0,0.0
23208111,1.0,255.0,99.0,1.0,255.0,99.0,0.0,0.0,0.0
23208113,1.0,233.0,93.0,1.0,233.0,93.0,0.0,0.0,0.0
23208115,1.0,74.0,42.0,1.0,74.0,42.0,0.0,0.0,0.0
23208118,1.0,214.0,88.0,1.0,214.0,88.0,0.0,0.0,0.0
23208119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23208120,1.0,304.0,92.0,1.0,304.0,92.0,0.0,0.0,0.0
23208124,1.0,46.0,11.0,1.0,46.0,11.0,0.0,0.0,0.0
23208125,1.0,232.0,107.0,1.0,232.0,107.0,0.0,0.0,0.0
23208126,1.0,172.0,60.0,1.0,172.0,60.0,0.0,0.0,0.0
23208129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23208133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23208134,1.0,166.0,65.0,1.0,166.0,65.0,0.0,0.0,0.0
23208135,1.0,108.0,33.0,1.0,108.0,33.0,0.0,0.0,0.0
23208137,1.0,507.0,186.0,1.0,507.0,186.0,0.0,0.0,0.0
23208203,1.0,92.0,24.0,1.0,92.0,24.0,0.0,0.0,0.0
23208210,1.0,380.0,141.0,1.0,380.0,141.0,0.0,0.0,0.0
23208228,1.0,217.0,64.0,1.0,217.0,64.0,0.0,0.0,0.0
23208273,1.0,139.0,47.0,1.0,139.0,47.0,0.0,0.0,0.0
23208282,1.0,342.0,116.0,1.0,342.0,116.0,0.0,0.0,0.0
23208306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23208313,1.0,244.0,124.0,1.0,244.0,124.0,0.0,0.0,0.0
