wk,public_precincts,public_valid_zweit,public_cdu_zweit,official_precincts,official_valid_zweit,official_cdu_zweit,valid_diff,cdu_diff,precinct_diff
101,96,41640,15196,96,41641,15196,1,0,0
102,101,30794,10198,101,30794,10198,0,0,0
103,102,46474,17489,102,46476,17489,2,0,0
104,93,38769,11266,93,38769,11266,0,0,0
105,116,43007,13544,116,43007,13544,0,0,0
106,92,46819,18149,92,46819,18149,0,0,0
107,132,45298,12875,132,45299,12875,1,0,0
108,74,30081,9862,74,30094,9862,13,0,0
109,95,37165,11208,95,37166,11209,1,1,0
110,64,36981,13020,64,36981,13020,0,0,0
111,63,28991,9046,63,29025,9096,34,50,0
112,104,46974,17548,104,46974,17548,0,0,0
113,56,32384,11575,56,32384,11575,0,0,0
114,89,33340,14390,89,33337,14390,-3,0,0
215,107,33446,13770,107,33448,13770,2,0,0
216,149,46732,16165,149,46730,16165,-2,0,0
217,59,39764,12441,59,39764,12441,0,0,0
218,101,39050,11589,101,39052,11589,2,0,0
219,135,40283,11145,135,40279,11147,-4,2,0
220,144,32429,15095,144,32429,15095,0,0,0
221,213,49058,18382,213,49058,18382,0,0,0
222,81,33724,13377,81,33724,13377,0,0,0
223,123,35159,12149,123,35159,12149,0,0,0
224,98,45625,16344,98,45624,16342,-1,-2,0
225,97,40643,11143,97,40643,11143,0,0,0
226,97,40007,14354,97,40008,14355,1,1,0
327,79,42764,7583,79,42764,7583,0,0,0
328,78,41517,11105,78,41517,11105,0,0,0
329,62,32708,10394,62,32705,10401,-3,7,0
330,76,37897,11439,76,37897,11429,0,-10,0
331,106,40750,12759,106,40750,12759,0,0,0
332,70,47736,12816,70,47732,12817,-4,1,0
333,82,34022,8656,82,34022,8656,0,0,0
334,88,45783,11935,88,45785,11935,2,0,0
335,75,33442,9721,75,33438,9717,-4,-4,0
336,66,21937,5227,66,21937,5227,0,0,0
337,79,28664,7396,79,28663,7395,-1,-1,0
338,67,45826,13991,67,45826,13991,0,0,0
339,61,44720,13008,61,44720,13008,0,0,0
440,113,40531,9887,113,40531,9887,0,0,0
441,112,37331,9009,112,37332,9009,1,0,0
442,71,50327,15267,71,50336,15267,9,0,0
443,80,45922,13253,80,45922,13253,0,0,0
444,54,26090,5417,54,26090,5417,0,0,0
445,83,42450,10378,83,42450,10378,0,0,0
446,69,33018,9973,69,33018,9973,0,0,0
447,93,41854,12214,93,41854,12214,0,0,0
448,104,45391,13466,104,45390,13466,-1,0,0
449,86,48788,12585,86,48789,12586,1,1,0
450,67,41717,11205,67,41717,11205,0,0,0
451,39,30070,7848,39,30070,7847,0,-1,0
452,51,32291,10057,51,32291,10057,0,0,0
