wk,ags,node_id,node_name,node_level,unit_type,precincts,valid_zweit,cdu_zweit,cdu_share_zweit,child_row_count,child_precincts,child_valid_zweit,child_cdu_zweit
101,13203018,1011320301800,Daaden,3,multi_precinct_leaf,4,2184,559,0.25595238095238093,,,,
101,13203019,1011320301900,Derschen,3,single_precinct_leaf,1,462,129,0.2792207792207792,,,,
101,13203026,1011320302600,Emmerzhausen,3,single_precinct_leaf,1,348,113,0.32471264367816094,,,,
101,13203036,1011320303600,Friedewald,3,single_precinct_leaf,1,560,159,0.2839285714285714,,,,
101,13203050,1011320305000,"Herdorf, Stadt",3,multi_precinct_leaf,7,3182,1211,0.38057825267127593,,,,
101,13203068,1011320306800,Mauden,3,single_precinct_leaf,1,74,20,0.2702702702702703,,,,
101,13203075,1011320307500,Niederdreisbach,3,single_precinct_leaf,1,506,119,0.23517786561264822,,,,
101,13203079,1011320307900,Nisterberg,3,single_precinct_leaf,1,217,65,0.2995391705069124,,,,
101,13203101,1011320310100,Schutzbach,3,single_precinct_leaf,1,190,44,0.23157894736842105,,,,
101,13203113,1011320311300,Weitefeld,3,multi_precinct_leaf,2,1159,309,0.26660914581535805,,,,
101,13207012,1011320701200,Brachbach,3,multi_precinct_leaf,3,1219,445,0.36505332239540605,,,,
101,13207037,1011320703700,Friesenhagen,3,multi_precinct_leaf,2,856,371,0.433411214953271,,,,
101,13207045,1011320704500,Harbach,3,single_precinct_leaf,1,317,101,0.3186119873817035,,,,
101,13207063,1011320706300,Kirchen (Sieg),3,multi_precinct_leaf,8,4183,1553,0.37126464260100406,,,,
101,13207072,1011320707200,Mudersbach,3,multi_precinct_leaf,5,2566,781,0.3043647700701481,,,,
101,13207076,1011320707600,Niederfischbach,3,multi_precinct_leaf,4,2251,887,0.3940470901821413,,,,
101,13209002,1011320900200,Alsdorf,3,single_precinct_leaf,1,753,300,0.398406374501992,,,,
101,13209006,1011320900600,Betzdorf,3,multi_precinct_leaf,10,3982,1593,0.40005022601707685,,,,
101,13209020,1011320902000,Dickendorf,3,single_precinct_leaf,1,195,73,0.37435897435897436,,,,
101,13209024,1011320902400,Elben,3,single_precinct_leaf,1,198,70,0.35353535353535354,,,,
101,13209025,1011320902500,Elkenroth,3,single_precinct_leaf,1,1011,468,0.4629080118694362,,,,
101,13209030,1011320903000,Fensdorf,3,single_precinct_leaf,1,257,116,0.45136186770428016,,,,
101,13209039,1011320903900,Gebhardshain,3,single_precinct_leaf,1,1039,498,0.4793070259865255,,,,
101,13209042,1011320904200,Grünebach,3,single_precinct_leaf,1,286,120,0.4195804195804196,,,,
101,13209059,1011320905900,Kausen,3,single_precinct_leaf,1,429,204,0.4755244755244755,,,,
101,13209066,1011320906600,Malberg,3,single_precinct_leaf,1,653,280,0.42879019908116384,,,,
101,13209071,1011320907100,Molzhain,3,single_precinct_leaf,1,312,135,0.4326923076923077,,,,
101,13209073,1011320907300,Nauroth,3,single_precinct_leaf,1,599,240,0.4006677796327212,,,,
101,13209095,1011320909500,Rosenheim (Landkreis Altenkirchen),3,single_precinct_leaf,1,438,191,0.4360730593607306,,,,
101,13209098,1011320909800,Scheuerfeld,3,single_precinct_leaf,1,1060,450,0.42452830188679247,,,,
101,13209107,1011320910700,Steinebach (Sieg),3,single_precinct_leaf,1,650,248,0.38153846153846155,,,,
101,13209108,1011320910800,Steineroth,3,single_precinct_leaf,1,291,104,0.35738831615120276,,,,
101,13209111,1011320911100,Wallmenroth,3,single_precinct_leaf,1,674,332,0.49258160237388726,,,,
101,14306214,1011430621400,Bretthausen,3,single_precinct_leaf,1,109,32,0.29357798165137616,,,,
101,14306218,1011430621800,Elsoff (Westerwald),3,single_precinct_leaf,1,531,178,0.3352165725047081,,,,
101,14306237,1011430623700,Hellenhahn-Schellenberg,3,single_precinct_leaf,1,755,262,0.34701986754966885,,,,
101,14306244,1011430624400,Homberg,3,single_precinct_leaf,1,109,19,0.1743119266055046,,,,
101,14306245,1011430624500,Hüblingen,3,single_precinct_leaf,1,166,42,0.25301204819277107,,,,
101,14306246,1011430624600,Irmtraut,3,single_precinct_leaf,1,394,157,0.39847715736040606,,,,
101,14306256,1011430625600,Liebenscheid,3,multi_precinct_leaf,2,414,126,0.30434782608695654,,,,
101,14306271,1011430627100,Neunkirchen,3,single_precinct_leaf,1,316,113,0.3575949367088608,,,,
101,14306272,1011430627200,Neustadt (Westerwald),3,single_precinct_leaf,1,318,132,0.41509433962264153,,,,
101,14306274,1011430627400,Niederroßbach,3,single_precinct_leaf,1,354,94,0.2655367231638418,,,,
101,14306278,1011430627800,Nister-Möhrendorf,3,single_precinct_leaf,1,174,57,0.3275862068965517,,,,
101,14306282,1011430628200,Oberrod,3,single_precinct_leaf,1,354,128,0.3615819209039548,,,,
101,14306283,1011430628300,Oberroßbach,3,single_precinct_leaf,1,175,36,0.2057142857142857,,,,
101,14306285,1011430628500,Rehe,3,single_precinct_leaf,1,438,145,0.3310502283105023,,,,
101,14306286,1011430628600,Rennerod,3,multi_precinct_leaf,4,1872,644,0.344017094017094,,,,
101,14306291,1011430629100,Salzburg,3,single_precinct_leaf,1,121,47,0.3884297520661157,,,,
101,14306292,1011430629200,Seck,3,single_precinct_leaf,1,576,209,0.3628472222222222,,,,
101,14306295,1011430629500,Stein-Neukirch,3,single_precinct_leaf,1,245,79,0.3224489795918367,,,,
101,14306302,1011430630200,Waigandshain,3,single_precinct_leaf,1,104,30,0.28846153846153844,,,,
101,14306303,1011430630300,Waldmühlen,3,single_precinct_leaf,1,169,69,0.40828402366863903,,,,
101,14306309,1011430630900,Westernohe,3,single_precinct_leaf,1,493,225,0.4563894523326572,,,,
101,14306311,1011430631100,Willingen,3,single_precinct_leaf,1,149,46,0.3087248322147651,,,,
101,14306315,1011430631500,Zehnhausen bei Rennerod,3,single_precinct_leaf,1,204,38,0.18627450980392157,,,,
102,13206007,1021320600700,Birkenbeul,3,single_precinct_leaf,1,257,64,0.2490272373540856,,,,
102,13206010,1021320601000,Bitzen,3,single_precinct_leaf,1,431,93,0.21577726218097448,,,,
102,13206013,1021320601300,Breitscheidt,3,single_precinct_leaf,1,467,124,0.26552462526766596,,,,
102,13206014,1021320601400,Bruchertseifen,3,single_precinct_leaf,1,355,82,0.23098591549295774,,,,
102,13206028,1021320602800,Etzbach,3,single_precinct_leaf,1,570,156,0.2736842105263158,,,,
102,13206034,1021320603400,Forst,3,single_precinct_leaf,1,303,85,0.28052805280528054,,,,
102,13206038,1021320603800,Fürthen,3,single_precinct_leaf,1,589,139,0.23599320882852293,,,,
102,13206044,1021320604400,Hamm (Sieg),3,multi_precinct_leaf,2,1300,362,0.2784615384615385,,,,
102,13206077,1021320607700,Niederirsen,3,single_precinct_leaf,1,50,7,0.14,,,,
102,13206091,1021320609100,Pracht,3,single_precinct_leaf,1,708,185,0.2612994350282486,,,,
102,13206096,1021320609600,Roth,3,single_precinct_leaf,1,652,208,0.31901840490797545,,,,
102,13206102,1021320610200,Seelbach bei Hamm (Sieg),3,single_precinct_leaf,1,72,12,0.16666666666666666,,,,
102,13208008,1021320800800,Birken-Honigsessen,3,multi_precinct_leaf,4,1470,678,0.46122448979591835,,,,
102,13208011,1021320801100,Mittelhof,3,single_precinct_leaf,1,541,222,0.41035120147874304,,,,
