id,wk,ags,name,precincts,counted_precincts,valid_zweit,cdu_zweit,last_changed
3303390000000,330,33900000,"Mainz-Bingen, Teilkreis",76,76,37897.0,11429.0,2026-03-25 08:42:35
3313390000000,331,33900000,"Mainz-Bingen, Teilkreis",106,106,40750.0,12759.0,2026-03-24 08:58:07
3323310000000,332,33100000,"Alzey-Worms, Teilkreis",40,40,24408.0,6323.0,2026-03-25 15:58:33
3323390000000,332,33900000,"Mainz-Bingen, Teilkreis",30,30,23324.0,6494.0,2026-03-25 14:33:32
3343310000000,334,33100000,"Alzey-Worms, Teilkreis",88,88,45785.0,11935.0,2026-03-25 17:19:45
3353380000000,335,33800000,"Rhein-Pfalz-Kreis, Teilkreis",20,20,14181.0,4233.0,2026-03-25 16:10:53
3383380000000,338,33800000,"Rhein-Pfalz-Kreis, Teilkreis",67,67,45826.0,13991.0,2026-03-25 07:21:51
3393380000000,339,33800000,"Rhein-Pfalz-Kreis, Teilkreis",17,17,21390.0,6844.0,2026-03-24 12:24:46
4423320000000,442,33200000,"Bad Dürkheim, Teilkreis",71,71,50336.0,15267.0,2026-03-23 15:37:11
4433320000000,443,33200000,"Bad Dürkheim, Teilkreis",23,23,18546.0,5623.0,2026-03-22 21:22:43
4453320000000,445,33200000,"Bad Dürkheim, Teilkreis",14,14,6236.0,1494.0,2026-03-22 19:58:32
4453350000000,445,33500000,"Kaiserslautern, Teilkreis",37,37,21142.0,5209.0,2026-03-24 10:54:00
4463350000000,446,33500000,"Kaiserslautern, Teilkreis",69,69,33018.0,9973.0,2026-03-22 20:29:39
4473400000000,447,34000000,"Südwestpfalz, Teilkreis",59,59,26560.0,8191.0,2026-03-23 15:09:33
4483400000000,448,34000000,"Südwestpfalz, Teilkreis",59,59,28663.0,9112.0,2026-03-25 12:09:42
4493340000000,449,33400000,"Germersheim, Teilkreis",16,16,8941.0,2201.0,2026-03-25 13:36:21
4493370000000,449,33700000,"Südliche Weinstraße, Teilkreis",70,70,39848.0,10385.0,2026-03-25 13:22:56
4503370000000,450,33700000,"Südliche Weinstraße, Teilkreis",25,25,16798.0,5529.0,2026-03-25 10:10:35
4513340000000,451,33400000,"Germersheim, Teilkreis",33,33,23021.0,5789.0,2026-03-23 15:37:18
4513370000000,451,33700000,"Südliche Weinestraße, Teilkreis",6,6,7049.0,2058.0,2026-03-22 20:51:24
4523340000000,452,33400000,"Germersheim, Teilkreis",51,51,32291.0,10057.0,2026-03-23 11:18:08
2222310802100,222,23108021,Dierfeld,0,0,,,2026-03-23 08:54:23
1141310000711,114,13100007,Ahrweiler,6,6,3898.0,1644.0,2026-03-25 16:34:58
1141310000712,114,13100007,Walporzheim,1,1,326.0,140.0,2026-03-22 19:38:16
1141310000713,114,13100007,Bachem,1,1,707.0,240.0,2026-03-22 20:35:54
1141310000714,114,13100007,Ramersbach,1,1,352.0,130.0,2026-03-22 19:15:18
1141310000720,114,13100007,Bad Neuenahr,9,9,5508.0,2386.0,2026-03-22 21:15:41
1141310000730,114,13100007,Heimersheim,2,2,1576.0,646.0,2026-03-26 18:26:34
1141310000731,114,13100007,Heppingen,1,1,535.0,223.0,2026-03-22 20:55:08
1141310000732,114,13100007,Gimmigen,1,1,417.0,199.0,2026-03-22 19:39:05
1141310000733,114,13100007,Lohrsdorf,1,1,320.0,125.0,2026-03-22 20:03:45
1141310000734,114,13100007,Kirchdaun,1,1,215.0,85.0,2026-03-22 19:04:21
2151350102001,215,13501020,Cochem,2,2,298.0,106.0,2026-03-22 20:15:16
2151350102002,215,13501020,Cochem/Cond,1,1,368.0,145.0,2026-03-22 20:08:01
2151350102003,215,13501020,Cochem/Sehl,1,1,193.0,76.0,2026-03-22 20:16:06
2151350102004,215,13501020,Cochem/Brauheck,1,1,163.0,40.0,2026-03-22 20:16:15
2202330150110,220,23301501,Daun-Stadt,3,3,1877.0,834.0,2026-03-24 13:03:54
2202330150120,220,23301501,Daun-Boverath,1,1,308.0,145.0,2026-03-22 18:35:30
2202330150130,220,23301501,Daun-Gemünden,1,1,104.0,51.0,2026-03-22 18:35:43
2202330150140,220,23301501,Daun-Neunkirchen,1,1,274.0,131.0,2026-03-22 19:11:29
2202330150150,220,23301501,Daun-Pützborn,1,1,520.0,243.0,2026-03-22 19:03:33
2202330150160,220,23301501,Daun-Rengen,1,1,247.0,103.0,2026-03-22 18:53:30
2202330150170,220,23301501,Daun-Steinborn,1,1,224.0,105.0,2026-03-24 13:06:20
2202330150180,220,23301501,Daun-Waldkönigen,1,1,362.0,170.0,2026-03-22 19:55:29
2202330150190,220,23301501,Daun-Weiersbach,1,1,108.0,55.0,2026-03-22 18:48:51
3343310000301,334,33100003,Stadt,10,10,6603.0,1563.0,2026-03-25 17:19:45
3343310000302,334,33100003,Dautenheim,1,1,262.0,69.0,2026-03-22 19:03:47
3343310000303,334,33100003,Schafhausen,1,1,180.0,41.0,2026-03-22 18:42:07
3343310000304,334,33100003,Heimersheim,1,1,494.0,135.0,2026-03-22 19:21:20
3343310000305,334,33100003,Weinheim,2,2,1044.0,307.0,2026-03-22 19:36:34
4463350100301,446,33501003,Bruchmühlbach-Miesau/Bruchmühlbach,2,2,1175.0,310.0,2026-03-22 19:39:37
4463350100302,446,33501003,Bruchmühlbach-Miesau/Miesau,2,2,1003.0,237.0,2026-03-22 19:34:07
4463350100303,446,33501003,Bruchmühlbach-Miesau/Elschbach,1,1,227.0,67.0,2026-03-22 18:49:28
4463350100304,446,33501003,Bruchmühlbach-Miesau/Vogelbach,1,1,514.0,125.0,2026-03-22 19:09:40
4463350100305,446,33501003,Bruchmühlbach-Miesau/Buchholz,1,1,249.0,45.0,2026-03-22 19:10:59
