wahlkreis_nummer,label,effective_booth_results,timepoints,final_share_percent,observed_mean_abs_deviation_pp,simulated_median_mean_abs_deviation_pp,mean_abs_deviation_consistency_p_value,observed_max_abs_deviation_pp,simulated_median_max_abs_deviation_pp,max_abs_deviation_consistency_p_value
106,"Montabaur, Wahlkreis",92,20,38.76417693671373,0.16663660969441524,0.3176029959576631,0.06533333333333333,1.1698768528914343,1.3568901048510398,0.394
112,"Mayen, Wahlkreis",104,23,37.35683569634266,0.23503473532430025,0.3949159115147497,0.112,1.2444358749561601,1.633790043056127,0.2996666666666667
446,"Kaiserslautern-Land, Wahlkreis",69,16,30.204736810224723,0.374378034257818,0.5072636585035718,0.23066666666666666,1.261737363628157,2.0019181750763018,0.19466666666666665
216,"Rhein-Hunsrück, Wahlkreis",149,21,34.59233896854269,0.2299949234171636,0.28971788375916485,0.29933333333333334,0.7588909300017406,1.2192631582478342,0.184
332,"Rhein-Selz / Wonnegau, Wahlkreis",70,22,26.852007039302773,0.4189312316260544,0.48120803912520277,0.3516666666666667,5.979318261902041,3.330370660422478,0.8376666666666667
107,"Diez / Nassau, Wahlkreis",132,20,28.422260977063512,0.19170470292319716,0.22287625570657,0.35833333333333334,0.997352098320075,0.9056037656328755,0.573
334,"Alzey, Wahlkreis",88,20,26.067489352407996,0.3029955752467702,0.3397353209149845,0.38166666666666665,0.9378063552898368,1.9344274216748403,0.11
218,"Kirn / Bad Sobernheim, Wahlkreis",101,17,29.675816859571853,0.5286596117389325,0.5298566945554196,0.49766666666666665,1.4227037573623633,1.9016440977175115,0.30833333333333335
440,"Donnersberg, Wahlkreis",113,16,24.39367397794281,0.20340368824819466,0.2005059142666452,0.5123333333333333,0.6844195755449078,0.9088857049612749,0.314
105,"Bad Marienberg (Westerwald) / Westerburg, Wahlkreis",116,19,31.492547724788988,0.2960694068338587,0.27772300135842043,0.5636666666666666,2.062234502169691,1.20839269280399,0.8446666666666667
221,"Bitburg-Prüm, Wahlkreis",213,19,37.46993354804517,0.19254710329729588,0.1760575683098864,0.572,0.6087518682923232,0.7470603683417458,0.353
451,"Germersheim, Wahlkreis",39,15,26.09577652144995,0.7243013623918716,0.6541475183789665,0.5883333333333334,5.158276521449949,3.271060254110729,0.707
338,"Mutterstadt, Wahlkreis",67,17,30.53070309431327,0.5614792939223733,0.4831682643065503,0.627,2.4324522569481815,1.9938574922657182,0.6403333333333333
444,"Kaiserslautern I, Wahlkreis",54,21,20.76274434649291,0.7330408272882669,0.607154000541958,0.6673333333333333,4.208690292438856,4.208690292438856,0.5146666666666667
113,"Remagen / Sinzig, Wahlkreis",56,21,35.74295948616601,0.4993877618629104,0.4094676414178008,0.6783333333333333,2.5309485671487195,1.6325831155999104,0.8076666666666666
217,"Bad Kreuznach, Wahlkreis",59,21,31.287093853737048,0.7977587147505525,0.669156483171804,0.688,3.71453448698243,4.652325113705146,0.386
330,"Bingen am Rhein, Wahlkreis",76,26,30.158060004749714,0.6060345833521446,0.49579443627929987,0.714,1.3721312188209254,3.0734555991127657,0.08433333333333333
222,"Wittlich, Wahlkreis",81,20,39.66611315383703,0.7518957800599033,0.5749613836718241,0.74,3.2232773653503273,2.523024313505438,0.6686666666666666
442,"Bad Dürkheim, Wahlkreis",71,22,30.33018118245391,0.8622077281483417,0.6729674663904377,0.7483333333333333,7.303865392980224,4.444254907771654,0.8176666666666667
327,"Mainz I, Wahlkreis",79,20,17.732204658123653,0.8750390949659161,0.68591824731371,0.7596666666666667,7.990084314284111,5.691388331593041,0.7513333333333333
452,"Wörth am Rhein, Wahlkreis",51,17,31.1449010560218,0.6150892604423417,0.46079556794393417,0.769,3.8137766299286113,2.3027475643074347,0.7923333333333333
441,"Kusel, Wahlkreis",112,20,24.132111861137897,0.4896713733176757,0.3522771950794966,0.7713333333333333,2.948311238084937,1.4535686076179122,0.9396666666666667
103,"Linz am Rhein / Rengsdorf, Wahlkreis",102,22,37.6301747138308,0.527355499823728,0.386564051942427,0.7773333333333333,2.211260654140041,1.9583183804317095,0.5873333333333334
109,"Koblenz, Wahlkreis",95,18,30.159285368347415,0.7742360623471249,0.5441825933903487,0.7873333333333333,2.1465630217812723,2.398462679330308,0.42133333333333334
331,"Ingelheim am Rhein, Wahlkreis",106,23,31.310429447852762,0.49472557038338005,0.36596918463624695,0.7906666666666666,1.5087994309374935,2.557439273665919,0.20933333333333334
226,"Konz / Saarburg, Wahlkreis",97,25,35.88032393521296,0.623763192416342,0.423553297237507,0.8113333333333334,2.242298341063048,1.8909437645336347,0.613
111,"Andernach, Wahlkreis",63,16,31.33850129198966,0.8920879775340931,0.5880797973192697,0.832,3.3702365720880074,2.7187499370242794,0.6443333333333333
443,"Neustadt an der Weinstraße, Wahlkreis",80,20,28.85980575758896,1.2183875299374507,0.8449722890590476,0.8433333333333334,11.468501409762872,6.223702605726494,0.7516666666666667
224,"Trier / Schweich, Wahlkreis",98,23,35.818867262844115,0.7912926852581428,0.5101098331755687,0.8523333333333334,6.375225564160104,2.474930657999966,0.978
219,"Birkenfeld, Wahlkreis",135,25,27.674470567789665,0.4913540442080948,0.3143587867836827,0.8596666666666667,1.7722395966610556,1.46725678568402,0.6326666666666667
333,"Worms, Wahlkreis",82,20,25.442360825348302,1.0908265471553948,0.7410518196608893,0.868,5.770229677807318,5.770229677807318,0.5013333333333333
114,"Bad Neuenahr-Ahrweiler, Wahlkreis",89,27,43.16525182229955,0.5731715992298737,0.340997057264704,0.8713333333333333,2.3854637968665955,1.2785807094281196,0.8966666666666666
450,"Landau in der Pfalz, Wahlkreis",67,17,26.859553659179713,0.928491978571946,0.5502203997252846,0.8746666666666667,3.862226764293105,2.2199869635346676,0.868
329,"Mainz III, Wahlkreis",62,22,31.80247668552209,0.9331065209465941,0.5803195295312124,0.8803333333333333,2.743359283357229,4.178831725692863,0.3323333333333333
225,"Trier, Wahlkreis",97,20,27.416775336466305,1.1257497900201205,0.7189277931622788,0.8873333333333333,5.783224663533698,4.454192405469179,0.639
447,"Zweibrücken, Wahlkreis",93,20,29.182395947818605,0.7503710366904309,0.43455873925716604,0.909,2.2857765367809826,2.042250165910442,0.584
336,"Ludwigshafen am Rhein I, Wahlkreis",66,12,23.82732369968546,0.8247846954612011,0.46869160432290957,0.917,4.053312400250434,1.9965868796848216,0.8876666666666667
102,"Altenkirchen (Westerwald), Wahlkreis",101,15,33.116840943040856,1.0353639611511267,0.561615677372735,0.9186666666666666,5.272317974842974,2.1466741766728674,0.9766666666666667
108,"Koblenz / Lahnstein, Wahlkreis",74,16,32.77065195720077,1.209967228776102,0.5246293467911973,0.984,2.8022689400372656,2.2997408289393917,0.629
223,Bernkastel-Kues / Morbach / Kirchberg (Hunsrück),123,19,34.55445262948321,0.738160655253533,0.3074085494053718,0.9853333333333333,2.8724249797136245,1.3082453903253288,0.9306666666666666
220,"Vulkaneifel, Wahlkreis",144,22,46.54784298004872,0.7730034491470302,0.2901772043937876,0.99,3.114397877160691,1.183807523109099,0.9836666666666667
445,"Kaiserslautern II, Wahlkreis",83,18,24.44758539458186,0.9569330107168662,0.37287288941825747,0.9953333333333333,2.9464976498392943,1.680069227400672,0.8506666666666667
215,"Cochem-Zell, Wahlkreis",107,15,41.168380770150684,1.006081328924284,0.3221030283001518,0.9956666666666667,2.9828317833443236,1.085614512763211,0.983
449,"Südliche Weinstraße, Wahlkreis",86,21,25.796798458668963,1.4097159536857433,0.5140575360471809,0.996,6.0210594168748734,2.2388755862636653,0.9866666666666667
110,"Bendorf / Weißenthurm, Wahlkreis",64,18,35.207268597387845,1.8864270836392356,0.6381452082549081,0.9976666666666667,5.293072029525128,3.2468938572921076,0.792
101,"Betzdorf / Kirchen (Sieg), Wahlkreis",96,19,36.49287961384213,1.431167162067834,0.46272321578776887,0.9986666666666667,6.166717226611041,2.159007003320699,0.9856666666666667
104,"Neuwied, Wahlkreis",93,24,29.059299956150532,1.5641511135331232,0.49079563134652826,0.9996666666666667,5.668547462950169,2.6712309160511385,0.936
335,"Frankenthal (Pfalz), Wahlkreis",75,17,29.059752377534544,1.2468581130898788,0.38268833388609613,0.9996666666666667,6.080460460366876,1.7732324045228136,0.996
337,"Ludwigshafen am Rhein II, Wahlkreis",79,14,25.79981160380979,1.0488553248116683,0.30541113545725157,0.9996666666666667,3.0475180258281362,1.0928136328817413,0.983
339,"Speyer, Wahlkreis",61,23,29.08765652951699,2.9786079473750187,0.7388811918370635,0.9996666666666667,12.05602635920069,4.303859796727437,0.913
328,"Mainz II, Wahlkreis",78,17,26.748079100127658,1.4033016411700736,0.47817946507790243,1.0,7.832032341360389,2.6514786750334274,0.9693333333333334
448,"Pirmasens, Wahlkreis",104,20,29.667327605199382,2.3487823917873554,0.32847140673597075,1.0,8.012426932075101,1.2996257403068778,1.0
