wahlkreis,label,share,valid
1,Mehrheit > 50 %,0.6135876042908224,25170
2,Mehrheit > 50 %,0.5592018271426854,24957
3,Mehrheit > 50 %,0.6297646956672744,23034
4,Mehrheit > 50 %,0.7258610954263128,21252
5,Mehrheit > 50 %,0.6221715774051766,18429
6,Mehrheit > 50 %,0.7440739702998038,17845
7,Mehrheit > 50 %,0.7042135566605601,19105
8,Mehrheit > 50 %,0.749111361079865,22225
9,Mehrheit > 50 %,0.7925443305075334,27013
10,Mehrheit > 50 %,0.7745955400087451,27444
11,Mehrheit > 50 %,0.6516654330125833,27020
12,Mehrheit > 50 %,0.7569652189583709,27745
13,Keine Mehrheit,0.37217653191242905,25899
14,Keine Mehrheit,0.44415525630870206,26511
15,Mehrheit > 50 %,0.5896351516020357,27902
16,Keine Mehrheit,0.45240278796771827,21808
17,Mehrheit > 50 %,0.5673444239063463,24345
18,Mehrheit > 50 %,0.7286036883703425,26570
19,Mehrheit > 50 %,0.6469971041255719,23827
20,Mehrheit > 50 %,0.6739427560701078,24876
21,Mehrheit > 50 %,0.622004686673218,26458
22,Mehrheit > 50 %,0.5494333920926718,19855
23,Keine Mehrheit,0.4707779965645817,23869
24,Mehrheit > 50 %,0.6113796493527773,24412
25,Mehrheit > 50 %,0.5413470097062688,23593
26,Keine Mehrheit,0.4240385450125879,23038
27,Mehrheit > 50 %,0.57360258749378,24116
28,Mehrheit > 50 %,0.5202532641182948,25428
29,Keine Mehrheit,0.41494822550668203,22598
30,Keine Mehrheit,0.4269084396686814,17868
31,Keine Mehrheit,0.4605480963766783,21748
32,Keine Mehrheit,0.354912851944072,20884
33,Keine Mehrheit,0.377279571691484,23908
34,Mehrheit > 50 %,0.5608403162988316,25419
35,Mehrheit > 50 %,0.5453817292694237,23721
36,Keine Mehrheit,0.46113622960487516,25435
37,Keine Mehrheit,0.44832757112508853,24007
38,Keine Mehrheit,0.4387469531461587,22154
39,Keine Mehrheit,0.45770673131558015,26399
40,Keine Mehrheit,0.4220032180209171,24860
41,Mehrheit > 50 %,0.6528241070424646,26681
42,Mehrheit > 50 %,0.7079265011147844,26014
43,Mehrheit > 50 %,0.6490584667465971,28358
44,Mehrheit > 50 %,0.6123026450686898,24385
45,Keine Mehrheit,0.467527386541471,23004
46,Keine Mehrheit,0.36518664398889983,22342
47,Keine Mehrheit,0.3577103194514133,23916
48,Mehrheit > 50 %,0.7986039739636862,23352
49,Mehrheit > 50 %,0.8077296391070325,22666
50,Mehrheit > 50 %,0.6761023916292974,21408
51,Keine Mehrheit,0.42054916732751785,20176
52,Keine Mehrheit,0.41606997384556016,23323
53,Keine Mehrheit,0.3772744953969832,23137
54,Mehrheit > 50 %,0.6410563121089436,21736
55,Mehrheit > 50 %,0.5356461320154622,20437
56,Keine Mehrheit,0.49163142265814813,22226
57,Keine Mehrheit,0.3309093913977606,24203
58,Keine Mehrheit,0.4437392055267703,23160
59,Keine Mehrheit,0.39139325638462236,22006
60,Keine Mehrheit,0.4553567918222921,25435
61,Keine Mehrheit,0.31164179104477613,18425
62,Keine Mehrheit,0.35640998519145334,18908
63,Keine Mehrheit,0.31490495465491625,19517
64,Keine Mehrheit,0.3710844417486244,23081
65,Keine Mehrheit,0.33617874109263657,26944
66,Keine Mehrheit,0.317847724849913,17823
67,Keine Mehrheit,0.3116447791349068,21778
68,Keine Mehrheit,0.3739923631735257,23570
69,Keine Mehrheit,0.46052339272226417,22507
70,Mehrheit > 50 %,0.5703118537513442,24178
71,Mehrheit > 50 %,0.5278226835701523,23506
72,Mehrheit > 50 %,0.5234693465714171,24777
73,Mehrheit > 50 %,0.5012789319358663,16029
74,Keine Mehrheit,0.4081496325985304,17964
75,Keine Mehrheit,0.39064686498442647,22153
76,Keine Mehrheit,0.4122986562249711,22474
77,Keine Mehrheit,0.3807333898099964,16526
78,Keine Mehrheit,0.40725436179981633,23958
