row_key,name,level,kind,time,valid_second_votes,afd_share
berlin:WAHLKREIS:1,1,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,1123,7.747105966162066
berlin:WAHLKREIS:2,2,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,3041,12.364353830976652
berlin:WAHLKREIS:3,3,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,2253,9.631602308033733
berlin:WAHLKREIS:4,4,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,1663,10.282621767889356
berlin:WAHLKREIS:5,5,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,1692,10.16548463356974
berlin:WAHLKREIS:6,6,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,1172,6.143344709897611
berlin:WAHLKREIS:7,7,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,2803,10.024973242953978
berlin:WAHLKREIS:8,8,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,1999,8.704352176088044
berlin:WAHLKREIS:9,9,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,984,5.691056910569106
berlin:WAHLKREIS:10,10,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,859,8.963911525029104
berlin:WAHLKREIS:11,11,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,3264,12.561274509803921
berlin:WAHLKREIS:12,12,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,2543,7.0389303971686985
berlin:WAHLKREIS:13,13,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,4618,34.365526201818966
berlin:WAHLKREIS:14,14,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,4904,26.896411092985318
berlin:WAHLKREIS:15,15,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,4949,19.3574459486765
berlin:WAHLKREIS:16,16,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,2927,29.9624188588999
berlin:WAHLKREIS:17,17,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,3652,22.809419496166484
berlin:WAHLKREIS:18,18,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,3195,5.727699530516432
berlin:WAHLKREIS:19,19,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,2307,14.95448634590377
berlin:WAHLKREIS:20,20,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,1483,7.147673634524613
berlin:WAHLKREIS:21,21,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,4022,13.799104922923918
berlin:WAHLKREIS:22,22,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,1376,15.116279069767442
berlin:WAHLKREIS:23,23,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,1444,11.218836565096954
berlin:WAHLKREIS:24,24,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,830,7.349397590361446
berlin:WAHLKREIS:25,25,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,520,11.153846153846153
berlin:WAHLKREIS:26,26,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,1596,12.280701754385966
berlin:WAHLKREIS:27,27,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,2061,10.286268801552644
berlin:WAHLKREIS:28,28,WAHLKREIS,first_positive,2026-09-20T17:32:53.176165+00:00,1546,11.836998706338939
