level,field,sum,land,delta
GEMEINDE,voters_total,1826108,1826108,0
GEMEINDE,valid_votes_erst,1793003,1793003,0
GEMEINDE,valid_votes_zweit,1804830,1804830,0
GEMEINDE,Erststimmen:CDU,362784,362784,0
GEMEINDE,Erststimmen:SPD,246690,246690,0
GEMEINDE,Erststimmen:GRÜNE,295639,295639,0
GEMEINDE,Erststimmen:Die Linke,432193,432193,0
GEMEINDE,Erststimmen:AfD,283152,283152,0
GEMEINDE,Erststimmen:FDP,40025,40025,0
GEMEINDE,Erststimmen:Tierschutzpartei,10172,10172,0
GEMEINDE,Erststimmen:Die PARTEI,4781,4781,0
GEMEINDE,Erststimmen:Volt,40241,40241,0
GEMEINDE,Erststimmen:FREIE WÄHLER,0,0,0
GEMEINDE,Erststimmen:Mieterpartei,289,289,0
GEMEINDE,Erststimmen:Die Urbane.,0,0,0
GEMEINDE,Erststimmen:DKP,252,252,0
GEMEINDE,Erststimmen:ÖDP,0,0,0
GEMEINDE,Erststimmen:Die Heimat,0,0,0
GEMEINDE,Erststimmen:bergpartei,43,43,0
GEMEINDE,Erststimmen:SGP,0,0,0
GEMEINDE,Erststimmen:Menschliche Welt,0,0,0
GEMEINDE,Erststimmen:AB Spandau,0,0,0
GEMEINDE,Erststimmen:Ausländer für Berlin,0,0,0
GEMEINDE,Erststimmen:Migrants for Neukölln,0,0,0
GEMEINDE,Erststimmen:Berliner:innen ohne Grenzen,0,0,0
GEMEINDE,Erststimmen:Berlin Retten,0,0,0
GEMEINDE,Erststimmen:BSW,74769,74769,0
GEMEINDE,Erststimmen:Losdemokratie,0,0,0
GEMEINDE,Erststimmen:MERA25,374,374,0
GEMEINDE,Erststimmen:PdF,0,0,0
GEMEINDE,Erststimmen:Jan Mihm: Bester Mann,0,0,0
GEMEINDE,Erststimmen:Demokratische Linke,57,57,0
GEMEINDE,Erststimmen:DIE FRAUEN,57,57,0
GEMEINDE,"Erststimmen:Einzelbewerbung: Fleischmann, Florian",126,126,0
GEMEINDE,"Erststimmen:Einzelbewerbung: Dr. Gerken, Thomas",153,153,0
GEMEINDE,"Erststimmen:Einzelbewerbung: Kanzler, Jörg",120,120,0
GEMEINDE,"Erststimmen:Einzelbewerbung: Lindlmair, Thomas",113,113,0
GEMEINDE,"Erststimmen:Einzelbewerbung: Mansamba, Mutombo Kandu",51,51,0
GEMEINDE,"Erststimmen:Einzelbewerbung: Mihm, Jan",185,185,0
GEMEINDE,"Erststimmen:Einzelbewerbung: Ngwa, Albert",207,207,0
