mode,party,share,votes,valid,source_time
Urnenwahl,CDU,16.7819514968,,,"20.09.2026, 23:59:22"
Urnenwahl,SPD,11.0100379064,,,"20.09.2026, 23:59:22"
Urnenwahl,GRÜNE,12.7828533583,,,"20.09.2026, 23:59:22"
Urnenwahl,Die Linke,26.6700173327,,,"20.09.2026, 23:59:22"
Urnenwahl,AfD,19.9224962775,,,"20.09.2026, 23:59:22"
Urnenwahl,FDP,2.1840079289,,,"20.09.2026, 23:59:22"
Urnenwahl,BSW,5.311118731,,,"20.09.2026, 23:59:22"
Urnenwahl,Sonstige,5.3375169686,,,"20.09.2026, 23:59:22"
Briefwahl,CDU,21.6535087423,,,"20.09.2026, 23:59:22"
Briefwahl,SPD,13.7710453628,,,"20.09.2026, 23:59:22"
Briefwahl,GRÜNE,16.6508411392,,,"20.09.2026, 23:59:22"
Briefwahl,Die Linke,24.3625779176,,,"20.09.2026, 23:59:22"
Briefwahl,AfD,10.5438533696,,,"20.09.2026, 23:59:22"
Briefwahl,FDP,3.0640292288,,,"20.09.2026, 23:59:22"
Briefwahl,BSW,3.8250052339,,,"20.09.2026, 23:59:22"
Briefwahl,Sonstige,6.1291390058,,,"20.09.2026, 23:59:22"
