geo_id,valid_second_votes,voters,eligible_voters,reported,expected,Die Linke,CDU,AfD,GRÜNE,SPD,BSW,FDP,Tierschutzpartei,Volt,name,block,population,log_population,age67_share,age19_24_share,male_share,foreign_citizenship_share,single_household_share,owner_occupancy_share,vacancy_share,rent_eur_m2,abitur_share,no_vocational_qualification_share,ilo_unemployment_share,manufacturing_share,complete,turnout
1101,149792,151572,211894,328,328,53718,21104,13362,27260,16552,6464,3493,2017,3793,Mitte,1101,357319.0,12.78638421919997,11.352321035265406,7.882312443502864,51.04318550091095,31.68989054598272,64.048643427869,8.02,2.15,8.3,57.363007924464675,34.28764120721632,9.132575942269249,11.94998926808328,True,71.5319924113
1102,131447,132461,171438,328,328,58139,11505,7893,27236,12551,5038,2071,1652,3244,Friedrichshain-Kreuzberg,1102,264033.0,12.483829374316604,9.137872917400475,6.228009377615677,50.76448777236179,25.797532884147056,63.859296613541915,8.84,1.9,8.19,62.41541563970424,31.03293748599597,7.758253784884781,10.8569545154911,True,77.26466710997562
1103,228196,230219,291490,493,493,64194,32180,35270,41034,24313,11274,4964,4770,6300,Pankow,1103,400411.0,12.900246798573312,13.544333197639425,5.2258804078809025,48.53712810087635,14.761582474007955,56.18283009211873,16.400000000000002,1.9,8.05,56.10282276442527,21.4973716994318,5.819432064179295,12.479718766901028,True,78.98006792685855
1104,164311,165749,218378,336,337,32606,41777,16013,29679,24389,5377,6484,2437,3994,Charlottenburg-Wilmersdorf,1104,317012.0,12.666694907032529,21.32001312253164,6.337299534402483,47.55971382786772,22.31019645944002,64.13960112440459,17.37,2.39,8.43,58.53676497661917,27.180676755403365,7.921256151863136,11.49147365741919,False,75.90004487631538
1105,107006,108730,159860,250,251,17511,26029,22735,9614,16328,5042,3293,3283,1469,Spandau,1105,237759.0,12.379012834580749,19.43774999053663,6.445181885859211,48.446115604456615,20.522882414545823,51.753285346364656,18.57,2.25,7.15,35.02472697300639,35.21533072326396,9.275233437083148,16.908449323662026,False,68.01576379331915
1106,171995,173541,217839,412,412,26045,50939,18833,29169,26765,4998,6586,2823,4025,Steglitz-Zehlendorf,1106,295124.0,12.595150885987325,23.73409143275369,6.044577872351961,46.68986595464957,14.314999796695629,53.10073026544569,28.02,2.41,8.01,54.8764734377523,24.39044082028096,5.9838817998656815,12.329452103721694,True,79.66479831435143
1107,174700,176514,233351,366,366,40503,36836,21090,30914,25223,6760,4677,3397,3243,Tempelhof-Schöneberg,1107,331288.0,12.710743366684213,19.224058824949893,6.155067494144068,48.42191688198787,18.64389896404337,57.98278791865373,17.31,1.71,7.56,49.02823351242203,29.401795694659793,7.783262541614051,13.468600236509616,True,75.64312987730929
1108,134062,136253,196296,299,299,44254,21797,18870,16607,17488,6244,2473,2758,1830,Neukölln,1108,305022.0,12.628139184135764,15.887378615312992,6.048744025021146,49.2436611129689,23.737959884860764,57.4150303506918,14.77,2.07,7.4,41.66503963450349,37.61568198680151,9.879992380468602,14.619883040935672,True,69.4120104332233
1109,159203,161406,212027,329,329,42342,24121,37742,15594,16353,9922,3213,3785,2871,Treptow-Köpenick,1109,275537.0,12.526477199827916,19.41154908415204,5.572754294341594,48.61089436264458,11.505895759916092,51.97233329730898,19.45,1.66,7.45,45.31427076976724,21.75050126405719,6.09788893370983,17.369513854084627,True,76.12521046847807
1110,124698,126534,199770,294,322,25229,20651,42128,6774,9912,9195,2572,4200,1870,Marzahn-Hellersdorf,1110,270010.0,12.506214274331697,18.94966853079515,5.489426317543795,48.89337431946965,13.098033406170142,47.6669994357394,18.72,1.4200000000000002,6.29,31.497124370956147,26.17721063982746,7.665836872162835,17.437158036634685,False,63.33984081693948
1111,140316,142428,199676,334,338,40553,19855,33572,12249,12331,9729,2448,4062,2733,Lichtenberg,1111,290543.0,12.57950686497417,17.48415897130545,6.055213858189665,49.17791858692173,18.586921729313733,54.98991523773021,8.06,1.62,7.15,40.47578077948894,26.615331669964725,7.6617250673854445,14.748595198131795,False,71.3295538772812
1112,119104,120701,175299,302,311,19171,32159,22623,13216,16949,4811,3659,2920,2215,Reinickendorf,1112,252941.0,12.440911538932912,21.40143353588386,6.251260175297797,48.63821998015347,17.99273348330243,51.06895560201123,23.29,1.97,7.13,37.30951129795061,32.84287966368891,9.01791751183232,17.166744078030653,False,68.85435741219288
