row_key,time,previous_time,delta_valid,delta_reported,fixed_reported_count,party_deltas
berlin:WAHLKREIS:1,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,1123,4,False,"{""CDU"": 256, ""SPD"": 124, ""GRÜNE"": 263, ""Die Linke"": 255, ""AfD"": 87, ""FDP"": 40, ""Tierschutzpartei"": 9, ""Die PARTEI"": 3, ""Volt"": 54, ""Die Urbane."": 2, ""DKP"": 2, ""BSW"": 25, ""PdF"": 3}"
berlin:WAHLKREIS:2,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,3041,8,False,"{""CDU"": 608, ""SPD"": 291, ""GRÜNE"": 443, ""Die Linke"": 912, ""AfD"": 376, ""FDP"": 76, ""Tierschutzpartei"": 57, ""Die PARTEI"": 18, ""Volt"": 79, ""Die Urbane."": 2, ""DKP"": 5, ""ÖDP"": 1, ""BSW"": 166, ""PdF"": 7}"
berlin:WAHLKREIS:3,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,2253,6,False,"{""CDU"": 503, ""SPD"": 301, ""GRÜNE"": 409, ""Die Linke"": 587, ""AfD"": 217, ""FDP"": 60, ""Tierschutzpartei"": 23, ""Die PARTEI"": 8, ""Volt"": 46, ""ÖDP"": 1, ""SGP"": 1, ""BSW"": 91, ""PdF"": 6}"
berlin:WAHLKREIS:4,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,1663,4,False,"{""CDU"": 175, ""SPD"": 164, ""GRÜNE"": 285, ""Die Linke"": 690, ""AfD"": 171, ""FDP"": 39, ""Tierschutzpartei"": 21, ""Die PARTEI"": 9, ""Volt"": 32, ""DKP"": 1, ""SGP"": 1, ""BSW"": 71, ""PdF"": 4}"
berlin:WAHLKREIS:5,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,1692,5,False,"{""CDU"": 141, ""SPD"": 162, ""GRÜNE"": 242, ""Die Linke"": 795, ""AfD"": 172, ""FDP"": 32, ""Tierschutzpartei"": 20, ""Die PARTEI"": 18, ""Volt"": 19, ""DKP"": 10, ""SGP"": 2, ""BSW"": 75, ""PdF"": 4}"
berlin:WAHLKREIS:6,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,1172,3,False,"{""CDU"": 55, ""SPD"": 87, ""GRÜNE"": 132, ""Die Linke"": 696, ""AfD"": 72, ""FDP"": 8, ""Tierschutzpartei"": 14, ""Die PARTEI"": 16, ""Volt"": 8, ""DKP"": 4, ""ÖDP"": 1, ""SGP"": 1, ""BSW"": 73, ""PdF"": 5}"
berlin:WAHLKREIS:7,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,2803,8,False,"{""CDU"": 248, ""SPD"": 269, ""GRÜNE"": 294, ""Die Linke"": 1357, ""AfD"": 281, ""FDP"": 38, ""Tierschutzpartei"": 39, ""Die PARTEI"": 10, ""Volt"": 47, ""Die Urbane."": 5, ""DKP"": 5, ""ÖDP"": 6, ""SGP"": 3, ""BSW"": 196, ""PdF"": 5}"
berlin:WAHLKREIS:8,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,1999,5,False,"{""CDU"": 196, ""SPD"": 214, ""GRÜNE"": 261, ""Die Linke"": 883, ""AfD"": 174, ""FDP"": 27, ""Tierschutzpartei"": 28, ""Die PARTEI"": 6, ""Volt"": 26, ""Die Urbane."": 3, ""DKP"": 2, ""ÖDP"": 1, ""bergpartei"": 1, ""BSW"": 173, ""PdF"": 4}"
berlin:WAHLKREIS:9,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,984,2,False,"{""CDU"": 69, ""SPD"": 85, ""GRÜNE"": 206, ""Die Linke"": 482, ""AfD"": 56, ""FDP"": 14, ""Tierschutzpartei"": 11, ""Die PARTEI"": 9, ""Volt"": 16, ""Die Urbane."": 2, ""DKP"": 1, ""BSW"": 30, ""PdF"": 3}"
berlin:WAHLKREIS:10,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,859,2,False,"{""CDU"": 154, ""SPD"": 86, ""GRÜNE"": 148, ""Die Linke"": 274, ""AfD"": 77, ""FDP"": 18, ""Tierschutzpartei"": 11, ""Die PARTEI"": 11, ""Volt"": 44, ""Die Urbane."": 1, ""BSW"": 33, ""PdF"": 2}"
berlin:WAHLKREIS:11,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,3264,8,False,"{""CDU"": 291, ""SPD"": 284, ""GRÜNE"": 438, ""Die Linke"": 1425, ""AfD"": 410, ""FDP"": 53, ""Tierschutzpartei"": 50, ""Die PARTEI"": 29, ""Volt"": 85, ""Die Urbane."": 3, ""DKP"": 3, ""ÖDP"": 4, ""bergpartei"": 4, ""SGP"": 3, ""BSW"": 172, ""PdF"": 10}"
berlin:WAHLKREIS:12,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,2543,6,False,"{""CDU"": 206, ""SPD"": 210, ""GRÜNE"": 499, ""Die Linke"": 1172, ""AfD"": 179, ""FDP"": 32, ""Tierschutzpartei"": 35, ""Die PARTEI"": 36, ""Volt"": 66, ""Die Urbane."": 3, ""DKP"": 1, ""ÖDP"": 3, ""bergpartei"": 2, ""BSW"": 93, ""PdF"": 6}"
berlin:WAHLKREIS:13,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,4618,12,False,"{""CDU"": 800, ""SPD"": 367, ""GRÜNE"": 400, ""Die Linke"": 785, ""AfD"": 1587, ""FDP"": 108, ""Tierschutzpartei"": 142, ""Die PARTEI"": 45, ""Volt"": 72, ""DKP"": 5, ""ÖDP"": 9, ""BSW"": 285, ""PdF"": 13}"
berlin:WAHLKREIS:14,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,4904,13,False,"{""CDU"": 850, ""SPD"": 474, ""GRÜNE"": 635, ""Die Linke"": 1001, ""AfD"": 1319, ""FDP"": 122, ""Tierschutzpartei"": 105, ""Die PARTEI"": 28, ""Volt"": 74, ""Die Urbane."": 5, ""DKP"": 4, ""ÖDP"": 8, ""SGP"": 1, ""BSW"": 267, ""PdF"": 11}"
berlin:WAHLKREIS:15,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,4949,13,False,"{""CDU"": 613, ""SPD"": 491, ""GRÜNE"": 822, ""Die Linke"": 1447, ""AfD"": 958, ""FDP"": 93, ""Tierschutzpartei"": 93, ""Die PARTEI"": 35, ""Volt"": 112, ""Die Urbane."": 4, ""DKP"": 10, ""ÖDP"": 12, ""SGP"": 2, ""BSW"": 239, ""PdF"": 18}"
berlin:WAHLKREIS:16,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,2927,8,False,"{""CDU"": 381, ""SPD"": 295, ""GRÜNE"": 285, ""Die Linke"": 660, ""AfD"": 877, ""FDP"": 51, ""Tierschutzpartei"": 83, ""Die PARTEI"": 30, ""Volt"": 47, ""Die Urbane."": 4, ""DKP"": 5, ""ÖDP"": 6, ""BSW"": 188, ""PdF"": 15}"
berlin:WAHLKREIS:17,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,3652,10,False,"{""CDU"": 367, ""SPD"": 346, ""GRÜNE"": 505, ""Die Linke"": 1077, ""AfD"": 833, ""FDP"": 53, ""Tierschutzpartei"": 85, ""Die PARTEI"": 39, ""Volt"": 89, ""Die Urbane."": 6, ""DKP"": 5, ""ÖDP"": 4, ""BSW"": 222, ""PdF"": 21}"
berlin:WAHLKREIS:18,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,3195,8,False,"{""CDU"": 345, ""SPD"": 306, ""GRÜNE"": 772, ""Die Linke"": 1246, ""AfD"": 183, ""FDP"": 54, ""Tierschutzpartei"": 31, ""Die PARTEI"": 29, ""Volt"": 108, ""Die Urbane."": 1, ""DKP"": 5, ""ÖDP"": 3, ""BSW"": 103, ""PdF"": 9}"
berlin:WAHLKREIS:19,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,2307,7,False,"{""CDU"": 289, ""SPD"": 189, ""GRÜNE"": 389, ""Die Linke"": 793, ""AfD"": 345, ""FDP"": 49, ""Tierschutzpartei"": 47, ""Die PARTEI"": 25, ""Volt"": 51, ""Die Urbane."": 2, ""DKP"": 26, ""ÖDP"": 2, ""SGP"": 1, ""BSW"": 86, ""PdF"": 13}"
berlin:WAHLKREIS:20,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,1483,4,False,"{""CDU"": 193, ""SPD"": 165, ""GRÜNE"": 360, ""Die Linke"": 435, ""AfD"": 106, ""FDP"": 27, ""Tierschutzpartei"": 14, ""Die PARTEI"": 13, ""Volt"": 93, ""Die Urbane."": 1, ""DKP"": 2, ""ÖDP"": 3, ""SGP"": 1, ""BSW"": 68, ""PdF"": 2}"
berlin:WAHLKREIS:21,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,4022,12,False,"{""CDU"": 437, ""SPD"": 418, ""GRÜNE"": 719, ""Die Linke"": 1363, ""AfD"": 555, ""FDP"": 67, ""Tierschutzpartei"": 75, ""Die PARTEI"": 31, ""Volt"": 103, ""Die Urbane."": 3, ""DKP"": 6, ""ÖDP"": 6, ""BSW"": 225, ""PdF"": 14}"
berlin:WAHLKREIS:22,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,1376,3,False,"{""CDU"": 192, ""SPD"": 178, ""GRÜNE"": 193, ""Die Linke"": 396, ""AfD"": 208, ""FDP"": 45, ""Tierschutzpartei"": 33, ""Die PARTEI"": 10, ""Volt"": 32, ""DKP"": 1, ""ÖDP"": 2, ""BSW"": 84, ""PdF"": 2}"
berlin:WAHLKREIS:23,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,1444,3,False,"{""CDU"": 499, ""SPD"": 195, ""GRÜNE"": 241, ""Die Linke"": 182, ""AfD"": 162, ""FDP"": 59, ""Tierschutzpartei"": 13, ""Die PARTEI"": 6, ""Volt"": 44, ""Die Urbane."": 1, ""ÖDP"": 2, ""BSW"": 36, ""PdF"": 4}"
berlin:WAHLKREIS:24,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,830,2,False,"{""CDU"": 180, ""SPD"": 143, ""GRÜNE"": 187, ""Die Linke"": 175, ""AfD"": 61, ""FDP"": 22, ""Tierschutzpartei"": 9, ""Die PARTEI"": 6, ""Volt"": 19, ""BSW"": 27, ""PdF"": 1}"
berlin:WAHLKREIS:25,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,520,1,False,"{""CDU"": 168, ""SPD"": 65, ""GRÜNE"": 101, ""Die Linke"": 74, ""AfD"": 58, ""FDP"": 20, ""Tierschutzpartei"": 3, ""Die PARTEI"": 4, ""Volt"": 10, ""DKP"": 1, ""ÖDP"": 1, ""BSW"": 15}"
berlin:WAHLKREIS:26,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,1596,4,False,"{""CDU"": 429, ""SPD"": 242, ""GRÜNE"": 244, ""Die Linke"": 279, ""AfD"": 196, ""FDP"": 79, ""Tierschutzpartei"": 16, ""Die PARTEI"": 6, ""Volt"": 31, ""Die Urbane."": 1, ""DKP"": 1, ""ÖDP"": 3, ""BSW"": 67, ""PdF"": 2}"
berlin:WAHLKREIS:27,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,2061,4,False,"{""CDU"": 466, ""SPD"": 312, ""GRÜNE"": 414, ""Die Linke"": 465, ""AfD"": 212, ""FDP"": 52, ""Tierschutzpartei"": 30, ""Die PARTEI"": 9, ""Volt"": 41, ""ÖDP"": 2, ""SGP"": 2, ""BSW"": 51, ""PdF"": 5}"
berlin:WAHLKREIS:28,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,1546,3,False,"{""CDU"": 383, ""SPD"": 213, ""GRÜNE"": 263, ""Die Linke"": 318, ""AfD"": 183, ""FDP"": 48, ""Tierschutzpartei"": 20, ""Die PARTEI"": 8, ""Volt"": 35, ""Die Urbane."": 2, ""DKP"": 1, ""ÖDP"": 2, ""BSW"": 68, ""PdF"": 2}"
berlin:WAHLKREIS:29,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,1995,8,False,"{""CDU"": 368, ""SPD"": 285, ""GRÜNE"": 161, ""Die Linke"": 469, ""AfD"": 444, ""FDP"": 53, ""Tierschutzpartei"": 69, ""Die PARTEI"": 25, ""Volt"": 20, ""Die Urbane."": 1, ""ÖDP"": 5, ""SGP"": 1, ""BSW"": 87, ""PdF"": 7}"
berlin:WAHLKREIS:30,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,927,3,False,"{""CDU"": 194, ""SPD"": 121, ""GRÜNE"": 74, ""Die Linke"": 174, ""AfD"": 217, ""FDP"": 33, ""Tierschutzpartei"": 21, ""Die PARTEI"": 7, ""Volt"": 12, ""Die Urbane."": 2, ""SGP"": 3, ""BSW"": 61, ""PdF"": 8}"
berlin:WAHLKREIS:31,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,2014,8,False,"{""CDU"": 462, ""SPD"": 317, ""GRÜNE"": 177, ""Die Linke"": 403, ""AfD"": 361, ""FDP"": 59, ""Tierschutzpartei"": 57, ""Die PARTEI"": 24, ""Volt"": 34, ""Die Urbane."": 2, ""DKP"": 1, ""ÖDP"": 7, ""SGP"": 2, ""BSW"": 98, ""PdF"": 10}"
berlin:WAHLKREIS:32,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,783,2,False,"{""CDU"": 202, ""SPD"": 115, ""GRÜNE"": 36, ""Die Linke"": 111, ""AfD"": 221, ""FDP"": 28, ""Tierschutzpartei"": 17, ""Die PARTEI"": 5, ""Volt"": 5, ""ÖDP"": 1, ""BSW"": 40, ""PdF"": 2}"
berlin:WAHLKREIS:33,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,371,1,False,"{""CDU"": 100, ""SPD"": 46, ""GRÜNE"": 55, ""Die Linke"": 46, ""AfD"": 70, ""FDP"": 24, ""Tierschutzpartei"": 4, ""Die PARTEI"": 6, ""Volt"": 5, ""BSW"": 15}"
berlin:WAHLKREIS:34,2026-09-20T17:32:53.176165+00:00,2026-09-20T17:28:41.667886+00:00,3717,8,False,"{""CDU"": 696, ""SPD"": 539, ""GRÜNE"": 700, ""Die Linke"": 871, ""AfD"": 455, ""FDP"": 100, ""Tierschutzpartei"": 53, ""Die PARTEI"": 26, ""Volt"": 78, ""Die Urbane."": 4, ""DKP"": 4, ""ÖDP"": 5, ""SGP"": 4, ""BSW"": 165, ""PdF"": 17}"
