party,feature,omitted_block,n,weighted_pearson
Die Linke,log_population,1101,11,0.1407687884142245
Die Linke,log_population,1102,11,0.5573542560852397
Die Linke,log_population,1103,11,0.23639768402112887
Die Linke,log_population,1104,11,0.2738539042385421
Die Linke,log_population,1105,11,0.14427773415865316
Die Linke,log_population,1106,11,0.24051732789902602
Die Linke,log_population,1107,11,0.27092843753554013
Die Linke,log_population,1108,11,0.2522381174409447
Die Linke,log_population,1109,11,0.25809167352892104
Die Linke,log_population,1110,11,0.2141468771135734
Die Linke,log_population,1111,11,0.25825718041622014
Die Linke,log_population,1112,11,0.15840320542154845
CDU,log_population,1101,11,-0.18649498862836328
CDU,log_population,1102,11,-0.43144899989866786
CDU,log_population,1103,11,-0.061697731744069916
CDU,log_population,1104,11,-0.2962943506045316
CDU,log_population,1105,11,-0.1718502718738946
CDU,log_population,1106,11,-0.2557866099965183
CDU,log_population,1107,11,-0.27714481713941386
CDU,log_population,1108,11,-0.247874729816994
CDU,log_population,1109,11,-0.29639797881599145
CDU,log_population,1110,11,-0.27642698507891283
CDU,log_population,1111,11,-0.27423088955279784
CDU,log_population,1112,11,-0.14626570732776523
AfD,log_population,1101,11,-0.3096648851582414
AfD,log_population,1102,11,-0.5391806067494038
AfD,log_population,1103,11,-0.4990176568993978
AfD,log_population,1104,11,-0.3671652071166714
AfD,log_population,1105,11,-0.3375471249053909
AfD,log_population,1106,11,-0.40238974130704075
AfD,log_population,1107,11,-0.35413066260753345
AfD,log_population,1108,11,-0.37669502159201806
AfD,log_population,1109,11,-0.3336134172193555
AfD,log_population,1110,11,-0.3159224006604239
AfD,log_population,1111,11,-0.36779860377066687
AfD,log_population,1112,11,-0.3632551382363037
GRÜNE,log_population,1101,11,0.5446890580286302
GRÜNE,log_population,1102,11,0.7683990022570399
GRÜNE,log_population,1103,11,0.5470919804820941
GRÜNE,log_population,1104,11,0.5787031124662851
GRÜNE,log_population,1105,11,0.5269427906353316
GRÜNE,log_population,1106,11,0.6034347814625608
GRÜNE,log_population,1107,11,0.5611645460912924
GRÜNE,log_population,1108,11,0.5850953850409245
GRÜNE,log_population,1109,11,0.5546461669182804
GRÜNE,log_population,1110,11,0.5605116520607815
GRÜNE,log_population,1111,11,0.588792501251035
GRÜNE,log_population,1112,11,0.558615610107003
SPD,log_population,1101,11,-0.034792812947411635
SPD,log_population,1102,11,-0.1637703011584667
SPD,log_population,1103,11,0.11901337510163319
SPD,log_population,1104,11,-0.11145939297146543
SPD,log_population,1105,11,0.06167380584678704
SPD,log_population,1106,11,-0.051371148267998795
SPD,log_population,1107,11,-0.13920209243315781
SPD,log_population,1108,11,-0.07578982557985499
SPD,log_population,1109,11,-0.12833745358876913
SPD,log_population,1110,11,-0.19845587875416396
SPD,log_population,1111,11,-0.11858722329832802
SPD,log_population,1112,11,-0.0030138553039404953
BSW,log_population,1101,11,-0.13411726632098853
BSW,log_population,1102,11,-0.21556703245881037
BSW,log_population,1103,11,-0.28798191523484634
BSW,log_population,1104,11,-0.13322042883253182
BSW,log_population,1105,11,-0.16960276413136963
BSW,log_population,1106,11,-0.2053615648809752
BSW,log_population,1107,11,-0.12080514173464588
BSW,log_population,1108,11,-0.15492493077155214
BSW,log_population,1109,11,-0.08808146789609721
BSW,log_population,1110,11,-0.04247176113488943
BSW,log_population,1111,11,-0.12793968592772192
BSW,log_population,1112,11,-0.21267849826596397
FDP,log_population,1101,11,-0.026552760604350537
FDP,log_population,1102,11,-0.16312585480593422
FDP,log_population,1103,11,0.1106575215640963
FDP,log_population,1104,11,-0.12729970508275631
FDP,log_population,1105,11,0.02268761903939811
FDP,log_population,1106,11,-0.019762060601697384
FDP,log_population,1107,11,-0.06423636060999495
