capture,time,commit,party,votes,share
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,DKP,230,0.12117508218831662
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,ÖDP,258,0.1359268313242856
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,Die Heimat,90,0.04741633650847172
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,bergpartei,7,0.0036879372839922447
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,SGP,62,0.03266458737250274
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,Menschliche Welt,0,0.0
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,AB Spandau,0,0.0
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,Ausländer für Berlin,0,0.0
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,Migrants for Neukölln,0,0.0
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,Berliner:innen ohne Grenzen,0,0.0
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,Berlin Retten,0,0.0
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,BSW,9898,5.214743319565034
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,Losdemokratie,0,0.0
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,MERA25,0,0.0
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,PdF,580,0.30557194638792884
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,Jan Mihm: Bester Mann,0,0.0
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,Demokratische Linke,0,0.0
2026-09-20-19-32-50,2026-09-20T17:32:53.176165+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,DIE FRAUEN,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,CDU,48078,17.449532893447444
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,SPD,30756,11.162648897018792
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,GRÜNE,35567,12.908763601257231
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Die Linke,71417,25.920239832175547
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,AfD,54338,19.721550779236804
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,FDP,6255,2.2702031750179654
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Tierschutzpartei,5603,2.0335648904277637
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Die PARTEI,2036,0.7389502261129621
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Volt,5141,1.8658856151506573
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,FREIE WÄHLER,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Mieterpartei,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Die Urbane.,192,0.06968489362165459
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,DKP,335,0.12158562168361607
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,ÖDP,362,0.13138505984916124
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Die Heimat,116,0.04210128989641631
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,bergpartei,9,0.0032664793885150583
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,SGP,87,0.03157596742231223
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Menschliche Welt,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,AB Spandau,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Ausländer für Berlin,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Migrants for Neukölln,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Berliner:innen ohne Grenzen,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,Berlin Retten,0,0.0
2026-09-20-19-41-39,2026-09-20T17:41:42.096419+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,BSW,14407,5.22890761670405
