wahlkreis,label,share,valid
1,Die Linke,0.2659912594358363,25170
2,Die Linke,0.30103778499018313,24957
3,Die Linke,0.2838412781106191,23034
4,Die Linke,0.40913796348578957,21252
5,Die Linke,0.3712626838135547,18429
6,Die Linke,0.5054076772205099,17845
7,Die Linke,0.4405129547238943,19105
8,Die Linke,0.4694713160854893,22225
9,Die Linke,0.42398104616295856,27013
10,Die Linke,0.469975222270806,27444
11,Die Linke,0.39389341228719466,27020
12,Die Linke,0.45813660118940347,27745
13,AfD,0.2770377234642264,25899
14,AfD,0.21719286333974577,26511
15,Die Linke,0.28732707332807683,27902
16,Die Linke,0.23477622890682318,21808
17,Die Linke,0.2945163277880468,24345
18,Die Linke,0.35321791494166355,26570
19,Die Linke,0.3502748982247031,23827
20,Die Linke,0.31745457469046473,24876
21,Die Linke,0.3138937183460579,26458
22,Die Linke,0.26048854192898513,19855
23,CDU,0.30696719594453054,23869
24,Die Linke,0.23615435031951498,24412
25,CDU,0.24846352731742466,23593
26,CDU,0.33952600052087856,23038
27,CDU,0.23867971471222424,24116
28,CDU,0.2607755230454617,25428
29,AfD,0.2247101513408266,22598
30,AfD,0.233266174166107,17868
31,Die Linke,0.218180982159279,21748
32,CDU,0.271834897529209,20884
33,CDU,0.3268780324577547,23908
34,CDU,0.23655533262520162,25419
35,CDU,0.22085915433582057,23721
36,CDU,0.3250245724395518,25435
37,CDU,0.30132877910609407,24007
38,CDU,0.2746230928951882,22154
39,CDU,0.3366036592295163,26399
40,CDU,0.37071600965406276,24860
41,Die Linke,0.29687792811363894,26681
42,Die Linke,0.32528638425463213,26014
43,GRÜNE,0.2556245151280062,28358
44,Die Linke,0.2844781628050031,24385
45,CDU,0.23439401843157712,23004
46,CDU,0.30583654104377406,22342
47,CDU,0.3173607626693427,23916
48,Die Linke,0.5013703323055841,23352
49,Die Linke,0.5309273802170652,22666
50,Die Linke,0.4321748878923767,21408
51,CDU,0.23835249801744648,20176
52,CDU,0.25005359516357245,23323
53,CDU,0.27825560790076503,23137
54,Die Linke,0.39266654398233347,21736
55,Die Linke,0.33121299603660026,20437
56,Die Linke,0.26873931431656617,22226
57,AfD,0.3178531586993348,24203
58,AfD,0.24455958549222798,23160
59,AfD,0.2991456875397619,22006
60,Die Linke,0.24120306664045607,25435
61,AfD,0.4382089552238806,18425
62,AfD,0.3473133065369156,18908
63,AfD,0.4178920940718348,19517
64,AfD,0.26792599974004594,23081
65,CDU,0.2573856888361045,26944
66,AfD,0.3544857768052516,17823
67,AfD,0.36036366975847184,21778
68,AfD,0.284514212982605,23570
69,Die Linke,0.2996401119651664,22507
70,Die Linke,0.36032757051865333,24178
71,Die Linke,0.3407215179103208,23506
72,Die Linke,0.28013883843887477,24777
73,Die Linke,0.29022396905608583,16029
74,CDU,0.23129592518370073,17964
75,CDU,0.3197309619464632,22153
76,CDU,0.2594553706505295,22474
77,AfD,0.26461333656057123,16526
78,CDU,0.36655814341764753,23958
