party,feature,label,n,valid_votes,pearson_equal,spearman_equal,pearson_vote_weighted,spearman_vote_weighted,ballot_context_r,absolute_party_votes_pearson,complete_areas_r,complete_areas_n,without_rostock_schwerin_r,within_block_rank_r,leave_one_block_min,leave_one_block_max
Die Linke,log_population,Einwohnerzahl (log),12,1804830,0.275003886023516,0.3146853146853147,0.2454663458307944,0.27861838395931177,0.04590998463486322,0.6836587996458476,-0.0919131267605689,7,,,0.1407687884142245,0.5573542560852397
CDU,log_population,Einwohnerzahl (log),12,1804830,-0.23707726001686907,-0.2517482517482518,-0.24682994192269267,-0.2715638155051517,-0.038735574947180496,0.24498995141333643,-0.09104369554076884,7,,,-0.43144899989866786,-0.061697731744069916
AfD,log_population,Einwohnerzahl (log),12,1804830,-0.3987951374539514,-0.3916083916083916,-0.37598719669162506,-0.35673299818124937,-0.07482177051159339,-0.006362855155340837,-0.006458763976742326,7,,,-0.5391806067494038,-0.3096648851582414
GRÜNE,log_population,Einwohnerzahl (log),12,1804830,0.5647223882095772,0.5174825174825175,0.5800672044339171,0.5411397003152298,0.0763389396995009,0.7849859024706568,0.3362215411874635,7,,,0.5269427906353316,0.7683990022570399
SPD,log_population,Einwohnerzahl (log),12,1804830,-0.0732132427931269,0.07692307692307693,-0.07484780527217001,0.12425602660151033,-0.005833286185452275,0.5397355800262836,-0.06747908144277756,7,,,-0.19845587875416396,0.11901337510163319
BSW,log_population,Einwohnerzahl (log),12,1804830,-0.16688027184977924,-0.14685314685314685,-0.15496797802517898,-0.10128330121195105,-0.00968859329959001,0.4127954120120078,0.08054830033778534,7,,,-0.28798191523484634,-0.04247176113488943
FDP,log_population,Einwohnerzahl (log),12,1804830,-0.04371781611966621,0.0979020979020979,-0.05233144656803036,0.15716834884547445,-0.0025502368637612487,0.4128029797443675,0.024305123964088127,7,,,-0.16312585480593422,0.1106575215640963
Tierschutzpartei,log_population,Einwohnerzahl (log),12,1804830,-0.4674611809168369,-0.4755244755244755,-0.41363885651728205,-0.41030122332367575,-0.017892620680608224,0.1734947873417032,0.14181659477709155,7,,,-0.5809511865531665,-0.3012271547461694
Volt,log_population,Einwohnerzahl (log),12,1804830,0.6255651093939599,0.4965034965034965,0.6599911327493085,0.565520075024736,0.021241053190277775,0.8079209040143636,0.5098461795839102,7,,,0.4498372124593153,0.7717601454175194
Die Linke,age67_share,Anteil 67 Jahre und älter,12,1804830,-0.9218005060163628,-0.9440559440559441,-0.9155409327998142,-0.9335267959898536,-0.17123516470319636,-0.8228274709578671,-0.9249697229752118,7,,,-0.9444484515071404,-0.8742328599450758
CDU,age67_share,Anteil 67 Jahre und älter,12,1804830,0.8623725140150437,0.9440559440559441,0.8679842387454458,0.9464570714221092,0.1362147082764619,0.7232598098519631,0.8936931855622765,7,,,0.8235868035711007,0.9189361715934237
AfD,age67_share,Anteil 67 Jahre und älter,12,1804830,0.34530359140160644,0.22377622377622378,0.2889913259257901,0.18438530553989776,0.05750951856479052,0.2775176805290473,0.3795537108745871,7,,,0.09423447905276293,0.46847587773383287
GRÜNE,age67_share,Anteil 67 Jahre und älter,12,1804830,-0.40470351213328243,-0.36363636363636365,-0.3702898437951135,-0.4012707134459656,-0.04873148118138972,-0.2877880724083354,-0.4512900942827713,7,,,-0.5328140286698405,-0.2011900061176562
SPD,age67_share,Anteil 67 Jahre und älter,12,1804830,0.5616801683969853,0.6503496503496503,0.5922297130402716,0.640363420824761,0.04615560057011712,0.37211237048621437,0.7749445487744265,7,,,0.48407230478322716,0.7131181134655217
BSW,age67_share,Anteil 67 Jahre und älter,12,1804830,-0.07697623704355783,-0.3006993006993007,-0.1334449659299704,-0.34865368462123686,-0.008342975234296852,-0.16960348778924209,-0.19886367122504714,7,,,-0.2914329757675566,0.10149755513620412
FDP,age67_share,Anteil 67 Jahre und älter,12,1804830,0.7117286486210185,0.7482517482517482,0.7184040552468046,0.7043607617973704,0.03500955209377337,0.5269454983639863,0.7671791009132997,7,,,0.6199571591111709,0.7741619481081431
Tierschutzpartei,age67_share,Anteil 67 Jahre und älter,12,1804830,0.36043401732570346,0.27972027972027974,0.29649989167021784,0.2230502118028263,0.012825584467969314,0.25952316197892694,0.4126965545122421,7,,,0.10479830644637025,0.48948240932186127
Volt,age67_share,Anteil 67 Jahre und älter,12,1804830,-0.37452843249385065,-0.3146853146853147,-0.3781018845171277,-0.3729202063136931,-0.012168772945352856,-0.24613421040722425,-0.40949462631709227,7,,,-0.5417955963697602,-0.2270205885568385
Die Linke,age19_24_share,Anteil 19–24 Jahre,12,1804830,0.23309631042944673,0.006993006993006993,0.2221897204087347,0.016960785893003375,0.04155651812660776,0.01822273605705611,0.3367312863148299,7,,,-0.15753500947042545,0.32713467257575235
CDU,age19_24_share,Anteil 19–24 Jahre,12,1804830,0.048339515819245275,0.09090909090909091,0.07793005006136658,0.11176213707225278,0.012229737086495935,-0.10713816362325548,-0.046908937326913966,7,,,-0.08564752990137994,0.478727506493282
AfD,age19_24_share,Anteil 19–24 Jahre,12,1804830,-0.48274438898261823,-0.46153846153846156,-0.46128287589166383,-0.4898200187089848,-0.09179568289715298,-0.6735090781620677,-0.5711651784741155,7,,,-0.5560679849677282,-0.40178891222430474
GRÜNE,age19_24_share,Anteil 19–24 Jahre,12,1804830,0.31971316499003805,0.3356643356643357,0.2601840156060968,0.3209280688507225,0.034241156414817744,0.04310799940119366,0.2747030382038836,7,,,0.10028398036541605,0.5024110406448079
SPD,age19_24_share,Anteil 19–24 Jahre,12,1804830,0.2348486096877139,0.4125874125874126,0.23341792767297792,0.3871762000060396,0.01819149630347212,-0.05307964705578323,0.053530494014158825,7,,,0.13722865811808593,0.5976011324896136
BSW,age19_24_share,Anteil 19–24 Jahre,12,1804830,-0.3871601877276271,-0.43356643356643354,-0.3649920598306645,-0.45940737905659507,-0.022819292542517158,-0.5492183176748717,-0.3288104222350553,7,,,-0.5137563304804244,-0.27772131105859876
FDP,age19_24_share,Anteil 19–24 Jahre,12,1804830,0.1738763325492595,0.35664335664335667,0.18149285216493508,0.34541904603912915,0.008844581842362956,-0.025007020199539626,0.06179470586226751,7,,,0.10396828075136837,0.4381410990953829
Tierschutzpartei,age19_24_share,Anteil 19–24 Jahre,12,1804830,-0.4343868279510411,-0.32867132867132864,-0.4326987826161688,-0.39202865241709345,-0.018717088746203404,-0.7103738590071824,-0.7115944713064158,7,,,-0.5288337645111422,-0.24324741875060615
Volt,age19_24_share,Anteil 19–24 Jahre,12,1804830,0.1773448471092962,0.1048951048951049,0.0804014643908149,0.001217314130648862,0.002587628374016688,-0.11851181632959364,0.038415445453766746,7,,,-0.2940291640842869,0.5162796675831547
Die Linke,male_share,Männeranteil,12,1804830,0.834327732969286,0.7902097902097902,0.8424661810624772,0.7944262051310187,0.157567870646641,0.5584825123709791,0.936755864528387,7,,,0.7902353105729212,0.8777045022766958
CDU,male_share,Männeranteil,12,1804830,-0.7908799939403158,-0.7412587412587412,-0.7862951018195625,-0.7269605257033898,-0.12339504927919936,-0.8596056201220867,-0.8251948274052363,7,,,-0.8470914496772747,-0.6782098872128719
AfD,male_share,Männeranteil,12,1804830,-0.14977212824018324,-0.03496503496503497,-0.10090256136487363,0.04025368518610389,-0.020079695151605438,-0.2556255149217427,-0.35988804765837934,7,,,-0.29676406387567356,0.10816324552985673
GRÜNE,male_share,Männeranteil,12,1804830,0.1302782177325532,0.06993006993006994,0.07108744119587031,0.02515866260247043,0.009355364077407665,-0.08114071254966483,0.25110648398487995,7,,,-0.14477451519982912,0.2230182606046183
SPD,male_share,Männeranteil,12,1804830,-0.5863348772659128,-0.6853146853146853,-0.5990105024397431,-0.6932958742685571,-0.046684063428668106,-0.6393015240423411,-0.6786372868086971,7,,,-0.6554539645326604,-0.4711581883641514
BSW,male_share,Männeranteil,12,1804830,0.22249216542655334,0.36363636363636365,0.2702878619486875,0.43856091924107427,0.016898388954981892,0.04983109593622574,0.2183960719279878,7,,,0.01695867681363462,0.4192070327689216
