wahlkreis,label,share,valid
1,Keine Mehrheit,0.06646801748112832,25170
2,Keine Mehrheit,0.1174820691589534,24957
3,Keine Mehrheit,0.07675609967873578,23034
4,Keine Mehrheit,0.07039337474120083,21252
5,Keine Mehrheit,0.1304465787617342,18429
6,Keine Mehrheit,0.07968618660689268,17845
7,Keine Mehrheit,0.08725464538079036,19105
8,Keine Mehrheit,0.05475815523059618,22225
9,Keine Mehrheit,0.0355014252396994,27013
10,Keine Mehrheit,0.04642180440169071,27444
11,Keine Mehrheit,0.1044781643227239,27020
12,Keine Mehrheit,0.058388898900702826,27745
13,Keine Mehrheit,0.2770377234642264,25899
14,Keine Mehrheit,0.21719286333974577,26511
15,Keine Mehrheit,0.1445057701956849,27902
16,Keine Mehrheit,0.232483492296405,21808
17,Keine Mehrheit,0.16660505237215034,24345
18,Keine Mehrheit,0.054008280015054574,26570
19,Keine Mehrheit,0.1205774961178495,23827
20,Keine Mehrheit,0.06074127673259366,24876
21,Keine Mehrheit,0.12699372590520824,26458
22,Keine Mehrheit,0.1420800805842357,19855
23,Keine Mehrheit,0.09837027106288491,23869
24,Keine Mehrheit,0.07561854825495658,24412
25,Keine Mehrheit,0.0843046666384097,23593
26,Keine Mehrheit,0.10730098098793298,23038
27,Keine Mehrheit,0.08127384309172334,24116
28,Keine Mehrheit,0.10134497404436055,25428
29,Keine Mehrheit,0.2247101513408266,22598
30,Keine Mehrheit,0.233266174166107,17868
31,Keine Mehrheit,0.19689166819937465,21748
32,Keine Mehrheit,0.24023175636851177,20884
33,Keine Mehrheit,0.17525514472143217,23908
34,Keine Mehrheit,0.09099492505606042,25419
35,Keine Mehrheit,0.1131065300788331,23721
36,Keine Mehrheit,0.10037350108118734,25435
37,Keine Mehrheit,0.12796267755238055,24007
38,Keine Mehrheit,0.156179470975896,22154
39,Keine Mehrheit,0.09117769612485321,26399
40,Keine Mehrheit,0.09432823813354786,24860
41,Keine Mehrheit,0.06907537198755669,26681
42,Keine Mehrheit,0.06427308372414854,26014
43,Keine Mehrheit,0.07063262571408421,28358
44,Keine Mehrheit,0.10621283575968833,24385
45,Keine Mehrheit,0.16318901060685098,23004
46,Keine Mehrheit,0.19975830274818726,22342
47,Keine Mehrheit,0.19923900317778892,23916
48,Keine Mehrheit,0.05485611510791367,23352
49,Keine Mehrheit,0.05616341657107562,22666
50,Keine Mehrheit,0.1086509715994021,21408
51,Keine Mehrheit,0.21064631245043616,20176
52,Keine Mehrheit,0.19675856450713888,23323
53,Keine Mehrheit,0.22263041880969875,23137
54,Keine Mehrheit,0.145748987854251,21736
55,Keine Mehrheit,0.20492244458580025,20437
56,Keine Mehrheit,0.22653648879690452,22226
57,Keine Mehrheit,0.3178531586993348,24203
58,Keine Mehrheit,0.24455958549222798,23160
59,Keine Mehrheit,0.2991456875397619,22006
60,Keine Mehrheit,0.21273835266365246,25435
61,Keine Mehrheit,0.4382089552238806,18425
62,Keine Mehrheit,0.3473133065369156,18908
63,Keine Mehrheit,0.4178920940718348,19517
64,Keine Mehrheit,0.26792599974004594,23081
65,Keine Mehrheit,0.25345160332541566,26944
66,Keine Mehrheit,0.3544857768052516,17823
67,Keine Mehrheit,0.36036366975847184,21778
68,Keine Mehrheit,0.284514212982605,23570
69,Keine Mehrheit,0.2544097391922513,22507
70,Keine Mehrheit,0.17879890809827115,24178
71,Keine Mehrheit,0.20922317706117588,23506
72,Keine Mehrheit,0.16349840577955363,24777
73,Keine Mehrheit,0.2021960197142679,16029
74,Keine Mehrheit,0.2268425740369628,17964
75,Keine Mehrheit,0.16566604974495552,22153
76,Keine Mehrheit,0.1990299902109104,22474
77,Keine Mehrheit,0.26461333656057123,16526
78,Keine Mehrheit,0.11649553385090575,23958
