party,feature,omitted_block,n,weighted_pearson
AfD,log_population,13003,115,-0.6423911572965436
AfD,log_population,13004,115,-0.7761361747648767
AfD,log_population,13071,96,-0.7984310645016172
AfD,log_population,13072,93,-0.8544403754227592
AfD,log_population,13073,96,-0.8066042190616515
AfD,log_population,13074,104,-0.8073611034846205
AfD,log_population,13075,97,-0.809527826558074
AfD,log_population,13076,96,-0.7995716939096777
SPD,log_population,13003,115,0.32707581700251015
SPD,log_population,13004,115,0.26926588569996057
SPD,log_population,13071,96,0.2679722984748112
SPD,log_population,13072,93,0.3988713236033998
SPD,log_population,13073,96,0.31343941016921584
SPD,log_population,13074,104,0.33904033531006855
SPD,log_population,13075,97,0.2856204294649812
SPD,log_population,13076,96,0.39934381638672006
Die Linke,log_population,13003,115,0.7449821038942833
Die Linke,log_population,13004,115,0.9070564305585905
Die Linke,log_population,13071,96,0.8946586485384008
Die Linke,log_population,13072,93,0.9014088282800611
Die Linke,log_population,13073,96,0.9015046009762584
Die Linke,log_population,13074,104,0.8958437228216374
Die Linke,log_population,13075,97,0.9125727379872484
Die Linke,log_population,13076,96,0.8932287361635518
GRÜNE,log_population,13003,115,0.6486804109132122
GRÜNE,log_population,13004,115,0.8018525331707828
GRÜNE,log_population,13071,96,0.8533978981676832
GRÜNE,log_population,13072,93,0.8453487767097102
GRÜNE,log_population,13073,96,0.823114247927764
GRÜNE,log_population,13074,104,0.8304188185022109
GRÜNE,log_population,13075,97,0.8406440839879639
GRÜNE,log_population,13076,96,0.81066892323241
CDU,log_population,13003,115,0.08867080614167609
CDU,log_population,13004,115,-0.2404124643320523
CDU,log_population,13071,96,-0.1428468183978402
CDU,log_population,13072,93,-0.08802096265977875
CDU,log_population,13073,96,-0.0636893211858045
CDU,log_population,13074,104,-0.09415978248988019
CDU,log_population,13075,97,-0.09814966034697503
CDU,log_population,13076,96,-0.14810061238502706
BSW,log_population,13003,115,-0.07338316243047828
BSW,log_population,13004,115,-0.09119806596993246
BSW,log_population,13071,96,-0.11956558611094313
BSW,log_population,13072,93,-0.07043347312864455
BSW,log_population,13073,96,-0.09936550952340366
BSW,log_population,13074,104,-0.08100612260164342
BSW,log_population,13075,97,-0.16236666127954963
BSW,log_population,13076,96,-0.10041107670486205
Tierschutzpartei,log_population,13003,115,0.002381564092920183
Tierschutzpartei,log_population,13004,115,0.16314081492839314
Tierschutzpartei,log_population,13071,96,-0.02493285292478316
Tierschutzpartei,log_population,13072,93,0.05049721189209379
Tierschutzpartei,log_population,13073,96,0.09191288263577084
Tierschutzpartei,log_population,13074,104,0.06827235639982407
Tierschutzpartei,log_population,13075,97,0.0760676914843578
Tierschutzpartei,log_population,13076,96,0.021112359823022894
FDP,log_population,13003,115,0.021069489491451626
FDP,log_population,13004,115,0.13561834801626738
FDP,log_population,13071,96,0.06369331671256594
FDP,log_population,13072,93,0.16432395131732205
FDP,log_population,13073,96,0.11253520125819023
FDP,log_population,13074,104,0.11380019156113337
FDP,log_population,13075,97,0.14074745507598965
FDP,log_population,13076,96,0.07260394300641779
AfD,age67_share,13003,115,0.011081225728152693
AfD,age67_share,13004,115,0.0656698401273333
AfD,age67_share,13071,96,0.059350134152046
AfD,age67_share,13072,93,0.09010554650057935
AfD,age67_share,13073,96,0.08649253541354979
AfD,age67_share,13074,104,0.05772725954456567
AfD,age67_share,13075,97,-0.08179112809790354
AfD,age67_share,13076,96,0.058914869316913664
SPD,age67_share,13003,115,0.12379066857475407
SPD,age67_share,13004,115,0.1028619993170722
SPD,age67_share,13071,96,0.07094996825295569
SPD,age67_share,13072,93,0.07382975501466375
SPD,age67_share,13073,96,0.08134387940776362
SPD,age67_share,13074,104,0.12400309045417938
SPD,age67_share,13075,97,0.18093920015351797
SPD,age67_share,13076,96,0.18045346439412951
Die Linke,age67_share,13003,115,-0.03771442928082789
Die Linke,age67_share,13004,115,-0.08131099433045758
Die Linke,age67_share,13071,96,-0.07941988541306103
Die Linke,age67_share,13072,93,-0.12016922356242067
Die Linke,age67_share,13073,96,-0.07272220399787986
Die Linke,age67_share,13074,104,-0.10813016369922167
Die Linke,age67_share,13075,97,0.05089704684786034
Die Linke,age67_share,13076,96,-0.12032482109334289
GRÜNE,age67_share,13003,115,-0.17910052678278615
GRÜNE,age67_share,13004,115,-0.19804770764824153
GRÜNE,age67_share,13071,96,-0.15607257188599927
GRÜNE,age67_share,13072,93,-0.20793090467825187
GRÜNE,age67_share,13073,96,-0.19636065686777374
GRÜNE,age67_share,13074,104,-0.17783067866542226
GRÜNE,age67_share,13075,97,-0.055922380822414734
GRÜNE,age67_share,13076,96,-0.2308455617319033
CDU,age67_share,13003,115,0.123111494687222
CDU,age67_share,13004,115,0.12143131683856855
CDU,age67_share,13071,96,0.17871265212865417
CDU,age67_share,13072,93,0.15346939224158773
CDU,age67_share,13073,96,0.08067435230804491
CDU,age67_share,13074,104,0.1305496790277508
CDU,age67_share,13075,97,0.1427640023653824
CDU,age67_share,13076,96,0.1485616988077105
BSW,age67_share,13003,115,0.0029703027183087
BSW,age67_share,13004,115,0.009328009486928919
BSW,age67_share,13071,96,-0.06516842761187655
BSW,age67_share,13072,93,0.07785057031193675
BSW,age67_share,13073,96,0.023870998839414233
BSW,age67_share,13074,104,0.011669830688800713
BSW,age67_share,13075,97,-0.009580628564333312
BSW,age67_share,13076,96,-0.010173795312744757
Tierschutzpartei,age67_share,13003,115,0.07760654489123929
Tierschutzpartei,age67_share,13004,115,0.09335187848560582
Tierschutzpartei,age67_share,13071,96,0.1457757174523916
Tierschutzpartei,age67_share,13072,93,0.06142067368491861
Tierschutzpartei,age67_share,13073,96,-0.030109549432505888
Tierschutzpartei,age67_share,13074,104,0.0827071417646533
Tierschutzpartei,age67_share,13075,97,0.06924639223445901
Tierschutzpartei,age67_share,13076,96,0.05839024608911617
FDP,age67_share,13003,115,-0.17851569257134664
FDP,age67_share,13004,115,-0.18099574880574004
FDP,age67_share,13071,96,-0.14032278726914532
FDP,age67_share,13072,93,-0.19615053058961143
FDP,age67_share,13073,96,-0.2323420502174643
FDP,age67_share,13074,104,-0.16562166213497775
FDP,age67_share,13075,97,-0.14270723544334582
FDP,age67_share,13076,96,-0.2237052433020914
AfD,age19_24_share,13003,115,-0.5631281188290195
AfD,age19_24_share,13004,115,-0.7208578475238107
AfD,age19_24_share,13071,96,-0.7187678576516168
AfD,age19_24_share,13072,93,-0.7985083224008015
AfD,age19_24_share,13073,96,-0.7194040444675502
AfD,age19_24_share,13074,104,-0.7280103249582918
AfD,age19_24_share,13075,97,-0.7613317008938063
AfD,age19_24_share,13076,96,-0.7328316881696846
SPD,age19_24_share,13003,115,0.15360480379513908
SPD,age19_24_share,13004,115,0.18284918860456223
SPD,age19_24_share,13071,96,0.14504742008823973
SPD,age19_24_share,13072,93,0.28165663852130973
SPD,age19_24_share,13073,96,0.17698229407944188
SPD,age19_24_share,13074,104,0.19854895749288545
SPD,age19_24_share,13075,97,0.28771921752433194
SPD,age19_24_share,13076,96,0.2532410637602604
Die Linke,age19_24_share,13003,115,0.8992169893473324
Die Linke,age19_24_share,13004,115,0.9074049604830112
Die Linke,age19_24_share,13071,96,0.9083552002474589
Die Linke,age19_24_share,13072,93,0.9211452488787127
Die Linke,age19_24_share,13073,96,0.9132503029723568
Die Linke,age19_24_share,13074,104,0.9127019129412219
Die Linke,age19_24_share,13075,97,0.9132199710566198
Die Linke,age19_24_share,13076,96,0.9142168521765704
GRÜNE,age19_24_share,13003,115,0.6832600792618596
GRÜNE,age19_24_share,13004,115,0.8074076325377365
GRÜNE,age19_24_share,13071,96,0.8328934351056532
GRÜNE,age19_24_share,13072,93,0.8567984015742207
GRÜNE,age19_24_share,13073,96,0.8026121626964235
GRÜNE,age19_24_share,13074,104,0.8174882792674903
GRÜNE,age19_24_share,13075,97,0.7776163747520213
GRÜNE,age19_24_share,13076,96,0.8175307898846541
CDU,age19_24_share,13003,115,-0.07917940929787586
CDU,age19_24_share,13004,115,-0.2548932400713465
CDU,age19_24_share,13071,96,-0.23519694676919187
CDU,age19_24_share,13072,93,-0.15484571296058272
CDU,age19_24_share,13073,96,-0.20270913444424882
CDU,age19_24_share,13074,104,-0.1870434577923128
CDU,age19_24_share,13075,97,-0.23225233740243326
CDU,age19_24_share,13076,96,-0.20171182725106945
BSW,age19_24_share,13003,115,-0.3309454281748845
BSW,age19_24_share,13004,115,-0.302041194230391
BSW,age19_24_share,13071,96,-0.36952566370722345
BSW,age19_24_share,13072,93,-0.282251432946802
BSW,age19_24_share,13073,96,-0.3080874096087996
BSW,age19_24_share,13074,104,-0.2888093546234938
BSW,age19_24_share,13075,97,-0.2613277138538811
BSW,age19_24_share,13076,96,-0.2957977901222428
Tierschutzpartei,age19_24_share,13003,115,0.28103571567649127
Tierschutzpartei,age19_24_share,13004,115,0.3210013933339669
Tierschutzpartei,age19_24_share,13071,96,0.2114701341975365
Tierschutzpartei,age19_24_share,13072,93,0.26487485926813986
Tierschutzpartei,age19_24_share,13073,96,0.38826880021048554
Tierschutzpartei,age19_24_share,13074,104,0.2888976788837349
Tierschutzpartei,age19_24_share,13075,97,0.18540709316854173
Tierschutzpartei,age19_24_share,13076,96,0.22106643304951934
FDP,age19_24_share,13003,115,0.16270721085903478
