row_key,time,previous_time,delta_valid,delta_reported,fixed_reported_count,party_deltas
mv:GEMEINDE:13003000,2026-09-20T17:20:05.289359+00:00,2026-09-20T17:12:21.930864+00:00,1516,3,False,"{""AfD"": 495, ""BSW"": 77, ""Bündnis C"": 3, ""CDU"": 50, ""Die Linke"": 170, ""Die PARTEI"": 3, ""FDP"": 13, ""FREIE WÄHLER"": 1, ""GRÜNE"": 92, ""Handwerker Partei Deutschland"": 12, ""KPD"": 3, ""PIRATEN"": 6, ""PdF"": 1, ""SPD"": 558, ""Team Freiheit"": 3, ""Tierschutzpartei"": 26, ""Volt"": 3}"
mv:GEMEINDE:13004000,2026-09-20T17:20:05.289359+00:00,2026-09-20T17:12:21.930864+00:00,1969,3,False,"{""AfD"": 687, ""BSW"": 89, ""Bündnis C"": 2, ""CDU"": 110, ""Die Linke"": 144, ""Die PARTEI"": 7, ""FDP"": 16, ""FREIE WÄHLER"": 7, ""GRÜNE"": 198, ""Handwerker Partei Deutschland"": 7, ""KPD"": 3, ""PIRATEN"": 4, ""PdF"": 1, ""SPD"": 670, ""Team Freiheit"": 6, ""Tierschutzpartei"": 10, ""Volt"": 4, ""WLD"": 2, ""ÖDP"": 2}"
mv:GEMEINDE:13071007,2026-09-20T17:20:05.289359+00:00,2026-09-20T17:12:21.930864+00:00,381,1,False,"{""AfD"": 205, ""BSW"": 31, ""CDU"": 24, ""Die Linke"": 17, ""FREIE WÄHLER"": 4, ""GRÜNE"": 10, ""Handwerker Partei Deutschland"": 2, ""PIRATEN"": 1, ""SPD"": 84, ""Team Freiheit"": 2, ""Tierschutzpartei"": 1}"
mv:GEMEINDE:13071011,2026-09-20T17:20:05.289359+00:00,2026-09-20T17:12:21.930864+00:00,593,2,False,"{""AfD"": 309, ""BSW"": 37, ""Bündnis C"": 2, ""CDU"": 19, ""Die Linke"": 32, ""Die PARTEI"": 2, ""FDP"": 2, ""GRÜNE"": 12, ""Handwerker Partei Deutschland"": 2, ""PIRATEN"": 1, ""SPD"": 169, ""Team Freiheit"": 2, ""Tierschutzpartei"": 4}"
mv:GEMEINDE:13071013,2026-09-20T17:20:05.289359+00:00,2026-09-20T17:12:21.930864+00:00,224,1,False,"{""AfD"": 110, ""BSW"": 10, ""Bündnis C"": 1, ""CDU"": 5, ""Die Linke"": 6, ""FREIE WÄHLER"": 4, ""GRÜNE"": 6, ""Handwerker Partei Deutschland"": 3, ""SPD"": 76, ""Volt"": 3}"
mv:GEMEINDE:13071021,2026-09-20T17:20:05.289359+00:00,2026-09-20T17:12:21.930864+00:00,713,2,False,"{""AfD"": 411, ""BSW"": 38, ""Bündnis C"": 1, ""CDU"": 20, ""Die Linke"": 41, ""Die PARTEI"": 5, ""FDP"": 4, ""FREIE WÄHLER"": 2, ""GRÜNE"": 10, ""Handwerker Partei Deutschland"": 4, ""PdF"": 1, ""SPD"": 157, ""Team Freiheit"": 5, ""Tierschutzpartei"": 9, ""Volt"": 5}"
mv:GEMEINDE:13071023,2026-09-20T17:20:05.289359+00:00,2026-09-20T17:12:21.930864+00:00,276,1,False,"{""AfD"": 160, ""BSW"": 10, ""Bündnis C"": 1, ""CDU"": 10, ""Die Linke"": 8, ""FDP"": 2, ""GRÜNE"": 3, ""Handwerker Partei Deutschland"": 1, ""PIRATEN"": 1, ""SPD"": 76, ""Team Freiheit"": 1, ""Tierschutzpartei"": 2, ""WLD"": 1}"
mv:GEMEINDE:13071025,2026-09-20T17:20:05.289359+00:00,2026-09-20T17:12:21.930864+00:00,425,1,False,"{""AfD"": 224, ""BSW"": 21, ""CDU"": 12, ""Die Linke"": 17, ""FDP"": 1, ""GRÜNE"": 14, ""Handwerker Partei Deutschland"": 3, ""PIRATEN"": 1, ""SPD"": 128, ""Team Freiheit"": 1, ""Tierschutzpartei"": 3}"
mv:GEMEINDE:13071029,2026-09-20T17:20:05.289359+00:00,2026-09-20T17:12:21.930864+00:00,580,1,False,"{""AfD"": 343, ""BSW"": 24, ""CDU"": 21, ""Die Linke"": 30, ""Die PARTEI"": 2, ""FDP"": 4, ""FREIE WÄHLER"": 1, ""GRÜNE"": 12, ""Handwerker Partei Deutschland"": 2, ""SPD"": 134, ""Team Freiheit"": 2, ""Tierschutzpartei"": 3, ""Volt"": 1, ""WLD"": 1}"
mv:GEMEINDE:13071035,2026-09-20T17:20:05.289359+00:00,2026-09-20T17:12:21.930864+00:00,446,2,False,"{""AfD"": 241, ""BSW"": 27, ""CDU"": 11, ""Die Linke"": 26, ""Die PARTEI"": 3, ""FDP"": 2, ""FREIE WÄHLER"": 1, ""GRÜNE"": 9, ""KPD"": 1, ""PIRATEN"": 1, ""SPD"": 119, ""Tierschutzpartei"": 3, ""WLD"": 1, ""ÖDP"": 1}"
