row_key,level,name,party,votes,valid,share,mode
mv:WAHLBEZIRK:13003000:4:124,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Die Linke,68,637,10.675039246467819,Urnenwahl
mv:WAHLBEZIRK:13003000:4:124,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",GRÜNE,23,637,3.610675039246468,Urnenwahl
mv:WAHLBEZIRK:13003000:4:124,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",CDU,12,637,1.8838304552590266,Urnenwahl
mv:WAHLBEZIRK:13003000:4:124,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",BSW,30,637,4.7095761381475665,Urnenwahl
mv:WAHLBEZIRK:13003000:4:124,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Tierschutzpartei,17,637,2.6687598116169546,Urnenwahl
mv:WAHLBEZIRK:13003000:4:124,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",FDP,1,637,0.15698587127158556,Urnenwahl
mv:WAHLBEZIRK:13003000:4:125,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",AfD,220,495,44.44444444444444,Urnenwahl
mv:WAHLBEZIRK:13003000:4:125,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",SPD,156,495,31.515151515151516,Urnenwahl
mv:WAHLBEZIRK:13003000:4:125,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Die Linke,43,495,8.686868686868687,Urnenwahl
mv:WAHLBEZIRK:13003000:4:125,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",GRÜNE,22,495,4.444444444444445,Urnenwahl
mv:WAHLBEZIRK:13003000:4:125,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",CDU,10,495,2.0202020202020203,Urnenwahl
mv:WAHLBEZIRK:13003000:4:125,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",BSW,26,495,5.252525252525253,Urnenwahl
mv:WAHLBEZIRK:13003000:4:125,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Tierschutzpartei,5,495,1.0101010101010102,Urnenwahl
mv:WAHLBEZIRK:13003000:4:125,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",FDP,6,495,1.2121212121212122,Urnenwahl
mv:WAHLBEZIRK:13003000:4:2,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",AfD,125,419,29.832935560859188,Urnenwahl
mv:WAHLBEZIRK:13003000:4:2,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",SPD,165,419,39.37947494033413,Urnenwahl
mv:WAHLBEZIRK:13003000:4:2,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Die Linke,25,419,5.966587112171838,Urnenwahl
mv:WAHLBEZIRK:13003000:4:2,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",GRÜNE,33,419,7.875894988066825,Urnenwahl
mv:WAHLBEZIRK:13003000:4:2,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",CDU,27,419,6.443914081145585,Urnenwahl
mv:WAHLBEZIRK:13003000:4:2,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",BSW,35,419,8.353221957040573,Urnenwahl
mv:WAHLBEZIRK:13003000:4:2,WAHLBEZIRK,"Rostock, Hanse-und Universitätsstadt",Tierschutzpartei,1,419,0.2386634844868735,Urnenwahl
