party,omitted_block,feature,log_odds_per_full_sd
SPD,13071,foreign_citizenship_share,0.046971587360833386
SPD,13072,log_population,0.07454642404212482
SPD,13072,age19_24_share,-0.039177147676979995
SPD,13072,age67_share,0.005661046848721303
SPD,13072,owner_occupancy_share,0.008864519598783364
SPD,13072,foreign_citizenship_share,0.049226147784914936
SPD,13073,log_population,0.05557097220432867
SPD,13073,age19_24_share,-0.07623288971347436
SPD,13073,age67_share,-0.014008243827816621
SPD,13073,owner_occupancy_share,-0.04435760384033969
SPD,13073,foreign_citizenship_share,0.03520550484521058
SPD,13074,log_population,0.07978148940219372
SPD,13074,age19_24_share,-0.05120027813151365
SPD,13074,age67_share,0.0145557805748737
SPD,13074,owner_occupancy_share,0.01483107016040731
SPD,13074,foreign_citizenship_share,0.050655057437299124
SPD,13075,log_population,0.05818565608096166
SPD,13075,age19_24_share,-0.014053268676350301
SPD,13075,age67_share,0.02846109834542501
SPD,13075,owner_occupancy_share,0.0623287567482457
SPD,13075,foreign_citizenship_share,0.07472639204486706
SPD,13076,log_population,0.0809961860455797
SPD,13076,age19_24_share,-0.04948246918348757
SPD,13076,age67_share,0.01854765495176466
SPD,13076,owner_occupancy_share,-8.498035564900547e-05
SPD,13076,foreign_citizenship_share,0.037503645733864145
Die Linke,13003,log_population,0.12154583580366378
Die Linke,13003,age19_24_share,0.20312715302500414
Die Linke,13003,age67_share,-0.025067570184697702
Die Linke,13003,owner_occupancy_share,-0.05035921726408266
Die Linke,13003,foreign_citizenship_share,-0.03615910422134481
Die Linke,13004,log_population,0.22700373324344475
Die Linke,13004,age19_24_share,0.18968194923267692
Die Linke,13004,age67_share,-0.02477630571903716
Die Linke,13004,owner_occupancy_share,-0.024301788726414263
Die Linke,13004,foreign_citizenship_share,-0.03854354980325296
Die Linke,13071,log_population,0.2188037964213782
Die Linke,13071,age19_24_share,0.19866556789299122
Die Linke,13071,age67_share,-0.022670903438171377
Die Linke,13071,owner_occupancy_share,-0.0299719120666814
Die Linke,13071,foreign_citizenship_share,-0.05143774286216698
Die Linke,13072,log_population,0.22591845420232773
Die Linke,13072,age19_24_share,0.20996225913717745
Die Linke,13072,age67_share,-0.018935030981224128
Die Linke,13072,owner_occupancy_share,-0.02212273691078153
Die Linke,13072,foreign_citizenship_share,-0.0452044780688355
Die Linke,13073,log_population,0.22593314870656503
Die Linke,13073,age19_24_share,0.19116774924720198
Die Linke,13073,age67_share,-0.03897770481117423
Die Linke,13073,owner_occupancy_share,-0.04209872116768585
Die Linke,13073,foreign_citizenship_share,-0.05927811182333672
Die Linke,13074,log_population,0.22401907577872737
Die Linke,13074,age19_24_share,0.2016348475055326
Die Linke,13074,age67_share,-0.023890649724961844
Die Linke,13074,owner_occupancy_share,-0.01711416826678931
Die Linke,13074,foreign_citizenship_share,-0.04475690563362235
Die Linke,13075,log_population,0.1740337904481161
Die Linke,13075,age19_24_share,0.28199096270935653
Die Linke,13075,age67_share,0.0016628126512256015
Die Linke,13075,owner_occupancy_share,0.004157505660290838
Die Linke,13075,foreign_citizenship_share,-0.06399769763376385
Die Linke,13076,log_population,0.2377129557175709
Die Linke,13076,age19_24_share,0.2092092533231318
Die Linke,13076,age67_share,-0.013912878664062349
Die Linke,13076,owner_occupancy_share,0.023769687948944292
Die Linke,13076,foreign_citizenship_share,-0.03746887164658104
GRÜNE,13003,log_population,0.467838413076654
GRÜNE,13003,age19_24_share,0.2495311817618466
GRÜNE,13003,age67_share,-0.04808052276065082
GRÜNE,13003,owner_occupancy_share,0.23263918649539414
GRÜNE,13003,foreign_citizenship_share,0.0021254582353246753
GRÜNE,13004,log_population,0.370633910580064
GRÜNE,13004,age19_24_share,0.31157387486200105
