level,field,sum,land,delta
GEMEINDE,voters_total,1024251,1024251,0
GEMEINDE,valid_votes_erst,1012664,1012664,0
GEMEINDE,valid_votes_zweit,1015323,1015323,0
GEMEINDE,Erststimmen:AfD,400086,400086,0
GEMEINDE,Erststimmen:BSW,40497,40497,0
GEMEINDE,Erststimmen:CDU,63212,63212,0
GEMEINDE,Erststimmen:Die Linke,78886,78886,0
GEMEINDE,Erststimmen:Die PARTEI,446,446,0
GEMEINDE,Erststimmen:Einzelbewerber,2880,2880,0
GEMEINDE,Erststimmen:FDP,15441,15441,0
GEMEINDE,Erststimmen:FREIE WÄHLER,2199,2199,0
GEMEINDE,Erststimmen:GRÜNE,28427,28427,0
GEMEINDE,Erststimmen:LfK,99,99,0
GEMEINDE,Erststimmen:SPD,378532,378532,0
GEMEINDE,Erststimmen:Team Freiheit,653,653,0
GEMEINDE,Erststimmen:Volt,715,715,0
GEMEINDE,Erststimmen:WLD,591,591,0
GEMEINDE,Zweitstimmen:AfD,388026,388026,0
GEMEINDE,Zweitstimmen:BSW,49036,49036,0
GEMEINDE,Zweitstimmen:Bündnis C,892,892,0
GEMEINDE,Zweitstimmen:CDU,49629,49629,0
GEMEINDE,Zweitstimmen:Die Linke,66388,66388,0
GEMEINDE,Zweitstimmen:Die PARTEI,2760,2760,0
GEMEINDE,Zweitstimmen:FDP,10415,10415,0
GEMEINDE,Zweitstimmen:FREIE WÄHLER,3823,3823,0
GEMEINDE,Zweitstimmen:GRÜNE,57587,57587,0
GEMEINDE,Zweitstimmen:Handwerker Partei Deutschland,4798,4798,0
GEMEINDE,Zweitstimmen:KPD,818,818,0
GEMEINDE,Zweitstimmen:PIRATEN,2003,2003,0
GEMEINDE,Zweitstimmen:PdF,940,940,0
GEMEINDE,Zweitstimmen:SPD,360393,360393,0
GEMEINDE,Zweitstimmen:Team Freiheit,2545,2545,0
GEMEINDE,Zweitstimmen:Tierschutzpartei,11131,11131,0
GEMEINDE,Zweitstimmen:Volt,1909,1909,0
GEMEINDE,Zweitstimmen:WLD,1249,1249,0
GEMEINDE,Zweitstimmen:ÖDP,981,981,0
WAHLKREIS,voters_total,1024251,1024251,0
WAHLKREIS,valid_votes_erst,1012664,1012664,0
WAHLKREIS,valid_votes_zweit,1015323,1015323,0
WAHLKREIS,Erststimmen:AfD,400086,400086,0
WAHLKREIS,Erststimmen:BSW,40497,40497,0
WAHLKREIS,Erststimmen:CDU,63212,63212,0
WAHLKREIS,Erststimmen:Die Linke,78886,78886,0
WAHLKREIS,Erststimmen:Die PARTEI,446,446,0
WAHLKREIS,Erststimmen:Einzelbewerber,2880,2880,0
WAHLKREIS,Erststimmen:FDP,15441,15441,0
WAHLKREIS,Erststimmen:FREIE WÄHLER,2199,2199,0
WAHLKREIS,Erststimmen:GRÜNE,28427,28427,0
WAHLKREIS,Erststimmen:LfK,99,99,0
WAHLKREIS,Erststimmen:SPD,378532,378532,0
WAHLKREIS,Erststimmen:Team Freiheit,653,653,0
WAHLKREIS,Erststimmen:Volt,715,715,0
WAHLKREIS,Erststimmen:WLD,591,591,0
WAHLKREIS,Zweitstimmen:AfD,388026,388026,0
WAHLKREIS,Zweitstimmen:BSW,49036,49036,0
WAHLKREIS,Zweitstimmen:Bündnis C,892,892,0
WAHLKREIS,Zweitstimmen:CDU,49629,49629,0
WAHLKREIS,Zweitstimmen:Die Linke,66388,66388,0
WAHLKREIS,Zweitstimmen:Die PARTEI,2760,2760,0
WAHLKREIS,Zweitstimmen:FDP,10415,10415,0
WAHLKREIS,Zweitstimmen:FREIE WÄHLER,3823,3823,0
WAHLKREIS,Zweitstimmen:GRÜNE,57587,57587,0
WAHLKREIS,Zweitstimmen:Handwerker Partei Deutschland,4798,4798,0
WAHLKREIS,Zweitstimmen:KPD,818,818,0
WAHLKREIS,Zweitstimmen:PIRATEN,2003,2003,0
WAHLKREIS,Zweitstimmen:PdF,940,940,0
WAHLKREIS,Zweitstimmen:SPD,360393,360393,0
WAHLKREIS,Zweitstimmen:Team Freiheit,2545,2545,0
WAHLKREIS,Zweitstimmen:Tierschutzpartei,11131,11131,0
WAHLKREIS,Zweitstimmen:Volt,1909,1909,0
WAHLKREIS,Zweitstimmen:WLD,1249,1249,0
WAHLKREIS,Zweitstimmen:ÖDP,981,981,0
WAHLBEZIRK,voters_total,1024251,1024251,0
WAHLBEZIRK,valid_votes_erst,1012664,1012664,0
WAHLBEZIRK,valid_votes_zweit,1015323,1015323,0
WAHLBEZIRK,Erststimmen:AfD,400086,400086,0
WAHLBEZIRK,Erststimmen:BSW,40497,40497,0
WAHLBEZIRK,Erststimmen:CDU,63212,63212,0
WAHLBEZIRK,Erststimmen:Die Linke,78886,78886,0
WAHLBEZIRK,Erststimmen:Die PARTEI,446,446,0
WAHLBEZIRK,Erststimmen:Einzelbewerber,2880,2880,0
WAHLBEZIRK,Erststimmen:FDP,15441,15441,0
WAHLBEZIRK,Erststimmen:FREIE WÄHLER,2199,2199,0
WAHLBEZIRK,Erststimmen:GRÜNE,28427,28427,0
WAHLBEZIRK,Erststimmen:LfK,99,99,0
WAHLBEZIRK,Erststimmen:SPD,378532,378532,0
WAHLBEZIRK,Erststimmen:Team Freiheit,653,653,0
WAHLBEZIRK,Erststimmen:Volt,715,715,0
WAHLBEZIRK,Erststimmen:WLD,591,591,0
WAHLBEZIRK,Zweitstimmen:AfD,388026,388026,0
WAHLBEZIRK,Zweitstimmen:BSW,49036,49036,0
WAHLBEZIRK,Zweitstimmen:Bündnis C,892,892,0
WAHLBEZIRK,Zweitstimmen:CDU,49629,49629,0
WAHLBEZIRK,Zweitstimmen:Die Linke,66388,66388,0
WAHLBEZIRK,Zweitstimmen:Die PARTEI,2760,2760,0
WAHLBEZIRK,Zweitstimmen:FDP,10415,10415,0
WAHLBEZIRK,Zweitstimmen:FREIE WÄHLER,3823,3823,0
WAHLBEZIRK,Zweitstimmen:GRÜNE,57587,57587,0
WAHLBEZIRK,Zweitstimmen:Handwerker Partei Deutschland,4798,4798,0
WAHLBEZIRK,Zweitstimmen:KPD,818,818,0
WAHLBEZIRK,Zweitstimmen:PIRATEN,2003,2003,0
WAHLBEZIRK,Zweitstimmen:PdF,940,940,0
WAHLBEZIRK,Zweitstimmen:SPD,360393,360393,0
WAHLBEZIRK,Zweitstimmen:Team Freiheit,2545,2545,0
WAHLBEZIRK,Zweitstimmen:Tierschutzpartei,11131,11131,0
WAHLBEZIRK,Zweitstimmen:Volt,1909,1909,0
WAHLBEZIRK,Zweitstimmen:WLD,1249,1249,0
WAHLBEZIRK,Zweitstimmen:ÖDP,981,981,0
