row_key,name,level,kind,time,valid_second_votes,afd_share
mv:GEMEINDE:13003000,"Rostock, Hanse-und Universitätsstadt",GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,1690,38.994082840236686
mv:GEMEINDE:13004000,"Schwerin, Landeshauptstadt",GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,1277,35.00391542678152
mv:GEMEINDE:13071001,Alt Schwerin,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,268,57.83582089552239
mv:GEMEINDE:13071001,Alt Schwerin,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,268,57.83582089552239
mv:GEMEINDE:13071002,Altenhagen,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,179,62.01117318435754
mv:GEMEINDE:13071002,Altenhagen,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,179,62.01117318435754
mv:GEMEINDE:13071003,Altenhof,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,211,53.55450236966825
mv:GEMEINDE:13071003,Altenhof,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,211,53.55450236966825
mv:GEMEINDE:13071005,"Ankershagen, Schliemanngemeinde",GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,188,54.255319148936174
mv:GEMEINDE:13071006,Bartow,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,290,54.48275862068966
mv:GEMEINDE:13071006,Bartow,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,290,54.48275862068966
mv:GEMEINDE:13071008,Beggerow,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,267,58.80149812734082
mv:GEMEINDE:13071008,Beggerow,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,267,58.80149812734082
mv:GEMEINDE:13071009,Beseritz,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,82,48.78048780487805
mv:GEMEINDE:13071009,Beseritz,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,82,48.78048780487805
mv:GEMEINDE:13071010,Blankenhof,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,407,51.105651105651106
mv:GEMEINDE:13071010,Blankenhof,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,407,51.105651105651106
mv:GEMEINDE:13071012,Blumenholz,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,384,45.052083333333336
mv:GEMEINDE:13071012,Blumenholz,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,384,45.052083333333336
mv:GEMEINDE:13071013,Bollewick,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,129,48.83720930232558
mv:GEMEINDE:13071015,Bredenfelde,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,111,49.549549549549546
mv:GEMEINDE:13071015,Bredenfelde,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,111,49.549549549549546
mv:GEMEINDE:13071018,Briggow,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,162,51.851851851851855
mv:GEMEINDE:13071018,Briggow,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,162,51.851851851851855
mv:GEMEINDE:13071020,Buchholz,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,73,42.465753424657535
mv:GEMEINDE:13071020,Buchholz,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,73,42.465753424657535
mv:GEMEINDE:13071021,"Burg Stargard, Stadt",GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,169,57.98816568047337
mv:GEMEINDE:13071027,"Dargun, Stadt",GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,982,52.44399185336049
mv:GEMEINDE:13071028,Datzetal,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,142,58.45070422535211
mv:GEMEINDE:13071032,Faulenrost,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,332,48.493975903614455
mv:GEMEINDE:13071032,Faulenrost,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,332,48.493975903614455
mv:GEMEINDE:13071033,Feldberger Seenlandschaft,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,979,49.02962206332993
mv:GEMEINDE:13071034,Fincken,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,304,51.973684210526315
mv:GEMEINDE:13071034,Fincken,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,304,51.973684210526315
mv:GEMEINDE:13071035,"Friedland, Stadt",GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,120,50.0
mv:GEMEINDE:13071036,Fünfseen,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,175,40.57142857142857
mv:GEMEINDE:13071037,Galenbeck,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,550,62.18181818181818
mv:GEMEINDE:13071037,Galenbeck,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,550,62.18181818181818
mv:GEMEINDE:13071042,Godendorf,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,153,57.51633986928105
mv:GEMEINDE:13071042,Godendorf,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,153,57.51633986928105
mv:GEMEINDE:13071044,Golchen,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,151,60.264900662251655
mv:GEMEINDE:13071044,Golchen,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,151,60.264900662251655
mv:GEMEINDE:13071045,Gotthun,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,184,50.54347826086956
mv:GEMEINDE:13071045,Gotthun,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,184,50.54347826086956
mv:GEMEINDE:13071048,Grammentin,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,133,45.86466165413534
mv:GEMEINDE:13071048,Grammentin,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,133,45.86466165413534
mv:GEMEINDE:13071049,Grapzow,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,183,59.01639344262295
mv:GEMEINDE:13071049,Grapzow,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,183,59.01639344262295
mv:GEMEINDE:13071050,Grischow,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,147,69.38775510204081
mv:GEMEINDE:13071050,Grischow,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,147,69.38775510204081
mv:GEMEINDE:13071053,Groß Kelle,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,69,43.47826086956522
mv:GEMEINDE:13071053,Groß Kelle,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,69,43.47826086956522
mv:GEMEINDE:13071054,Groß Miltzow,GEMEINDE,first_positive,2026-09-20T17:12:21.930864+00:00,502,63.34661354581673
mv:GEMEINDE:13071054,Groß Miltzow,GEMEINDE,first_complete,2026-09-20T17:12:21.930864+00:00,502,63.34661354581673
