row_key,ags,municipality_name,gebietsart,gebietsnummer,wahlkreisnummer,wahlbezirk_name,wahllokal,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
mv:WAHLBEZIRK:13073757:34:901,13073757,Briefwahl Mönchgut-Granitz,WAHLBEZIRK,901,34,,,0,1,0,0,0,,,,,,,6b702ff187cfcf3f628733734b736cbdb2a705f962257911a61457227a59aea5,False
mv:WAHLBEZIRK:13073758:25:901,13073758,Briefwahl Niepars,WAHLBEZIRK,901,25,,,0,1,0,0,0,,,,,,,e7124c8393e7ceca52865d46f5338df108a861c88f0387b1f93fd81fc3dbf19f,False
mv:WAHLBEZIRK:13073759:33:901,13073759,Briefwahl Nord-Rügen,WAHLBEZIRK,901,33,,,0,1,0,0,0,,,,,,,9232dab71988ef6eb45e3c2ba6718d2eba234b4efdd49b2b6859d51248350b32,False
mv:WAHLBEZIRK:13073760:23:901,13073760,Briefwahl Recknitz-Trebeltal,WAHLBEZIRK,901,23,,,0,1,0,0,0,,,,,,,5af3112d0afec089ad19bd9be9fd5cdae91daf965e6e40fa30911174c0e4ad96,False
mv:WAHLBEZIRK:13073761:23:915,13073761,Briefwahl Ribnitz-Damgarten,WAHLBEZIRK,915,23,,,1,1,316,310,311,,,,,,,6c1285534543ce6be0c72a87cae4df0309882a01447b9fbfb50b20b8de25c08f,False
mv:WAHLBEZIRK:13073762:33:901,13073762,Briefwahl West-Rügen,WAHLBEZIRK,901,33,,,0,1,0,0,0,,,,,,,8b9839d1c99d5977a12c5122e5e1e012b4574f26c9621c1cbbe6de0f3530c68a,False
mv:WAHLBEZIRK:13073762:33:902,13073762,Briefwahl West-Rügen,WAHLBEZIRK,902,33,,,0,1,0,0,0,,,,,,,ad1a04580808b805a8c0762f798387d696f916dfdec605db0ff8885156b0b2b2,False
mv:WAHLBEZIRK:13074001:28:1,13074001,Alt Meteln,WAHLBEZIRK,1,28,,,1,1,638,638,636,,,,,,,5ccc0ac050010292468719a0db3e2054e90ef5a0a50b9d16e7cbf0a04bdb24b3,False
mv:WAHLBEZIRK:13074002:28:1,13074002,Bad Kleinen,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,29d7358c07c40185489ad2354525464d4837c481ef5f1a3c3a8f212558abb0aa,False
mv:WAHLBEZIRK:13074002:28:2,13074002,Bad Kleinen,WAHLBEZIRK,2,28,,,0,1,0,0,0,,,,,,,5dd297a80e7e5dcec5da5bea151dadc46a2a192dd8808f37087a02e4c6e1eb85,False
mv:WAHLBEZIRK:13074002:28:3,13074002,Bad Kleinen,WAHLBEZIRK,3,28,,,0,1,0,0,0,,,,,,,285ad0bbdb497d4b6caeadc73887407652372b649f27d424937b819005bc79c4,False
mv:WAHLBEZIRK:13074003:28:1,13074003,Barnekow,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,f3452f60346ff0ddb11ba42ebc74e9095d7a2811c9950a37610c6faa4f8f1064,False
mv:WAHLBEZIRK:13074004:28:1,13074004,Benz,WAHLBEZIRK,1,28,,,1,1,301,296,299,,,,,,,5dbe732763a8b1a0ff84401133dbde7aca3b5719558b95d335a4fb26052cfda9,False
mv:WAHLBEZIRK:13074005:27:1,13074005,Bernstorf,WAHLBEZIRK,1,27,,,1,1,183,177,178,,,,,,,3201d210f62cd064451072d965e456640d639cbf1c9b1e628fd3612d9df9044e,False
mv:WAHLBEZIRK:13074006:28:1,13074006,Bibow,WAHLBEZIRK,1,28,,,1,1,126,125,125,,,,,,,46d7577d84cbafa996e47850abc8024a4eb88b168cfd504458e069879996ce6e,False
mv:WAHLBEZIRK:13074007:28:1,13074007,Blowatz,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,381d532eed5c09b86ba1e820d767721786993fdae333e97ae8a0aed9167508f1,False
mv:WAHLBEZIRK:13074008:28:1,13074008,Bobitz,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,843fb9661a8e8f794249b16283f48086160eaa87d6deef0799c8e57db3ca3b28,False
mv:WAHLBEZIRK:13074008:28:2,13074008,Bobitz,WAHLBEZIRK,2,28,,,1,1,397,393,393,,,,,,,e6c1ccf3c5c9b41090366c45399c9ad19ecc50f56755e90c1076b2d20c15b7ac,False
mv:WAHLBEZIRK:13074008:28:3,13074008,Bobitz,WAHLBEZIRK,3,28,,,1,1,341,336,337,,,,,,,29c7508e54d038c538e0d0052efd95ab8d78b10016d093e4619aad0c608b7c98,False
mv:WAHLBEZIRK:13074009:28:1,13074009,Boiensdorf,WAHLBEZIRK,1,28,,,1,1,251,251,251,,,,,,,9340022c5c105aad01f69301dbee57b7f9e2e0a3ed5272c38dda4fbdc6b1fcb6,False
mv:WAHLBEZIRK:13074010:27:1,13074010,"Boltenhagen, Ostseebad",WAHLBEZIRK,1,27,,,0,1,0,0,0,,,,,,,4f808dca12de7978358ee3adf05892839b2396da5a276ef52b8d000c5d2d3be6,False
mv:WAHLBEZIRK:13074010:27:2,13074010,"Boltenhagen, Ostseebad",WAHLBEZIRK,2,27,,,1,1,346,341,341,,,,,,,e85eea346f926221e6dc97879a3fd657a1d8accdfc55eda0c2232485e5d948cb,False
mv:WAHLBEZIRK:13074012:28:1,13074012,Brüsewitz,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,7df71a07ee7a29b46a93906a490c033fe8888fb4d1e2979fcd3e5856e05e668c,False
mv:WAHLBEZIRK:13074012:28:2,13074012,Brüsewitz,WAHLBEZIRK,2,28,,,1,1,488,484,485,,,,,,,8604b2f0cbbafb243bc038b3ebffd6e8c28488eabce64173ec6998d8fb86b9b0,False
mv:WAHLBEZIRK:13074013:27:1,13074013,Carlow,WAHLBEZIRK,1,27,,,0,1,0,0,0,,,,,,,d27db05e7ab323b76a7faf7fb90f3ddba6b8c11aa1f5cdf26294e4853b0ee583,False
mv:WAHLBEZIRK:13074014:28:1,13074014,Cramonshagen,WAHLBEZIRK,1,28,,,1,1,265,264,265,,,,,,,822ff54e748fb8c4b45cd6b768b749f5d3048d6b24db770f847f2405ea1f5105,False
mv:WAHLBEZIRK:13074015:28:1,13074015,Dalberg-Wendelstorf,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,16119d9a97d8aad28f068492460f4aa167b2d574c625e2a4b4581985d5dd2179,False
mv:WAHLBEZIRK:13074016:27:1,13074016,Damshagen,WAHLBEZIRK,1,27,,,0,1,0,0,0,,,,,,,d55a07d352fe5ebf88f8d54667411902e611f298298ca2da8f6ddab884d0c3cc,False
mv:WAHLBEZIRK:13074017:27:1,13074017,"Dassow, Stadt",WAHLBEZIRK,1,27,,,0,1,0,0,0,,,,,,,2e8bc87a26793bc64b95c8ce3b56cfee9fbc8c22969aba88cd235eab62a7e269,False
mv:WAHLBEZIRK:13074017:27:2,13074017,"Dassow, Stadt",WAHLBEZIRK,2,27,,,1,1,501,497,498,,,,,,,30242904382687b0283f7ba6a04d32522562a5f3f3dc66e8beb32d962e6bf1b5,False
mv:WAHLBEZIRK:13074017:27:3,13074017,"Dassow, Stadt",WAHLBEZIRK,3,27,,,0,1,0,0,0,,,,,,,36e719629d067109fcd9ce9968df94f29c9a6b0074ef2e6e94d772d620f5e972,False
mv:WAHLBEZIRK:13074017:27:4,13074017,"Dassow, Stadt",WAHLBEZIRK,4,27,,,1,1,164,163,163,,,,,,,85aada45a1715884959d672376d2234a621b7ed9c52981b19cc1ecd72e0ea2a5,False
mv:WAHLBEZIRK:13074017:27:5,13074017,"Dassow, Stadt",WAHLBEZIRK,5,27,,,1,1,316,314,315,,,,,,,085229c3481e0d0a220324e53bde4b7aa54b9583480bf1766dad27635f84f3f8,False
mv:WAHLBEZIRK:13074018:27:1,13074018,Dechow,WAHLBEZIRK,1,27,,,1,1,100,99,98,,,,,,,1c6cd098462c7ec39984a1e195f47064d3e24f747f1bf511ab88311c71978261,False
mv:WAHLBEZIRK:13074019:28:1,13074019,Dorf Mecklenburg,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,c2b22de90004f270bb99d8ad6958a6c48e3b89f40fd56dab80534f685868a4b1,False
mv:WAHLBEZIRK:13074019:28:2,13074019,Dorf Mecklenburg,WAHLBEZIRK,2,28,,,1,1,387,383,383,,,,,,,f502b08b30b6b74cde24dc6575498bd49494467e3439ec690f2e7559fb65f1ce,False
mv:WAHLBEZIRK:13074019:28:3,13074019,Dorf Mecklenburg,WAHLBEZIRK,3,28,,,0,1,0,0,0,,,,,,,38d0dec5cfa8517b71124237aa7c85243b2813404823dc1984e9e224204070d7,False
mv:WAHLBEZIRK:13074020:28:1,13074020,Dragun,WAHLBEZIRK,1,28,,,0,1,0,0,0,,,,,,,45a24ce064a06e12b20291e0b17a9b2214616a13b573d620b7f4fe8f847e91fc,False
mv:WAHLBEZIRK:13074021:28:1,13074021,"Gadebusch, Stadt",WAHLBEZIRK,1,28,,,1,1,533,528,529,,,,,,,054c0d0cd2793cd0320178e507e773bb2dfdb330deb54a320186dea98ed7d436,False
mv:WAHLBEZIRK:13074021:28:2,13074021,"Gadebusch, Stadt",WAHLBEZIRK,2,28,,,0,1,0,0,0,,,,,,,667c868397aa21a8033384e66aa40d23eb5faff6abb4160147acbc026e2cb289,False
mv:WAHLBEZIRK:13074021:28:3,13074021,"Gadebusch, Stadt",WAHLBEZIRK,3,28,,,0,1,0,0,0,,,,,,,c377875f0a53b9976c97a3cd14dfe517059b95bdebd7a1f572ed34730a7ce4af,False
mv:WAHLBEZIRK:13074022:27:1,13074022,Gägelow,WAHLBEZIRK,1,27,,,0,1,0,0,0,,,,,,,cd90531005712c03f6ae839e1c3844587067a68e254a06da8e1460f24e00a1a2,False
mv:WAHLBEZIRK:13074022:27:2,13074022,Gägelow,WAHLBEZIRK,2,27,,,0,1,0,0,0,,,,,,,3549f50cfb8dda0a9d9e6eea348bf32fa97ab0172d3f03383d09f105ccf93444,False
mv:WAHLBEZIRK:13074022:27:3,13074022,Gägelow,WAHLBEZIRK,3,27,,,1,1,280,279,279,,,,,,,5bdf1efaa89ea52e7c66f1013d6dde671ccd34b5b3ff096e1e79e4a82e914591,False
