Wahl zum Landtag von Mecklenburg-Vorpommern am 20. September 2026
Zwischenergebnis der Wahlbezirke am 20.09.2026 um 19:05:55 Uhr - Stimmenanzahl der Parteien
Die Partei "Handwerker Partei Deutschland" führt keine Kurzbezeichnung.
(c) Der Landeswahlleiter Mecklenburg-Vorpommern

Berechnungsdatum;Ausgabe;Kreis;Kreisname;Wahlkreis;Wahlkreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirk;Wahlbezirksname;Wahlberechtigte;Wähler;Wahlbeteiligung;Erst-/Zweitstimme;Ungültige Stimmen;Gültige Stimmen;SPD;AfD;CDU;Die Linke;GRÜNE;FDP;Tierschutzpartei;FREIE WÄHLER;Die PARTEI;PIRATEN;ÖDP;Bündnis C;BSW;Handwerker Partei Deutschland;KPD;PdF;Team Freiheit;Volt;WLD;LfK;Einzelbewerber
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;1;1/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;1;1/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;1;1/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;1;1/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;2;2/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;2;2/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;2;2/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;2;2/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;3;3/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;3;3/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;3;3/Rostock;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;3;3/Rostock;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 19:05:55;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;4;4/Rostock;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 19:05:55;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;4;4/Rostock;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x
