row_key,vote_type,party_key,party_name,votes,votes_2021,share_percent_2021,delta_votes_vs_2021,delta_share_percent_vs_2021
mv:WAHLBEZIRK:13003000:4:1,Erststimmen,AfD,AfD,226,,,,
mv:WAHLBEZIRK:13003000:4:1,Erststimmen,BSW,BSW,25,,,,
mv:WAHLBEZIRK:13003000:4:1,Erststimmen,CDU,CDU,52,,,,
mv:WAHLBEZIRK:13003000:4:1,Erststimmen,Die Linke,Die Linke,31,,,,
mv:WAHLBEZIRK:13003000:4:1,Erststimmen,FDP,FDP,6,,,,
mv:WAHLBEZIRK:13003000:4:1,Erststimmen,GRÜNE,GRÜNE,42,,,,
mv:WAHLBEZIRK:13003000:4:1,Erststimmen,SPD,SPD,217,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,AfD,AfD,219,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,BSW,BSW,27,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,Bündnis C,Bündnis C,0,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,CDU,CDU,44,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,Die Linke,Die Linke,28,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,Die PARTEI,Die PARTEI,0,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,FDP,FDP,7,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,FREIE WÄHLER,FREIE WÄHLER,0,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,GRÜNE,GRÜNE,45,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,Handwerker Partei Deutschland,Handwerker Partei Deutschland,1,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,KPD,KPD,0,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,PIRATEN,PIRATEN,2,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,PdF,PdF,0,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,SPD,SPD,222,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,Team Freiheit,Team Freiheit,1,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,Tierschutzpartei,Tierschutzpartei,2,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,Volt,Volt,0,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,WLD,WLD,0,,,,
mv:WAHLBEZIRK:13003000:4:1,Zweitstimmen,ÖDP,ÖDP,1,,,,
mv:WAHLBEZIRK:13003000:4:121,Erststimmen,AfD,AfD,284,,,,
mv:WAHLBEZIRK:13003000:4:121,Erststimmen,BSW,BSW,19,,,,
mv:WAHLBEZIRK:13003000:4:121,Erststimmen,CDU,CDU,15,,,,
mv:WAHLBEZIRK:13003000:4:121,Erststimmen,Die Linke,Die Linke,67,,,,
mv:WAHLBEZIRK:13003000:4:121,Erststimmen,FDP,FDP,5,,,,
mv:WAHLBEZIRK:13003000:4:121,Erststimmen,GRÜNE,GRÜNE,13,,,,
mv:WAHLBEZIRK:13003000:4:121,Erststimmen,SPD,SPD,228,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,AfD,AfD,267,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,BSW,BSW,23,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,Bündnis C,Bündnis C,1,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,CDU,CDU,13,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,Die Linke,Die Linke,61,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,Die PARTEI,Die PARTEI,1,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,FDP,FDP,6,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,FREIE WÄHLER,FREIE WÄHLER,1,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,GRÜNE,GRÜNE,29,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,Handwerker Partei Deutschland,Handwerker Partei Deutschland,2,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,KPD,KPD,1,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,PIRATEN,PIRATEN,1,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,PdF,PdF,1,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,SPD,SPD,210,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,Team Freiheit,Team Freiheit,2,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,Tierschutzpartei,Tierschutzpartei,12,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,Volt,Volt,0,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,WLD,WLD,1,,,,
mv:WAHLBEZIRK:13003000:4:121,Zweitstimmen,ÖDP,ÖDP,0,,,,
mv:WAHLBEZIRK:13003000:4:122,Erststimmen,AfD,AfD,319,,,,
mv:WAHLBEZIRK:13003000:4:122,Erststimmen,BSW,BSW,30,,,,
mv:WAHLBEZIRK:13003000:4:122,Erststimmen,CDU,CDU,11,,,,
mv:WAHLBEZIRK:13003000:4:122,Erststimmen,Die Linke,Die Linke,85,,,,
mv:WAHLBEZIRK:13003000:4:122,Erststimmen,FDP,FDP,10,,,,
mv:WAHLBEZIRK:13003000:4:122,Erststimmen,GRÜNE,GRÜNE,24,,,,
mv:WAHLBEZIRK:13003000:4:122,Erststimmen,SPD,SPD,222,,,,
mv:WAHLBEZIRK:13003000:4:122,Zweitstimmen,AfD,AfD,302,,,,
mv:WAHLBEZIRK:13003000:4:122,Zweitstimmen,BSW,BSW,40,,,,
mv:WAHLBEZIRK:13003000:4:122,Zweitstimmen,Bündnis C,Bündnis C,1,,,,
mv:WAHLBEZIRK:13003000:4:122,Zweitstimmen,CDU,CDU,10,,,,
mv:WAHLBEZIRK:13003000:4:122,Zweitstimmen,Die Linke,Die Linke,89,,,,
