row_key,ags,municipality_name,gebietsart,gebietsnummer,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
000021:221:-:-:WAHLKREIS,,"Bitburg-Prüm, Wahlkreis",WAHLKREIS,221,213,213,49564,48936,49058,48914,,48268,650,,790,8493bcf239f975bcda0f79cc9ca10f1232b685a1ad5c1c97c368e8ab8a35d32b,False
000022:222:-:-:WAHLKREIS,,"Wittlich, Wahlkreis",WAHLKREIS,222,80,81,33312,32770,33004,32357,,31993,955,,1011,f91fdfdfd1424f11c5acd343e781d1130ef9ae8a4d09e0216436f98c5a8c40f3,False
000023:223:-:-:WAHLKREIS,,Bernkastel-Kues / Morbach / Kirchberg (Hunsrück),WAHLKREIS,223,122,123,35342,34866,34917,33374,,32869,1968,,2048,984deedd6f808c44698f404ab6f5449eaf1f326692eb44296264ae33ae13b2b9,False
000024:224:-:-:WAHLKREIS,,"Trier / Schweich, Wahlkreis",WAHLKREIS,224,96,98,44898,44365,44519,45198,,44646,-300,,-127,63bfdeeb1e3fffc780667e8a18670d083a8f3cdadf1699d5b76cdd7864d3cc17,False
000025:225:-:-:WAHLKREIS,,"Trier, Wahlkreis",WAHLKREIS,225,97,97,40994,40595,40643,40859,,40510,135,,133,007ae113c8b8484821a52a398dd317573323f41051ffd9366b9ac315f00f1c34,False
000026:226:-:-:WAHLKREIS,,"Konz / Saarburg, Wahlkreis",WAHLKREIS,226,95,97,39282,38802,38843,40022,,39422,-740,,-579,42ac409adfec7e5a59fa5da4afba0e74828600a58fc2e56f6e0b3486705a8587,False
000027:327:-:-:WAHLKREIS,,"Mainz I, Wahlkreis",WAHLKREIS,327,78,79,41994,41771,41793,40770,,40566,1224,,1227,2f2a48aff8f3ce82e65d34d5f341b6d277224f4bc5d182663ae092d48f562995,False
000028:328:-:-:WAHLKREIS,,"Mainz II, Wahlkreis",WAHLKREIS,328,78,79,41697,41422,41517,40053,,39770,1644,,1747,b7757e97c0354e6ded54a0afc7757cfe0725efa7b9340ca2fc259f2108c0a3a5,False
000029:329:-:-:WAHLKREIS,,"Mainz III, Wahlkreis",WAHLKREIS,329,60,63,31838,31497,31588,32382,,32109,-544,,-521,9be4265fc13d7d6459b8e8836358f739fce9d2c9c3ffbc4e752f185098a0a64b,False
000030:330:-:-:WAHLKREIS,,"Bingen am Rhein, Wahlkreis",WAHLKREIS,330,70,76,34190,33744,33884,37501,,37148,-3311,,-3264,2e9ea1cfb4a7c256f079eae28d7184cb444d77ab4d9996f42acdf2d1bc031a0d,False
000031:331:-:-:WAHLKREIS,,"Ingelheim am Rhein, Wahlkreis",WAHLKREIS,331,102,106,39600,39138,39187,40150,,39758,-550,,-571,327a765a9a166fdba204613d31c8ec2543ec672a63cf1a2548ee873969772906,False
000032:332:-:-:WAHLKREIS,,"Rhein-Selz / Wonnegau, Wahlkreis",WAHLKREIS,332,68,70,46049,45486,45578,45819,,45262,230,,316,0fface967cff0b2a04c1bbf68a22d888ee0d1e2d2074d55ecd2aca5ddce6b5fe,False
000033:333:-:-:WAHLKREIS,,"Worms, Wahlkreis",WAHLKREIS,333,80,82,33370,32843,33001,32383,,31929,987,,1072,72efd777127bc559f1eef7c6d575cdb291bc60ce2591e4732a050413ea0533ff,False
000034:334:-:-:WAHLKREIS,,"Alzey, Wahlkreis",WAHLKREIS,334,88,88,46192,45750,45783,43091,,42575,3101,,3208,f11b01f920a81efd944ee2ace97397dbe6ee498c7183f636e5a66f05e761b66e,False
000035:335:-:-:WAHLKREIS,,"Frankenthal (Pfalz), Wahlkreis",WAHLKREIS,335,74,75,33170,32759,32878,33600,,33219,-430,,-341,e80303e3ee7e8af8c606a429aa344065a1392f431f177ef91ba5be76a9b1cb60,False
000036:336:-:-:WAHLKREIS,,"Ludwigshafen am Rhein I, Wahlkreis",WAHLKREIS,336,66,66,22160,21946,21937,23082,,22808,-922,,-871,3b3c85a5544f1024ef26b15f22359ff942a4d1e3dfac1ce79774af4d7ca0923f,False
000037:337:-:-:WAHLKREIS,,"Ludwigshafen am Rhein II, Wahlkreis",WAHLKREIS,337,79,79,28942,28595,28664,29703,,29318,-761,,-654,e9106c1f0de64d1133cef337dc1ce01b8a5f869bfc917e7b6cf4437c381f5674,False
000038:338:-:-:WAHLKREIS,,"Mutterstadt, Wahlkreis",WAHLKREIS,338,67,67,46212,45728,45826,45570,,45093,642,,733,9f8fa92415dec4bbeafc694342563acf31c02ce3876eafa55bafe1f74c89babb,False
000039:339:-:-:WAHLKREIS,,"Speyer, Wahlkreis",WAHLKREIS,339,61,61,45020,44573,44720,43323,,42884,1697,,1836,3e409aabe096c07d0caaf391d96d099a3668490430bf1c7884f9fa7963f73e33,False
000040:440:-:-:WAHLKREIS,,"Donnersberg, Wahlkreis",WAHLKREIS,440,112,113,39812,39358,39438,37447,,36959,2365,,2479,712c851a4f0e7f5c4ea31354fce830781727699f6d022f6def897de2eb5080cf,False
000041:441:-:-:WAHLKREIS,,"Kusel, Wahlkreis",WAHLKREIS,441,109,112,35360,34901,34893,35849,,35317,-489,,-424,371164bd3c006ce04373c4834f032a70e91ba1c19c1a769f81d56ed651d19497,False
000042:442:-:-:WAHLKREIS,,"Bad Dürkheim, Wahlkreis",WAHLKREIS,442,70,71,49756,49082,49324,47221,,46758,2535,,2566,855d73ca7b9c86c482b4de49b1164f0478d08ff7135f6496338a5b4415fc708e,False
000043:443:-:-:WAHLKREIS,,"Neustadt an der Weinstraße, Wahlkreis",WAHLKREIS,443,77,80,42676,42283,42340,44132,,43712,-1456,,-1372,128efaebc8d3412e2e9780b5e85d18f17aa1715b4ad677d645203ebddbcc82d8,False
000044:444:-:-:WAHLKREIS,,"Kaiserslautern I, Wahlkreis",WAHLKREIS,444,54,54,26306,26006,26090,24210,,23909,2096,,2181,4c35be415ddc74d7c51f93edf09ac0960c48713795a5ade213ec44cf2e342156,False
000045:445:-:-:WAHLKREIS,,"Kaiserslautern II, Wahlkreis",WAHLKREIS,445,83,83,42805,42329,42450,40107,,39677,2698,,2773,9d6aa838c1482adb0b2668200b78d058c9510689a222f505498732924d353eb5,False
000046:446:-:-:WAHLKREIS,,"Kaiserslautern-Land, Wahlkreis",WAHLKREIS,446,69,69,33318,32929,33018,32953,,32495,365,,523,497213840c82cf26e2bbf863af9dbda841a8b669bfd39a63e4343937fc992d5a,False
000047:447:-:-:WAHLKREIS,,"Zweibrücken, Wahlkreis",WAHLKREIS,447,92,93,41799,41152,41266,39587,,38995,2212,,2271,d48ca1017d3c3da12d1d79f4aa3bf172d282829e1d8fcf16162966472b75030a,False
000048:448:-:-:WAHLKREIS,,"Pirmasens, Wahlkreis",WAHLKREIS,448,104,104,45943,45158,45391,43760,,42979,2183,,2412,8952c1ab0ad5aa4d1ab03fe9cf9d2891b9d84ec7c9acad664a8b66d68cf214d9,False
000049:449:-:-:WAHLKREIS,,"Südliche Weinstraße, Wahlkreis",WAHLKREIS,449,86,86,49262,48863,48788,46519,,45906,2743,,2882,4b85470c499e75f49c3f428ffd1b6284e3ab04395d68861a30f09a5477d3d6b1,False
000050:450:-:-:WAHLKREIS,,"Landau in der Pfalz, Wahlkreis",WAHLKREIS,450,67,67,42022,41623,41717,39874,,39478,2148,,2239,f780c7820828e6f7092a9cd417f29de53d14e6052795f260a47cfdab91227879,False
000051:451:-:-:WAHLKREIS,,"Germersheim, Wahlkreis",WAHLKREIS,451,39,39,30388,29994,30070,27719,,27383,2669,,2687,3922f17aeeda010b7cf96543f4c74c23757b8f634f910f79d485a00a9e884a8a,False
000052:452:-:-:WAHLKREIS,,"Wörth am Rhein, Wahlkreis",WAHLKREIS,452,50,51,31495,31177,31244,30771,,30388,724,,856,9ba1a520b5b46f4c69d41835f4fcc14adcc3aeb909f98b6520003c99059bce5d,False
000053:11100000:-:11100000:GEMEINDE,11100000,Koblenz,GEMEINDE,11100000,122,122,50003,49469,49665,50459,,50026,-456,,-361,34bc1f7dd09e7ec6e5d8b79e65b0efc3ef17b8a40d21a52ecacd988d1f0bd01d,True
000054:108:-:11100000:WAHLKREIS_TEIL,11100000,Koblenz,WAHLKREIS_TEIL,108,0,36,0,0,0,12835,12651,12732,-12835,-12651,-12732,prep-zero:000054:108:-:11100000:WAHLKREIS_TEIL,False
000055:109:-:11100000:WAHLKREIS_TEIL,11100000,Koblenz,WAHLKREIS_TEIL,109,0,121,0,0,0,37624,37112,37294,-37624,-37112,-37294,prep-zero:000055:109:-:11100000:WAHLKREIS_TEIL,False
000056:13100007:-:13100007:GEMEINDE,13100007,Bad Neuenahr-Ahrweiler,GEMEINDE,13100007,21,24,12019,11883,11840,14013,,13872,-1994,,-2032,8c31d8d143d6bac10dc572d8b3f4f672c06d15b5dd82ec3eef9ed00136dc68fd,True
000057:13100070:-:13100070:GEMEINDE,13100070,Remagen,GEMEINDE,13100070,6,10,3727,3678,3686,7600,,7549,-3873,,-3863,f05892c919ca99b1c3859e648891244de66181e2535e6fe9dd407f3a106461fb,True
000058:13100077:-:13100077:GEMEINDE,13100077,Sinzig,GEMEINDE,13100077,4,4,3576,3534,3545,3663,,3637,-87,,-92,05be4d43476fe3b8bdca1e8952da00647fe104b2b13044c0183ad95df5a4fe44,True
000059:13100090:-:13100090:GEMEINDE,13100090,Grafschaft,GEMEINDE,13100090,11,11,6084,6017,6037,5814,,5776,270,,261,b66a22b598f6af376cca5228b3b126cfc4297309194fa7cf2c4ad6b3f4a9be4b,True
000060:13101001:-:13101001:GEMEINDE,13101001,Adenau,GEMEINDE,13101001,2,3,621,613,615,1352,,1336,-731,,-721,4b248b1b8753408daffa439353061180014f69e4cd0f04857c159f20aff11a3a,True
000061:13101004:-:13101004:GEMEINDE,13101004,Antweiler,GEMEINDE,13101004,1,1,313,311,310,325,,314,-12,,-4,0eb58d785b7c2ca1f6eba82360e7ee1ef5c6d2b9707a3ee69ac168373c23605a,True
000062:13101005:-:13101005:GEMEINDE,13101005,Aremberg,GEMEINDE,13101005,1,1,143,141,143,147,,144,-4,,-1,0524c5e9829eb0658fe30c5fe4e7dbd68b5d5b3588d1bd6ad24e42949124c56b,True
000063:13101008:-:13101008:GEMEINDE,13101008,Barweiler,GEMEINDE,13101008,1,1,242,239,241,219,,217,23,,24,f8fa754fbd27058ab11ebd02dbed9cf72e89565821670c4deff229e8e43b2357,True
000064:13101009:-:13101009:GEMEINDE,13101009,Bauler,GEMEINDE,13101009,1,1,30,27,28,28,,26,2,,2,fd8ad2b512ace76ae5e958a07228ea56db83b0bc8158d5370130834e810e3a81,True
