candidate_id,party,candidate_type,list_position,wahlkreisnummer,wahlkreis_name,surname,given_name,occupation,birth_year,residence
2b5ba540ad097b7b,AfD,Landesliste+Wahlkreis,10,19,Ludwigslust-Parchim III,Tschich,Alexander,Forstingenieur,1992,19288 Ludwigslust
ff50c853c0ba81a3,CDU,Landesliste+Wahlkreis,22,19,Ludwigslust-Parchim III,Herrmann,Karoline,Verwaltungsbeamtin,1990,19306 Neustadt-Glewe
2123b4be4bbc83db,Die Linke,Landesliste+Wahlkreis,3,19,Ludwigslust-Parchim III,Bernhardt,Jacqueline,Ministerin,1977,19288 Groß Laasch
75462ca7f48c125e,FDP,Landesliste+Wahlkreis,11,19,Ludwigslust-Parchim III,Böhringer,Noah,Abgeordneter des Landtages,1997,19288 Ludwigslust
299512d11f61cd6e,FREIE WÄHLER,Landesliste+Wahlkreis,1,19,Ludwigslust-Parchim III,Kessner,Karl,Berufsfeuerwehrmann,1988,19300 Grabow
8edb0f2d023fcd9b,GRÜNE,Wahlkreis,,19,Ludwigslust-Parchim III,Klein,Tommy,Hausmann,1988,19294 Karstädt
0218548ee36dd037,SPD,Landesliste+Wahlkreis,30,19,Ludwigslust-Parchim III,Winter,Christian,"Volkswirt, MdL",1987,19053 Schwerin
bebdbcc3d32207be,AfD,Landesliste+Wahlkreis,27,20,Mecklenburgische Seenplatte III,Müller,Frank,Immobilienkaufmann,1986,17192 Waren (Müritz)
50699243d2f04c55,BSW,Wahlkreis,,20,Mecklenburgische Seenplatte III,Behnke,Torsten,Ingenieur für Maschinenbau,1966,17192 Torgelow am See
fc026506e2e73cc6,CDU,Landesliste+Wahlkreis,26,20,Mecklenburgische Seenplatte III,Kagel,Matthias,Landwirt,1978,17192 Kargow
db67c2d58330d92d,Die Linke,Wahlkreis,,20,Mecklenburgische Seenplatte III,Büttner,Lars,Betriebswirt,1980,17192 Groß Plasten
e14974686c77ad95,Einzelbewerberin,Wahlkreis,,20,Mecklenburgische Seenplatte III,Weckert,Sandra,Systemischer Coach,1973,17192 Waren (Müritz)
788e819fe1dbb4db,FDP,Landesliste+Wahlkreis,15,20,Mecklenburgische Seenplatte III,Kersten,Markus,IT-Berater,1964,17207 Röbel/Müritz
94d5eb099e249426,GRÜNE,Wahlkreis,,20,Mecklenburgische Seenplatte III,Stein,Joachim,"Bürgermeister a. D., Dipl.Ing. (FH)",1947,17213 Malchow
fbb5db651964e5b8,SPD,Landesliste+Wahlkreis,9,20,Mecklenburgische Seenplatte III,Julitz,Nadine,Abgeordnete des Landtages,1990,17192 Waren (Müritz)
10423283b4c80bcb,AfD,Landesliste+Wahlkreis,17,21,Mecklenburgische Seenplatte IV,Hoge,Sarah,Verwaltungsfachangestellte,1987,17213 Malchow
433b9bef670c8358,BSW,Wahlkreis,,21,Mecklenburgische Seenplatte IV,Jammrath,Olaf,Vertriebsangestellter,1972,17033 Neubrandenburg
dab4efb25e7230d2,CDU,Landesliste+Wahlkreis,31,21,Mecklenburgische Seenplatte IV,Vonhoff,Marko,Polizeibeamter des Bundes,1967,17237 Klein Vielen
184b237dc0f99041,Die Linke,Wahlkreis,,21,Mecklenburgische Seenplatte IV,Hehenkamp,Niklas,Ingenieur,1993,17258 Feldberger Seenlandschaft
535da6a982bf62af,FDP,Wahlkreis,,21,Mecklenburgische Seenplatte IV,Lünsmann,Ludwig,Student,1994,17235 Neustrelitz
54f6edb6ba5bf9ad,GRÜNE,Wahlkreis,,21,Mecklenburgische Seenplatte IV,Balke,Ines,Angestellte,1982,17217 Penzlin
240b428788993f8d,SPD,Landesliste+Wahlkreis,29,21,Mecklenburgische Seenplatte IV,Goede,Diana,Fachschwester für Anästhesie- und Intensivpflege,1989,17235 Neustrelitz
4477709d3b7d55ae,AfD,Landesliste+Wahlkreis,25,22,Mecklenburgische Seenplatte V,Martin,Jan Michael,Handwerksmeister,1969,17099 Datzetal
a6cd333c09f582d9,BSW,Wahlkreis,,22,Mecklenburgische Seenplatte V,Fritzsche,Marion,Steuerfachangestellte,1967,17348 Woldegk
74bf42783ed0d24a,CDU,Wahlkreis,,22,Mecklenburgische Seenplatte V,Lorenz,Tilo,Bürgermeister,1981,17094 Burg Stargard
672644d3bb679316,Die Linke,Landesliste+Wahlkreis,13,22,Mecklenburgische Seenplatte V,Kanew,Amina,Antidiskriminierungsberaterin,1998,17034 Neubrandenburg
93bf1733aa84d79e,GRÜNE,Landesliste+Wahlkreis,20,22,Mecklenburgische Seenplatte V,Flettner,Ottopeter,Möbeltischler,1952,17348 Woldegk
1fa751dcfcbf11b9,SPD,Landesliste+Wahlkreis,44,22,Mecklenburgische Seenplatte V,Herrholz,Thomas,Elektroingenieur,1977,17099 Galenbeck
43a33a6066db5202,AfD,Landesliste+Wahlkreis,43,23,Vorpommern-Rügen I,Steinfurth,Jan,Hotelbetriebswirt,1986,18581 Putbus
ca15d59d5f85429c,BSW,Landesliste+Wahlkreis,12,23,Vorpommern-Rügen I,Erichson,Ulf,Rentner,1959,18311 Ribnitz-Damgarten
9e9a6a217f452c3f,CDU,Landesliste+Wahlkreis,17,23,Vorpommern-Rügen I,Heinke,Benjamin,Gastronom,1988,18347 Ostseebad Ahrenshoop
e27abfd9a138e6a6,Die Linke,Landesliste+Wahlkreis,5,23,Vorpommern-Rügen I,Brüdgam,Wenke,Politikwissenschaftlerin,1984,18465 Triebsees
84343edb336fc9aa,Einzelbewerberin,Wahlkreis,,23,Vorpommern-Rügen I,Wippermann,Susann,B. A. Soziologie und Öffentliches Recht,1971,18311 Ribnitz-Damgarten
621cbd074e0fb7a7,FDP,Landesliste+Wahlkreis,5,23,Vorpommern-Rügen I,Kipke,Brian,Gymnasiallehrer,2000,18069 Rostock
18870be918bc342d,GRÜNE,Landesliste+Wahlkreis,5,23,Vorpommern-Rügen I,Tischler,Maya,Lehrerin,1996,18311 Ribnitz-Damgarten
e5aa396e2b266f9a,SPD,Landesliste+Wahlkreis,28,23,Vorpommern-Rügen I,Schiefler,Michel-Friedrich,Abgeordneter des Landtages,1995,18311 Ribnitz-Damgarten
b73d88a49a7fa3d0,AfD,Landesliste+Wahlkreis,7,24,Vorpommern-Rügen II - Stralsund III,Dias Rodrigues,Carlos,Polizeibeamter,1974,18551 Sagard
eb24dad6a1fdec77,BSW,Wahlkreis,,24,Vorpommern-Rügen II - Stralsund III,Bogan,Hanno,Rettungsassistent,1964,18507 Grimmen
dccbd655cd1ae59b,CDU,Landesliste+Wahlkreis,5,24,Vorpommern-Rügen II - Stralsund III,Glawe,Harry,Mitglied des Landtages,1953,18507 Grimmen
6fea5b5d14eb2663,Die Linke,Landesliste+Wahlkreis,20,24,Vorpommern-Rügen II - Stralsund III,Latendorf,Armin,Geschäftsführer,1966,18507 Grimmen
cc0c44dee496a5fa,FDP,Landesliste+Wahlkreis,13,24,Vorpommern-Rügen II - Stralsund III,Schulzki,Maria,Einzelunternehmerin,1992,18465 Tribsees
bc5eaf30b222266e,GRÜNE,Landesliste+Wahlkreis,18,24,Vorpommern-Rügen II - Stralsund III,Metka,Ralf,Pharmaberater,1967,18437 Stralsund
ab7b92ff846cfc51,LfK,Wahlkreis,,24,Vorpommern-Rügen II - Stralsund III,Walter,Henning,Küchenleiter,1985,18461 Franzburg
