ags,municipality_name,source
13003000,"Rostock, Hanse- und Universitätsstadt",official-2026-template
13004000,"Schwerin, Landeshauptstadt",official-2026-template
13071107,"Neubrandenburg, Vier-Tore-Stadt",official-2026-template
13071027,"Dargun, Stadt",official-2026-template
13071029,"Demmin, Hansestadt",official-2026-template
13071033,"Feldberger Seenlandschaft",official-2026-template
13071110,"Neustrelitz, Residenzstadt",official-2026-template
13071156,"Waren (Müritz), Stadt",official-2026-template
13071008,"Beggerow",official-2026-template
13071014,"Borrentin",official-2026-template
13071064,"Hohenbollentin",official-2026-template
13071065,"Hohenmocker",official-2026-template
13071072,"Kentzlin",official-2026-template
13071076,"Kletzin",official-2026-template
13071089,"Lindenberg",official-2026-template
13071096,"Meesiger",official-2026-template
13071112,"Nossendorf",official-2026-template
13071128,"Sarow",official-2026-template
13071131,"Schönfeld",official-2026-template
13071136,"Siedenbrünzow",official-2026-template
13071139,"Sommersdorf",official-2026-template
13071148,"Utzedel",official-2026-template
13071150,"Verchen",official-2026-template
13071157,"Warrenzin",official-2026-template
13071751,"Briefwahl Demmin-Land",official-2026-template
13071028,"Datzetal",official-2026-template
13071035,"Friedland, Stadt",official-2026-template
13071037,"Galenbeck",official-2026-template
13071752,"Briefwahl Friedland",official-2026-template
13071007,"Basedow",official-2026-template
13071032,"Faulenrost",official-2026-template
13071039,"Gielow",official-2026-template
13071084,"Seegemeinde Kummerow",official-2026-template
13071092,"Malchin, Stadt",official-2026-template
13071109,"Neukalen, Peenestadt",official-2026-template
13071753,"Briefwahl Malchin am Kummerower See",official-2026-template
13071001,"Alt Schwerin",official-2026-template
13071036,"Fünfseen",official-2026-template
13071043,"Göhren-Lebbin",official-2026-template
13071093,"Malchow, Inselstadt",official-2026-template
13071113,"Nossentiner Hütte",official-2026-template
13071138,"Silz",official-2026-template
13071155,"Walow",official-2026-template
13071171,"Zislow",official-2026-template
13071754,"Briefwahl Malchow",official-2026-template
13071099,"Mirow, Stadt",official-2026-template
13071119,"Priepert",official-2026-template
13071159,"Wesenberg, Stadt",official-2026-template
13071167,"Wustrow",official-2026-template
13071755,"Briefwahl Mecklenburgische Kleinseenplatte",official-2026-template
13071011,"Blankensee",official-2026-template
13071012,"Blumenholz",official-2026-template
13071025,"Carpin",official-2026-template
13071042,"Godendorf",official-2026-template
13071058,"Grünow",official-2026-template
13071066,"Hohenzieritz",official-2026-template
13071075,"Klein Vielen",official-2026-template
13071080,"Kratzeburg",official-2026-template
13071100,"Möllenbeck",official-2026-template
13071147,"Userin",official-2026-template
13071162,"Wokuhl-Dabelow",official-2026-template
13071756,"Briefwahl Neustrelitz-Land",official-2026-template
13071009,"Beseritz",official-2026-template
13071010,"Blankenhof",official-2026-template
13071019,"Brunn",official-2026-template
13071104,"Neddemin",official-2026-template
13071108,"Neuenkirchen",official-2026-template
13071111,"Neverin",official-2026-template
13071140,"Sponholz",official-2026-template
13071141,"Staven",official-2026-template
13071145,"Trollenhagen",official-2026-template
13071161,"Woggersin",official-2026-template
13071166,"Wulkenzin",official-2026-template
13071170,"Zirzow",official-2026-template
13071757,"Briefwahl Neverin",official-2026-template
13071005,"Ankershagen, Schliemanngemeinde",official-2026-template
13071101,"Möllenhagen",official-2026-template
13071115,"Penzlin, Stadt",official-2026-template
13071173,"Kuckssee",official-2026-template
13071758,"Briefwahl Penzliner Land",official-2026-template
13071003,"Altenhof",official-2026-template
13071013,"Bollewick",official-2026-template
13071020,"Buchholz",official-2026-template
13071023,"Bütow",official-2026-template
13071034,"Fincken",official-2026-template
13071045,"Gotthun",official-2026-template
13071053,"Groß Kelle",official-2026-template
13071073,"Kieve",official-2026-template
13071087,"Lärz",official-2026-template
13071088,"Leizen",official-2026-template
13071097,"Melz",official-2026-template
13071118,"Priborn",official-2026-template
13071122,"Rechlin",official-2026-template
13071124,"Röbel/Müritz, Stadt",official-2026-template
13071133,"Schwarz",official-2026-template
13071137,"Sietow",official-2026-template
13071143,"Stuer",official-2026-template
13071175,"Eldetal",official-2026-template
13071176,"Südmüritz",official-2026-template
13071759,"Briefwahl Röbel-Müritz",official-2026-template
13071047,"Grabowhöfe",official-2026-template
13071056,"Groß Plasten",official-2026-template
13071063,"Hohen Wangelin",official-2026-template
13071069,"Jabel",official-2026-template
13071071,"Kargow",official-2026-template
13071077,"Klink",official-2026-template
13071078,"Klocksin",official-2026-template
13071103,"Moltzow",official-2026-template
13071144,"Torgelow am See",official-2026-template
13071154,"Vollrathsruhe",official-2026-template
13071172,"Peenehagen",official-2026-template
13071174,"Schloen-Dratow",official-2026-template
13071760,"Briefwahl Seenlandschaft Waren",official-2026-template
13071021,"Burg Stargard, Stadt",official-2026-template
13071026,"Cölpin",official-2026-template
13071055,"Groß Nemerow",official-2026-template
13071067,"Holldorf",official-2026-template
13071090,"Lindetal",official-2026-template
13071117,"Pragsdorf",official-2026-template
13071761,"Briefwahl Stargarder Land",official-2026-template
13071015,"Bredenfelde",official-2026-template
13071018,"Briggow",official-2026-template
13071048,"Grammentin",official-2026-template
13071060,"Gülzow",official-2026-template
13071068,"Ivenack",official-2026-template
13071070,"Jürgenstorf",official-2026-template
13071074,"Kittendorf",official-2026-template
13071079,"Knorrendorf",official-2026-template
13071102,"Mölln",official-2026-template
13071123,"Ritzerow",official-2026-template
13071127,"Rosenow",official-2026-template
13071142,"Stavenhagen, Reuterstadt, Stadt",official-2026-template
13071169,"Zettemin",official-2026-template
13071762,"Briefwahl Stavenhagen",official-2026-template
13071002,"Altenhagen",official-2026-template
13071004,"Altentreptow, Stadt",official-2026-template
13071006,"Bartow",official-2026-template
13071016,"Breesen",official-2026-template
13071022,"Burow",official-2026-template
13071041,"Gnevkow",official-2026-template
13071044,"Golchen",official-2026-template
13071049,"Grapzow",official-2026-template
13071050,"Grischow",official-2026-template
13071057,"Groß Teetzleben",official-2026-template
13071059,"Gültz",official-2026-template
13071081,"Kriesow",official-2026-template
13071120,"Pripsleben",official-2026-template
13071125,"Röckwitz",official-2026-template
13071135,"Siedenbollentin",official-2026-template
13071146,"Tützpatz",official-2026-template
13071158,"Werder",official-2026-template
13071160,"Wildberg",official-2026-template
13071163,"Wolde",official-2026-template
13071763,"Briefwahl Treptower Tollensewinkel",official-2026-template
13071054,"Groß Miltzow",official-2026-template
13071083,"Kublank",official-2026-template
13071105,"Neetzka",official-2026-template
13071130,"Schönbeck",official-2026-template
13071132,"Schönhausen",official-2026-template
13071153,"Voigtsdorf",official-2026-template
13071164,"Woldegk, Windmühlenstadt",official-2026-template
13071764,"Briefwahl Woldegk",official-2026-template
13072006,"Bad Doberan, Stadt",official-2026-template
13072029,"Dummerstorf",official-2026-template
13072036,"Graal-Müritz, Ostseeheilbad",official-2026-template
13072043,"Güstrow, Barlachstadt",official-2026-template
13072058,"Kröpelin, Stadt",official-2026-template
13072060,"Kühlungsborn, Ostseebad, Stadt",official-2026-template
13072074,"Neubukow, Schliemannstadt",official-2026-template
13072091,"Sanitz",official-2026-template
13072093,"Satow",official-2026-template
13072106,"Teterow, Bergringstadt",official-2026-template
13072001,"Admannshagen-Bargeshagen",official-2026-template
13072007,"Bartenshagen-Parkentin",official-2026-template
13072017,"Börgerende-Rethwisch, Ostseebad",official-2026-template
13072047,"Hohenfelde",official-2026-template
13072075,"Nienhagen, Ostseebad",official-2026-template
13072083,"Reddelich",official-2026-template
13072086,"Retschow",official-2026-template
13072099,"Steffenshagen",official-2026-template
13072117,"Wittenbeck",official-2026-template
13072751,"Briefwahl Bad Doberan-Land",official-2026-template
13072009,"Baumgarten",official-2026-template
13072013,"Bernitt",official-2026-template
13072020,"Bützow, Stadt",official-2026-template
13072028,"Dreetz",official-2026-template
13072050,"Jürgenshagen",official-2026-template
13072053,"Klein Belitz",official-2026-template
13072078,"Penzin",official-2026-template
13072089,"Rühn",official-2026-template
13072101,"Steinhagen",official-2026-template
13072104,"Tarnow",official-2026-template
13072114,"Warnow",official-2026-template
13072120,"Zepelin",official-2026-template
13072752,"Briefwahl Bützow-Land",official-2026-template
13072019,"Broderstorf",official-2026-template
13072081,"Poppendorf",official-2026-template
13072087,"Roggentin",official-2026-template
13072108,"Thulendorf",official-2026-template
13072753,"Briefwahl Carbäk",official-2026-template
13072004,"Altkalen",official-2026-template
13072010,"Behren-Lübchin",official-2026-template
13072031,"Finkenthal",official-2026-template
13072035,"Gnoien, Warbelstadt",official-2026-template
13072111,"Walkendorf",official-2026-template
13072754,"Briefwahl Gnoien",official-2026-template
13072033,"Glasewitz",official-2026-template
13072039,"Groß Schwiesow",official-2026-template
13072042,"Gülzow-Prüzen",official-2026-template
13072044,"Gutow",official-2026-template
13072055,"Klein Upahl",official-2026-template
13072061,"Kuhs",official-2026-template
13072067,"Lohmen",official-2026-template
13072069,"Lüssow",official-2026-template
13072071,"Mistorf",official-2026-template
13072073,"Mühl Rosin",official-2026-template
13072079,"Plaaz",official-2026-template
13072084,"Reimershagen",official-2026-template
13072092,"Sarmstorf",official-2026-template
13072119,"Zehna",official-2026-template
13072755,"Briefwahl Güstrow-Land",official-2026-template
13072026,"Dobbin-Linstow",official-2026-template
13072048,"Hoppenrade",official-2026-template
13072056,"Krakow am See, Stadt",official-2026-template
13072059,"Kuchelmiß",official-2026-template
13072063,"Lalendorf",official-2026-template
13072756,"Briefwahl Krakow am See",official-2026-template
13072027,"Dolgen am See",official-2026-template
13072046,"Hohen Sprenz",official-2026-template
13072062,"Laage, Recknitzstadt",official-2026-template
13072112,"Wardow",official-2026-template
13072757,"Briefwahl Laage",official-2026-template
13072003,"Alt Sührkow",official-2026-template
13072023,"Dahmen",official-2026-template
13072024,"Dalkendorf",official-2026-template
13072038,"Groß Roge",official-2026-template
13072040,"Groß Wokern",official-2026-template
13072041,"Groß Wüstenfelde",official-2026-template
13072045,"Hohen Demzin",official-2026-template
13072049,"Jördenstorf",official-2026-template
13072066,"Lelkendorf",official-2026-template
13072082,"Prebberede",official-2026-template
13072094,"Schorssow",official-2026-template
13072096,"Schwasdorf",official-2026-template
13072103,"Sukow-Levitzow",official-2026-template
13072109,"Thürkow",official-2026-template
13072113,"Warnkenhagen",official-2026-template
13072758,"Briefwahl Mecklenburgische Schweiz",official-2026-template
13072002,"Alt Bukow",official-2026-template
13072005,"Am Salzhaff",official-2026-template
13072008,"Bastorf",official-2026-template
13072014,"Biendorf",official-2026-template
13072022,"Carinerland",official-2026-template
13072085,"Rerik, Ostseebad, Stadt",official-2026-template
13072759,"Briefwahl Neubukow-Salzhaff",official-2026-template
13072012,"Bentwisch",official-2026-template
13072015,"Blankenhagen",official-2026-template
13072032,"Gelbensande",official-2026-template
13072072,"Mönchhagen",official-2026-template
13072088,"Rövershagen",official-2026-template
13072760,"Briefwahl Rostocker Heide",official-2026-template
13072011,"Benitz",official-2026-template
13072018,"Bröbberow",official-2026-template
13072051,"Kassow",official-2026-template
13072090,"Rukieten",official-2026-template
13072095,"Schwaan, Stadt",official-2026-template
13072110,"Vorbeck",official-2026-template
13072116,"Wiendorf",official-2026-template
13072761,"Briefwahl Schwaan",official-2026-template
13072021,"Cammin",official-2026-template
13072034,"Gnewitz",official-2026-template
13072037,"Grammow",official-2026-template
13072076,"Nustrow",official-2026-template
13072097,"Selpin",official-2026-template
13072102,"Stubbendorf",official-2026-template
13072105,"Tessin, Blumenstadt",official-2026-template
13072107,"Thelkow",official-2026-template
13072118,"Zarnewanz",official-2026-template
13072762,"Briefwahl Tessin",official-2026-template
13072030,"Elmenhorst/Lichtenhagen",official-2026-template
13072057,"Kritzmow",official-2026-template
13072064,"Lambrechtshagen",official-2026-template
13072077,"Papendorf",official-2026-template
13072080,"Pölchow",official-2026-template
13072098,"Stäbelow",official-2026-template
13072121,"Ziesendorf",official-2026-template
13072763,"Briefwahl Warnow-West",official-2026-template
13073088,"Stralsund, Hansestadt",official-2026-template
13073011,"Binz, Ostseebad",official-2026-template
13073035,"Grimmen, Stadt",official-2026-template
13073055,"Marlow, Stadt",official-2026-template
13073070,"Putbus, Stadt",official-2026-template
13073080,"Sassnitz, Stadt",official-2026-template
13073089,"Süderholz",official-2026-template
13073105,"Zingst, Ostseeheilbad",official-2026-template
13073005,"Altenpleen",official-2026-template
13073037,"Groß Mohrdorf",official-2026-template
13073044,"Klausdorf",official-2026-template
13073046,"Kramerhof",official-2026-template
13073066,"Preetz",official-2026-template
13073068,"Prohn",official-2026-template
13073751,"Briefwahl Altenpleen",official-2026-template
13073009,"Barth, Stadt",official-2026-template
13073018,"Divitz-Spoldershagen",official-2026-template
13073025,"Fuhlendorf",official-2026-template
13073042,"Karnin",official-2026-template
13073043,"Kenz-Küstrow",official-2026-template
13073051,"Löbnitz",official-2026-template
13073053,"Lüdershagen",official-2026-template
13073069,"Pruchten",official-2026-template
13073077,"Saal",official-2026-template
13073094,"Trinwillershagen",official-2026-template
13073752,"Briefwahl Barth",official-2026-template
13073010,"Bergen auf Rügen, Stadt",official-2026-template
13073014,"Buschvitz",official-2026-template
13073027,"Garz/Rügen, Stadt",official-2026-template
13073038,"Gustow",official-2026-template
13073049,"Lietzow",official-2026-template
13073063,"Parchtitz",official-2026-template
13073064,"Patzig",official-2026-template
13073065,"Poseritz",official-2026-template
13073072,"Ralswiek",official-2026-template
13073074,"Rappin",official-2026-template
13073083,"Sehlen",official-2026-template
13073753,"Briefwahl Bergen auf Rügen",official-2026-template
13073002,"Ahrenshoop, Ostseebad",official-2026-template
13073012,"Born a. Darß, Seebad",official-2026-template
13073017,"Dierhagen, Ostseebad",official-2026-template
13073067,"Prerow, Ostseebad",official-2026-template
13073100,"Wieck a. Darß",official-2026-template
13073103,"Wustrow, Ostseebad",official-2026-template
13073754,"Briefwahl Darß/Fischland",official-2026-template
13073024,"Franzburg, Stadt",official-2026-template
13073029,"Glewitz",official-2026-template
13073034,"Gremersdorf-Buchholz",official-2026-template
13073057,"Millienhagen-Oebelitz",official-2026-template
13073062,"Papenhagen",official-2026-template
13073076,"Richtenberg, Stadt",official-2026-template
13073086,"Splietsdorf",official-2026-template
13073096,"Velgast",official-2026-template
13073097,"Weitenhagen",official-2026-template
13073098,"Wendisch Baggendorf",official-2026-template
13073755,"Briefwahl Franzburg-Richtenberg",official-2026-template
13073023,"Elmenhorst",official-2026-template
13073090,"Sundhagen",official-2026-template
13073102,"Wittenhagen",official-2026-template
13073756,"Briefwahl Miltzow",official-2026-template
13073006,"Baabe, Ostseebad",official-2026-template
